[1484] Detection of marketing infringements | pub=WHO | desc: Detection of marketing infringements | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1485] Penalties for marketing infringements | pub=WHO | desc: Penalties for marketing infringements | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1486] Price measures | pub=WHO | desc: Price measures | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1490] Deaths due to malaria (per 100 000 population) | pub=WHO | desc: Deaths due to malaria (per 100 000 population) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1501] Diphtheria - number of reported cases | pub=WHO | desc: Diphtheria - number of reported cases | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1502] Malaria - number of reported confirmed cases | pub=WHO | desc: Malaria - number of reported confirmed cases | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1503] Yellow fever - number of reported cases | pub=WHO | desc: Yellow fever - number of reported cases | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1504] Number of reported cases of tuberculosis (DOTS) | pub=WHO | desc: Number of reported cases of tuberculosis (DOTS) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1505] Neonatal tetanus - number of reported cases | pub=WHO | desc: Neonatal tetanus - number of reported cases | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1506] Rubella - number of reported cases | pub=WHO | desc: Rubella - number of reported cases | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1507] Measles - number of reported cases | pub=WHO | desc: Measles - number of reported cases | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1508] Level of taxation adjusted for inflation | pub=WHO | desc: Level of taxation adjusted for inflation | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1509] Level of taxation adjusted for inflation | pub=WHO | desc: Level of taxation adjusted for inflation | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1510] New types of alcoholic beverages emerging | pub=WHO | desc: New types of alcoholic beverages emerging | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1511] Alcohol content displayed on containers | pub=WHO | desc: Alcohol content displayed on containers | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1512] Alcohol content displayed on containers | pub=WHO | desc: Alcohol content displayed on containers | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1513] Action Plan for implementation of alcohol policy | pub=WHO | desc: Action Plan for implementation of alcohol policy | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1515] Length of stay for inpatient detoxification, days | pub=WHO | desc: Length of stay for inpatient detoxification, days | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1518] Timeframe of opioid agonist treatment | pub=WHO | desc: Timeframe of opioid agonist treatment | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1520] Methadone used for detoxification or maintenance | pub=WHO | desc: Methadone used for detoxification or maintenance | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1526] Insufficient incentives for data sharing | pub=WHO | desc: Insufficient incentives for data sharing | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1530] New types of alcoholic beverages emerging | pub=WHO | desc: New types of alcoholic beverages emerging | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1537] Varenicline - legally sold | pub=WHO | desc: Varenicline - legally sold | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1540] UHC Service Coverage Index (SDG 3.8.1) | pub=WHO | desc: UHC Service Coverage Index (SDG 3.8.1) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1541] Prevalence of non-elevated blood pressure (%) | pub=WHO | desc: Prevalence of non-elevated blood pressure (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1542] Prevalence of non-use of tobacco | pub=WHO | desc: Prevalence of non-use of tobacco | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1545] UV radiation attributable DALYs ('000) | pub=WHO | desc: UV radiation attributable DALYs ('000) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1546] UV radiation attributable DALYs per 100'000 capita | pub=WHO | desc: UV radiation attributable DALYs per 100'000 capita | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1547] Lifetime prevalence of child emotional abuse (%) | pub=WHO | desc: Lifetime prevalence of child emotional abuse (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1548] Lifetime prevalence of child physical abuse (%) | pub=WHO | desc: Lifetime prevalence of child physical abuse (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1549] Lifetime prevalence of child sexual abuse (%) | pub=WHO | desc: Lifetime prevalence of child sexual abuse (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1557] Antenatal care coverage - at least four visits (%) | pub=WHO | desc: Antenatal care coverage - at least four visits (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1558] Population using solid fuels (%) | pub=WHO | desc: Population using solid fuels (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1565] Cholera - number of reported cases | pub=WHO | desc: Cholera - number of reported cases | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1566] Pertussis - number of reported cases | pub=WHO | desc: Pertussis - number of reported cases | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1567] Total tetanus - number of reported cases | pub=WHO | desc: Total tetanus - number of reported cases | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1568] Plague - number of reported cases | pub=WHO | desc: Plague - number of reported cases | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1571] Antenatal care coverage - at least one visit (%) | pub=WHO | desc: Antenatal care coverage - at least one visit (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1573] Surgeons (per 100 000) | pub=WHO | desc: Surgeons (per 100 000) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1574] Mean fasting plasma glucose | pub=WHO | desc: Mean fasting plasma glucose | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1578] Lifetime prevalence of child physical neglect (%) | pub=WHO | desc: Lifetime prevalence of child physical neglect (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1580] Physical fighting, past 12 months (%) | pub=WHO | desc: Physical fighting, past 12 months (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1581] Warning about the dangers of tobacco | pub=WHO | desc: Warning about the dangers of tobacco | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1586] BCG immunization coverage among 1-year-olds (%) | pub=WHO | desc: BCG immunization coverage among 1-year-olds (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1587] Number of dentistry personnel | pub=WHO | desc: Number of dentistry personnel | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1588] Number of nursing and midwifery personnel | pub=WHO | desc: Number of nursing and midwifery personnel | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1590] Number of pharmaceutical personnel | pub=WHO | desc: Number of pharmaceutical personnel | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1591] Number of environment and public health workers | pub=WHO | desc: Number of environment and public health workers | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1596] Literacy rate among adults aged >= 15 years (%) | pub=WHO | desc: Literacy rate among adults aged >= 15 years (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1597] Population proportion under 15 (%) | pub=WHO | desc: Population proportion under 15 (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1598] Population living on <$1 (PPP int. $) a day (%) | pub=WHO | desc: Population living on <$1 (PPP int. $) a day (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1599] Population proportion over 60 (%) | pub=WHO | desc: Population proportion over 60 (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1600] Gross national income per capita (PPP int. $) | pub=WHO | desc: Gross national income per capita (PPP int. $) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1602] UV radiation attributable deaths | pub=WHO | desc: UV radiation attributable deaths | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
