[1767] Net primary school enrolment ratio (%) | pub=WHO | desc: Net primary school enrolment ratio (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1768] Population median age (years) | pub=WHO | desc: Population median age (years) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1770] Total fertility rate (per woman) | pub=WHO | desc: Total fertility rate (per woman) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1771] Cellular subscribers (per 100 population) | pub=WHO | desc: Cellular subscribers (per 100 population) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1772] SDG 3.9.2 WASH deaths | pub=WHO | desc: SDG 3.9.2 WASH deaths | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1773] Number of diarrhoea deaths from inadequate hygiene | pub=WHO | desc: Number of diarrhoea deaths from inadequate hygiene | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1775] Number of diarrhoea deaths from inadequate water | pub=WHO | desc: Number of diarrhoea deaths from inadequate water | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1781] Server training | pub=WHO | desc: Server training | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1782] Server training | pub=WHO | desc: Server training | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1784] Standard drink defined | pub=WHO | desc: Standard drink defined | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1786] Health warning labels on under-age drinking | pub=WHO | desc: Health warning labels on under-age drinking | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1790] National organization for monitoring alcohol | pub=WHO | desc: National organization for monitoring alcohol | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1795] Ethanol tax deducted from excise tax | pub=WHO | desc: Ethanol tax deducted from excise tax | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1800] Regional prevalence, AAFs (15+), cancer | pub=WHO | desc: Regional prevalence, AAFs (15+), cancer | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1801] Average price 500 mls Beer in US$ | pub=WHO | desc: Average price 500 mls Beer in US$ | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1802] Average price 750 mls Wine in US$ | pub=WHO | desc: Average price 750 mls Wine in US$ | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1806] Number of diarrhoea DALYs from inadequate water | pub=WHO | desc: Number of diarrhoea DALYs from inadequate water | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1809] Average price 500 mls Spirits in US$ | pub=WHO | desc: Average price 500 mls Spirits in US$ | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1827] Regular reports from national monitoring systems | pub=WHO | desc: Regular reports from national monitoring systems | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1828] National surveys on youth alcohol consumption | pub=WHO | desc: National surveys on youth alcohol consumption | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1829] National surveys on heavy espisodic drinking | pub=WHO | desc: National surveys on heavy espisodic drinking | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1830] Data collection on Foetal Alcohol Syndome | pub=WHO | desc: Data collection on Foetal Alcohol Syndome | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1831] Data collection on Foetal Alcohol Syndome | pub=WHO | desc: Data collection on Foetal Alcohol Syndome | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
