[2046] xxx | pub=WHO | desc: xxx | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2047] Fines on the patron | pub=WHO | desc: Fines on the patron | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2048] Number of meningitis epidemic districts | pub=WHO | desc: Number of meningitis epidemic districts | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2049] Mental health policy | pub=WHO | desc: Mental health policy | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2050] Mental hospitals (per 100,000) | pub=WHO | desc: Mental hospitals (per 100,000) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2051] Mental health plan | pub=WHO | desc: Mental health plan | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2052] Fines for violations | pub=WHO | desc: Fines for violations | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2053] Dedicated funds for enforcement | pub=WHO | desc: Dedicated funds for enforcement | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2054] Citizen complaints and investigations | pub=WHO | desc: Citizen complaints and investigations | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2056] Beds in mental hospitals (per 100,000) | pub=WHO | desc: Beds in mental hospitals (per 100,000) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2059] Stand-alone mental health legislation | pub=WHO | desc: Stand-alone mental health legislation | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2065] Number of maternal deaths | pub=WHO | desc: Number of maternal deaths | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2071] Current smokers of cigarettes (youth rate) | pub=WHO | desc: Current smokers of cigarettes (youth rate) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2072] Deaths per 1 000 live births | pub=WHO | desc: Deaths per 1 000 live births | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2073] Deaths per 100 000 population | pub=WHO | desc: Deaths per 100 000 population | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2075] Number of deaths | pub=WHO | desc: Number of deaths | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2076] Projection of deaths per 100 000 population | pub=WHO | desc: Projection of deaths per 100 000 population | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2079] Exposure to smoke at home | pub=WHO | desc: Exposure to smoke at home | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2080] Exposure to smoke outside home | pub=WHO | desc: Exposure to smoke outside home | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2081] Projection of number of deaths | pub=WHO | desc: Projection of number of deaths | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2095] Mean BMI (kg/m²) (age-standardized estimate) | pub=WHO | desc: Mean BMI (kg/m²) (age-standardized estimate) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2096] Mean BMI (kg/m&#xb2;) (crude estimate) | pub=WHO | desc: Mean BMI (kg/m&#xb2;) (crude estimate) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2111] Government objectives on tobacco control exist | pub=WHO | desc: Government objectives on tobacco control exist | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2116] Annual incidence of dracunculiasis cases | pub=WHO | desc: Annual incidence of dracunculiasis cases | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2123] Legislation and Financing | pub=WHO | desc: Legislation and Financing | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2127] Cheapest brand of cigarettes - price in PPP$ | pub=WHO | desc: Cheapest brand of cigarettes - price in PPP$ | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2129] Preterm birth rate (per 100 live births) | pub=WHO | desc: Preterm birth rate (per 100 live births) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2130] Ever breastfed | pub=WHO | desc: Ever breastfed | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2133] Deaths caused by hazards, aged 5 years and above | pub=WHO | desc: Deaths caused by hazards, aged 5 years and above | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2139] Most sold brand of cigarettes - price in PPP$ | pub=WHO | desc: Most sold brand of cigarettes - price in PPP$ | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2146] Patient safety strategy score | pub=WHO | desc: Patient safety strategy score | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2148] Deaths caused by hazards, all ages | pub=WHO | desc: Deaths caused by hazards, all ages | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2149] Existence of national HPV vaccination programme | pub=WHO | desc: Existence of national HPV vaccination programme | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2151] Risk Communication (SPAR) | pub=WHO | desc: Risk Communication (SPAR) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2152] Annual number of condoms distributed | pub=WHO | desc: Annual number of condoms distributed | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
