[2350] Prevalence of daily tobacco use among adults (%) | pub=WHO | desc: Prevalence of daily tobacco use among adults (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2351] Prevalence of diabetes, crude | pub=WHO | desc: Prevalence of diabetes, crude | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2353] Country Cooperation Strategy Priorities | pub=WHO | desc: Country Cooperation Strategy Priorities | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2364] Basis for NHA estimate | pub=WHO | desc: Basis for NHA estimate | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2366] Surveillance | pub=WHO | desc: Surveillance | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2370] Name of latest youth prevalence survey (nonsmoked) | pub=WHO | desc: Name of latest youth prevalence survey (nonsmoked) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2374] Financing | pub=WHO | desc: Financing | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2376] Foodborne years of life lost per case | pub=WHO | desc: Foodborne years of life lost per case | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2380] DTP3 immunization coverage among one-year-olds (%) | pub=WHO | desc: DTP3 immunization coverage among one-year-olds (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2381] Reported currency | pub=WHO | desc: Reported currency | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2384] Partners and donors | pub=WHO | desc: Partners and donors | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2386] Alcohol, heavy continuous drinkers past year (%) | pub=WHO | desc: Alcohol, heavy continuous drinkers past year (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2388] In-prison MDR-TB diagnosis (number of diagnoses) | pub=WHO | desc: In-prison MDR-TB diagnosis (number of diagnoses) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2389] Beverage price | pub=WHO | desc: Beverage price | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2391] Reported cases of chlamydia (number) | pub=WHO | desc: Reported cases of chlamydia (number) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2395] Value-added/sales tax on beverages (%) | pub=WHO | desc: Value-added/sales tax on beverages (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2396] Team composition, number of staff | pub=WHO | desc: Team composition, number of staff | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2404] Status of bejel endemicity | pub=WHO | desc: Status of bejel endemicity | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2405] Dracunculiasis cases | pub=WHO | desc: Dracunculiasis cases | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2406] Status of endemicity of cutaneous leishmaniasis | pub=WHO | desc: Status of endemicity of cutaneous leishmaniasis | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2408] Number of cases of visceral leishmaniasis reported | pub=WHO | desc: Number of cases of visceral leishmaniasis reported | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2410] Food safety IHR (%) | pub=WHO | desc: Food safety IHR (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2411] Sex workers: Syphilis prevalence (percent) | pub=WHO | desc: Sex workers: Syphilis prevalence (percent) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2414] Reference level for dwellings (Bq/m3) | pub=WHO | desc: Reference level for dwellings (Bq/m3) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2415] Diabetes treatment coverage, crude | pub=WHO | desc: Diabetes treatment coverage, crude | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2419] Programme budget (in US$ million) | pub=WHO | desc: Programme budget (in US$ million) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2420] In-prison standardized protocol for suicide | pub=WHO | desc: In-prison standardized protocol for suicide | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2425] Sources of assistive products (%) | pub=WHO | desc: Sources of assistive products (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2426] Number of indigenous P. falciparum malaria cases | pub=WHO | desc: Number of indigenous P. falciparum malaria cases | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2428] Food safety | pub=WHO | desc: Food safety | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2429] Nurses in prisons (FTEs per 1000 prisoners) | pub=WHO | desc: Nurses in prisons (FTEs per 1000 prisoners) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2432] Laboratory (SPAR) | pub=WHO | desc: Laboratory (SPAR) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2436] BCG immunization coverage among one-year-olds (%) | pub=WHO | desc: BCG immunization coverage among one-year-olds (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2440] Collaboration with United Nations System | pub=WHO | desc: Collaboration with United Nations System | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2441] Excise taxes on beverages (%) | pub=WHO | desc: Excise taxes on beverages (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2444] Foodborne years lived with disability per 100 000 | pub=WHO | desc: Foodborne years lived with disability per 100 000 | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2445] Foodborne years of life lost per 100 000, all ages | pub=WHO | desc: Foodborne years of life lost per 100 000, all ages | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2448] Proportion of vaccination cards seen (%) | pub=WHO | desc: Proportion of vaccination cards seen (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2449] Continued breastfeeding 12-23 months | pub=WHO | desc: Continued breastfeeding 12-23 months | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2451] Taxes as a % of price: ad valorem excise | pub=WHO | desc: Taxes as a % of price: ad valorem excise | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2453] Number of new cases of lip and oral cavity cancer | pub=WHO | desc: Number of new cases of lip and oral cavity cancer | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2456] Foodborne years lived with disability, all ages | pub=WHO | desc: Foodborne years lived with disability, all ages | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2460] Barriers to accessing assistive products (%) | pub=WHO | desc: Barriers to accessing assistive products (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2463] Collaboration with Intergovernmental Organizations | pub=WHO | desc: Collaboration with Intergovernmental Organizations | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2464] Chimera voltron indicator to show summary table | pub=WHO | desc: Chimera voltron indicator to show summary table | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2467] Minimum dietary diversity 6-23 months | pub=WHO | desc: Minimum dietary diversity 6-23 months | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2471] Existence of a national target on obesity | pub=WHO | desc: Existence of a national target on obesity | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2472] Disability-adjusted life years (DALYs) | pub=WHO | desc: Disability-adjusted life years (DALYs) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2474] GHE Deaths | pub=WHO | desc: GHE Deaths | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2475] Presence of an EML with dental preparations | pub=WHO | desc: Presence of an EML with dental preparations | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2477] Taxes as a % of price: specific excise | pub=WHO | desc: Taxes as a % of price: specific excise | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2479] Foodborne illnesses, all ages | pub=WHO | desc: Foodborne illnesses, all ages | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2483] Existence of a national target on alcohol | pub=WHO | desc: Existence of a national target on alcohol | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2484] NSP coverage among PWID per year (rate) | pub=WHO | desc: NSP coverage among PWID per year (rate) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2489] Per capita availability of refined sugar (g/day) | pub=WHO | desc: Per capita availability of refined sugar (g/day) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2490] Use of earmarked excise tax on beverages | pub=WHO | desc: Use of earmarked excise tax on beverages | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2492] Human Resources (SPAR) | pub=WHO | desc: Human Resources (SPAR) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2495] Surveillance (SPAR) | pub=WHO | desc: Surveillance (SPAR) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2497] Number of current tobacco smokers, estimate | pub=WHO | desc: Number of current tobacco smokers, estimate | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2498] Condom use at last high-risk sex (percent) | pub=WHO | desc: Condom use at last high-risk sex (percent) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2502] Tobacco tax administration: Marking is overt | pub=WHO | desc: Tobacco tax administration: Marking is overt | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2505] Affordability - trend growth rate | pub=WHO | desc: Affordability - trend growth rate | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2513] Per capita expenditure on dental healthcare (US$) | pub=WHO | desc: Per capita expenditure on dental healthcare (US$) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2520] Infection prevention and control (IPC) | pub=WHO | desc: Infection prevention and control (IPC) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2523] Existence of population-based cancer registry | pub=WHO | desc: Existence of population-based cancer registry | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2524] Collaboration with United Nations System (%) | pub=WHO | desc: Collaboration with United Nations System (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2527] Mean HDL cholesterol, age-standardized | pub=WHO | desc: Mean HDL cholesterol, age-standardized | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2534] Human resources | pub=WHO | desc: Human resources | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2538] Men who have sex with men: Condom use (percent) | pub=WHO | desc: Men who have sex with men: Condom use (percent) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2539] Relevants Country Offices links | pub=WHO | desc: Relevants Country Offices links | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2543] Special VAT is lower or higher than standard VAT | pub=WHO | desc: Special VAT is lower or higher than standard VAT | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2546] Abortion rate (model-estimated) | pub=WHO | desc: Abortion rate (model-estimated) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2549] Excise taxes are applied on beverages | pub=WHO | desc: Excise taxes are applied on beverages | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2556] Foodborne illnesses, aged 5 years and above | pub=WHO | desc: Foodborne illnesses, aged 5 years and above | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2560] Number of malaria positive cases by microscopy | pub=WHO | desc: Number of malaria positive cases by microscopy | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2563] Number of suspected cases of Buruli ulcer reported | pub=WHO | desc: Number of suspected cases of Buruli ulcer reported | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2565] Existence of a national target on tobacco | pub=WHO | desc: Existence of a national target on tobacco | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2570] Number of Heads of WHO Country Offices/WRs | pub=WHO | desc: Number of Heads of WHO Country Offices/WRs | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2574] Foodborne years of life lost per 100 000 | pub=WHO | desc: Foodborne years of life lost per 100 000 | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2575] Cytisine - cost covered | pub=WHO | desc: Cytisine - cost covered | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2576] Transgender: Population size estimate (number) | pub=WHO | desc: Transgender: Population size estimate (number) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2578] Sex workers: Population size estimate (number) | pub=WHO | desc: Sex workers: Population size estimate (number) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2579] Nursing personnel (%) | pub=WHO | desc: Nursing personnel (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2583] In-prison condoms free of charge | pub=WHO | desc: In-prison condoms free of charge | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2588] Number of isolates tested for ciprofloxacin | pub=WHO | desc: Number of isolates tested for ciprofloxacin | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
