[2636] Diabetes treatment coverage, age-standardized | pub=WHO | desc: Diabetes treatment coverage, age-standardized | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2639] Number of isolates tested for cefixime | pub=WHO | desc: Number of isolates tested for cefixime | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2641] Number of non-autochthonous leprosy cases | pub=WHO | desc: Number of non-autochthonous leprosy cases | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2644] WCO staffing under each GPW13 strategic priority | pub=WHO | desc: WCO staffing under each GPW13 strategic priority | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2645] Most sold type of spirit | pub=WHO | desc: Most sold type of spirit | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2648] Status of endemicity of Buruli ulcer | pub=WHO | desc: Status of endemicity of Buruli ulcer | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2652] Compliance with smoke-free restaurants law (score) | pub=WHO | desc: Compliance with smoke-free restaurants law (score) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2659] Food safety JEE (score) | pub=WHO | desc: Food safety JEE (score) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2668] Tobacco tax administration: Marking is covert | pub=WHO | desc: Tobacco tax administration: Marking is covert | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2671] In-prison cancer diagnosis (number of diagnoses) | pub=WHO | desc: In-prison cancer diagnosis (number of diagnoses) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2675] Low birth weight prevalence (%) | pub=WHO | desc: Low birth weight prevalence (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2676] Prevalence of need of assistive products (%) | pub=WHO | desc: Prevalence of need of assistive products (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2685] Title of most recent survey of adults | pub=WHO | desc: Title of most recent survey of adults | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2686] Existence of national radon map | pub=WHO | desc: Existence of national radon map | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2688] Affordability of fluoride toothpaste | pub=WHO | desc: Affordability of fluoride toothpaste | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2691] In-prison vaccination for MMR | pub=WHO | desc: In-prison vaccination for MMR | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
