[2960] Foodborne illnesses, aged less than 5 years | pub=WHO | desc: Foodborne illnesses, aged less than 5 years | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2962] Most sold brand of other tobacco type | pub=WHO | desc: Most sold brand of other tobacco type | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2964] Tobacco Enforce bans: E1 direct advertising | pub=WHO | desc: Tobacco Enforce bans: E1 direct advertising | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2967] Risk communication and community engagement (RCCE) | pub=WHO | desc: Risk communication and community engagement (RCCE) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2973] Foodborne deaths | pub=WHO | desc: Foodborne deaths | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2974] Psychiatrists in prisons (FTEs per 1000 prisoners) | pub=WHO | desc: Psychiatrists in prisons (FTEs per 1000 prisoners) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2975] Mean Non-HDL cholesterol, crude | pub=WHO | desc: Mean Non-HDL cholesterol, crude | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2976] Collaboration with government sectors | pub=WHO | desc: Collaboration with government sectors | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2978] Number of prisoners | pub=WHO | desc: Number of prisoners | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2979] In-prison vaccination for DTP | pub=WHO | desc: In-prison vaccination for DTP | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2981] Reference level for workplaces (Bq/m3) | pub=WHO | desc: Reference level for workplaces (Bq/m3) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2983] Deaths caused by hazards, aged less than 5 years | pub=WHO | desc: Deaths caused by hazards, aged less than 5 years | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2984] Base for ad valorem excise tax on beverage | pub=WHO | desc: Base for ad valorem excise tax on beverage | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2986] Mean total cholesterol,  age-standardized | pub=WHO | desc: Mean total cholesterol,  age-standardized | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2987] Number of deaths among children ages 5 to 9 years | pub=WHO | desc: Number of deaths among children ages 5 to 9 years | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2988] Name of latest adult prevalence survey (nonsmoked) | pub=WHO | desc: Name of latest adult prevalence survey (nonsmoked) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2991] Full immunization coverage among one-year-olds (%) | pub=WHO | desc: Full immunization coverage among one-year-olds (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2993] NCD country capacity survey response | pub=WHO | desc: NCD country capacity survey response | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[3000] Prevalence of trichomoniasis in individuals (%) | pub=WHO | desc: Prevalence of trichomoniasis in individuals (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[3002] Partners and donors by groups (%) | pub=WHO | desc: Partners and donors by groups (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[3005] Sugar-content of beverage (g/100ml) | pub=WHO | desc: Sugar-content of beverage (g/100ml) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[3011] Existence of a national target on salt | pub=WHO | desc: Existence of a national target on salt | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[3014] Programme budget (%) | pub=WHO | desc: Programme budget (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[3016] Foodborne deaths, aged less than 5 years | pub=WHO | desc: Foodborne deaths, aged less than 5 years | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[3019] Dentists in prisons (FTEs per 1000 prisoners) | pub=WHO | desc: Dentists in prisons (FTEs per 1000 prisoners) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[3020] Number of suspected yaws cases reported | pub=WHO | desc: Number of suspected yaws cases reported | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[3021] Existence of a national target on diabetes | pub=WHO | desc: Existence of a national target on diabetes | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[3023] Laboratory | pub=WHO | desc: Laboratory | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[3031] Points of entry (PoEs) and border health | pub=WHO | desc: Points of entry (PoEs) and border health | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[3033] Ban on advertising at point of sale | pub=WHO | desc: Ban on advertising at point of sale | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[3038] Year of latest adult prevalence survey (nonsmoked) | pub=WHO | desc: Year of latest adult prevalence survey (nonsmoked) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[3045] Years of life lost caused by hazards, all ages | pub=WHO | desc: Years of life lost caused by hazards, all ages | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[3052] Total population in thousands (oral health) | pub=WHO | desc: Total population in thousands (oral health) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[3056] Food Safety (SPAR) | pub=WHO | desc: Food Safety (SPAR) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
