[1252] Adjusted prevalence of persons with some degree of functional difficulty (% of persons) | pub=World Bank | cols: country, date, value, indicator
[1253] Adjusted prevalence of persons aged 15 to 24 years with some degree of cognitive difficulty (% of pe | pub=World Bank | cols: country, date, value, indicator
[1254] Adjusted prevalence of persons aged 25 to 34 years with some degree of cognitive difficulty (% of pe | pub=World Bank | cols: country, date, value, indicator
[1255] Adjusted prevalence of persons aged 35 to 44 years with some degree of cognitive difficulty (% of pe | pub=World Bank | cols: country, date, value, indicator
[1256] Adjusted prevalence of persons aged 45 to 54 years with some degree of cognitive difficulty (% of pe | pub=World Bank | cols: country, date, value, indicator
[1257] Adjusted prevalence of persons aged 55 to 64 years with some degree of cognitive difficulty (% of pe | pub=World Bank | cols: country, date, value, indicator
[1258] Adjusted prevalence of persons aged 65 or older with some degree of cognitive difficulty (% of perso | pub=World Bank | cols: country, date, value, indicator
[1259] Adjusted prevalence of persons with some degree of cognitive difficulty (% of persons) | pub=World Bank | cols: country, date, value, indicator
[1260] Adjusted prevalence of female persons with some degree of cognitive difficulty (% of female persons) | pub=World Bank | cols: country, date, value, indicator
[1261] Adjusted prevalence of male persons with some degree of cognitive difficulty (% of male persons) | pub=World Bank | cols: country, date, value, indicator
[1262] Adjusted prevalence of persons living in rural areas with some degree of cognitive difficulty (% of  | pub=World Bank | cols: country, date, value, indicator
[1263] Adjusted prevalence of persons living in urban areas with some degree of cognitive difficulty (% of  | pub=World Bank | cols: country, date, value, indicator
[1264] Adjusted prevalence of persons aged 15 to 24 years with some degree of communication difficulty (% o | pub=World Bank | cols: country, date, value, indicator
[1265] Adjusted prevalence of persons aged 25 to 34 years with some degree of communication difficulty (% o | pub=World Bank | cols: country, date, value, indicator
[1266] Adjusted prevalence of persons aged 35 to 44 years with some degree of communication difficulty (% o | pub=World Bank | cols: country, date, value, indicator
[1267] Adjusted prevalence of persons aged 45 to 54 years with some degree of communication difficulty (% o | pub=World Bank | cols: country, date, value, indicator
[1268] Adjusted prevalence of persons aged 55 to 64 years with some degree of communication difficulty (% o | pub=World Bank | cols: country, date, value, indicator
[1269] Adjusted prevalence of persons aged 65 or older with some degree of communication difficulty (% of p | pub=World Bank | cols: country, date, value, indicator
[1270] Adjusted prevalence of persons with some degree of communication difficulty (% of persons) | pub=World Bank | cols: country, date, value, indicator
[1271] Adjusted prevalence of female persons with some degree of communication difficulty (% of female pers | pub=World Bank | cols: country, date, value, indicator
[1272] Adjusted prevalence of male persons with some degree of communication difficulty (% of male persons) | pub=World Bank | cols: country, date, value, indicator
[1273] Adjusted prevalence of persons living in rural areas with some degree of communication difficulty (% | pub=World Bank | cols: country, date, value, indicator
[1274] Adjusted prevalence of persons living in urban areas with some degree of communication difficulty (% | pub=World Bank | cols: country, date, value, indicator
[1275] Adjusted prevalence of female persons with some degree of functional difficulty (% of female persons | pub=World Bank | cols: country, date, value, indicator
