[1557] Coverage of social protection and labor programs (% of population) | pub=World Bank | cols: country, date, value, indicator
[1558] Generosity of social protection and labor programs (% of total welfare of beneficiary households) | pub=World Bank | cols: country, date, value, indicator
[1559] Prevalence of persons aged 15 to 29 years with any degree of functional difficulties (% of persons a | pub=World Bank | cols: country, date, value, indicator
[1560] Prevalence of persons aged 30 to 44 years any degree of functional difficulties (% of persons aged 3 | pub=World Bank | cols: country, date, value, indicator
[1561] Prevalence of persons aged 45 to 64 years any degree of functional difficulties (% of persons aged 4 | pub=World Bank | cols: country, date, value, indicator
[1562] Prevalence of persons aged 65 or older any degree of functional difficulties (% of persons aged 65 o | pub=World Bank | cols: country, date, value, indicator
[1563] Prevalence of persons with any degree of functional difficulties (% of persons) | pub=World Bank | cols: country, date, value, indicator
[1564] Prevalence of persons aged 15 to 29 years with any degree of cognitive difficulty (% of persons aged | pub=World Bank | cols: country, date, value, indicator
[1565] Prevalence of persons aged 30 to 44 years with any degree of cognitive difficulty (% of persons aged | pub=World Bank | cols: country, date, value, indicator
[1566] Prevalence of persons aged 45 to 64 years with any degree of cognitive difficulty (% of persons aged | pub=World Bank | cols: country, date, value, indicator
[1567] Prevalence of persons aged 65 or older with any degree of cognitive difficulty (% of persons aged 65 | pub=World Bank | cols: country, date, value, indicator
[1568] Prevalence of persons with any degree of cognitive difficulty (% of persons) | pub=World Bank | cols: country, date, value, indicator
[1569] Prevalence of female persons with any degree of cognitive difficulty (% of female persons) | pub=World Bank | cols: country, date, value, indicator
[1570] Prevalence of male persons with any degree of cognitive difficulty (% of male persons) | pub=World Bank | cols: country, date, value, indicator
[1571] Prevalence of persons living in rural areas with any degree of cognitive difficulty (% of persons li | pub=World Bank | cols: country, date, value, indicator
[1572] Prevalence of persons living in urban areas with any degree of cognitive difficulty (% of persons li | pub=World Bank | cols: country, date, value, indicator
[1573] Prevalence of persons aged 15 to 29 years with any degree of communication difficulty (% of persons  | pub=World Bank | cols: country, date, value, indicator
[1574] Prevalence of persons aged 30 to 44 years with any degree of communication difficulty (% of persons  | pub=World Bank | cols: country, date, value, indicator
[1575] Prevalence of persons aged 45 to 64 years with any degree of communication difficulty (% of persons  | pub=World Bank | cols: country, date, value, indicator
[1576] Prevalence of persons aged 65 or older with any degree of communication difficulty (% of persons age | pub=World Bank | cols: country, date, value, indicator
[1577] Prevalence of persons with any degree of communication difficulty (% of persons) | pub=World Bank | cols: country, date, value, indicator
[1578] Prevalence of female persons with any degree of communication difficulty (% of female persons) | pub=World Bank | cols: country, date, value, indicator
