[1820] Barro-Lee: Percentage of population age 15-19 with primary schooling. Incomplete primary | pub=World Bank | cols: country, date, value, indicator
[1821] Barro-Lee: Percentage of female population age 20-24 with primary schooling. Incomplete Primary | pub=World Bank | cols: country, date, value, indicator
[1822] Barro-Lee: Percentage of population age 20-24 with primary schooling. Incomplete Primary | pub=World Bank | cols: country, date, value, indicator
[1823] Barro-Lee: Percentage of female population age 25-29 with primary schooling. Incompleted Primary | pub=World Bank | cols: country, date, value, indicator
[1824] Barro-Lee: Percentage of population age 25-29 with primary schooling. Incompleted Primary | pub=World Bank | cols: country, date, value, indicator
[1825] Barro-Lee: Percentage of female population age 30-34 with primary schooling. Incompleted Primary | pub=World Bank | cols: country, date, value, indicator
[1826] Barro-Lee: Percentage of population age 30-34 with primary schooling. Incompleted Primary | pub=World Bank | cols: country, date, value, indicator
[1827] Barro-Lee: Percentage of female population age 35-39 with primary schooling. Incompleted Primary | pub=World Bank | cols: country, date, value, indicator
[1828] Barro-Lee: Percentage of population age 35-39 with primary schooling. Incompleted Primary | pub=World Bank | cols: country, date, value, indicator
[1829] Barro-Lee: Percentage of female population age 40-44 with primary schooling. Incompleted Primary | pub=World Bank | cols: country, date, value, indicator
[1830] Barro-Lee: Percentage of population age 40-44 with primary schooling. Incompleted Primary | pub=World Bank | cols: country, date, value, indicator
[1831] Barro-Lee: Percentage of female population age 45-49 with primary schooling. Incompleted Primary | pub=World Bank | cols: country, date, value, indicator
[1832] Barro-Lee: Percentage of population age 45-49 with primary schooling. Incompleted Primary | pub=World Bank | cols: country, date, value, indicator
[1833] Barro-Lee: Percentage of female population age 50-54 with primary schooling. Incompleted Primary | pub=World Bank | cols: country, date, value, indicator
[1834] Barro-Lee: Percentage of population age 50-54 with primary schooling. Incompleted Primary | pub=World Bank | cols: country, date, value, indicator
[1835] Barro-Lee: Percentage of female population age 55-59 with primary schooling. Incompleted Primary | pub=World Bank | cols: country, date, value, indicator
[1836] Barro-Lee: Percentage of population age 55-59 with primary schooling. Incompleted Primary | pub=World Bank | cols: country, date, value, indicator
[1837] Barro-Lee: Percentage of female population age 60-64 with primary schooling. Incompleted Primary | pub=World Bank | cols: country, date, value, indicator
[1838] Barro-Lee: Percentage of population age 60-64 with primary schooling. Incompleted Primary | pub=World Bank | cols: country, date, value, indicator
[1839] Barro-Lee: Percentage of female population age 65-69 with primary schooling. Incompleted Primary | pub=World Bank | cols: country, date, value, indicator
[1840] Barro-Lee: Percentage of population age 65-69 with primary schooling. Incompleted Primary | pub=World Bank | cols: country, date, value, indicator
[1961] Barro-Lee: Percentage of female population age 15-19 with secondary schooling. Incompleted Secondary | pub=World Bank | cols: country, date, value, indicator
[1962] Barro-Lee: Percentage of population age 15-19 with secondary schooling. Incompleted Secondary | pub=World Bank | cols: country, date, value, indicator
[1963] Barro-Lee: Percentage of female population age 20-24 with secondary schooling. Incompleted Secondary | pub=World Bank | cols: country, date, value, indicator
[1964] Barro-Lee: Percentage of population age 20-24 with secondary schooling. Incompleted Secondary | pub=World Bank | cols: country, date, value, indicator
[1965] Barro-Lee: Percentage of female population age 25-29 with secondary schooling. Incompleted Secondary | pub=World Bank | cols: country, date, value, indicator
[1966] Barro-Lee: Percentage of population age 25-29 with secondary schooling. Incompleted Secondary | pub=World Bank | cols: country, date, value, indicator
[1967] Barro-Lee: Percentage of female population age 30-34 with secondary schooling. Incompleted Secondary | pub=World Bank | cols: country, date, value, indicator
[1968] Barro-Lee: Percentage of population age 30-34 with secondary schooling. Incompleted Secondary | pub=World Bank | cols: country, date, value, indicator
[1969] Barro-Lee: Percentage of female population age 35-39 with secondary schooling. Incompleted Secondary | pub=World Bank | cols: country, date, value, indicator
[1970] Barro-Lee: Percentage of population age 35-39 with secondary schooling. Incompleted Secondary | pub=World Bank | cols: country, date, value, indicator
[1971] Barro-Lee: Percentage of female population age 40-44 with secondary schooling. Incompleted Secondary | pub=World Bank | cols: country, date, value, indicator
[1972] Barro-Lee: Percentage of population age 40-44 with secondary schooling. Incompleted Secondary | pub=World Bank | cols: country, date, value, indicator
[1973] Barro-Lee: Percentage of female population age 45-49 with secondary schooling. Incompleted Secondary | pub=World Bank | cols: country, date, value, indicator
[1974] Barro-Lee: Percentage of population age 45-49 with secondary schooling. Incompleted Secondary | pub=World Bank | cols: country, date, value, indicator
[1975] Barro-Lee: Percentage of female population age 50-54 with secondary schooling. Incompleted Secondary | pub=World Bank | cols: country, date, value, indicator
[1976] Barro-Lee: Percentage of population age 50-54 with secondary schooling. Incompleted Secondary | pub=World Bank | cols: country, date, value, indicator
[1977] Barro-Lee: Percentage of female population age 55-59 with secondary schooling. Incompleted Secondary | pub=World Bank | cols: country, date, value, indicator
[1978] Barro-Lee: Percentage of population age 55-59 with secondary schooling. Incompleted Secondary | pub=World Bank | cols: country, date, value, indicator
[1979] Barro-Lee: Percentage of female population age 60-64 with secondary schooling. Incompleted Secondary | pub=World Bank | cols: country, date, value, indicator
[1980] Barro-Lee: Percentage of population age 60-64 with secondary schooling. Incompleted Secondary | pub=World Bank | cols: country, date, value, indicator
[1981] Barro-Lee: Percentage of female population age 65-69 with secondary schooling. Incompleted Secondary | pub=World Bank | cols: country, date, value, indicator
[1982] Barro-Lee: Percentage of population age 65-69 with secondary schooling. Incompleted Secondary | pub=World Bank | cols: country, date, value, indicator
[2073] Barro-Lee: Percentage of female population age 15-19 with tertiary schooling. Incompleted Tertiary | pub=World Bank | cols: country, date, value, indicator
[2074] Barro-Lee: Percentage of population age 15-19 with tertiary schooling. Incompleted Tertiary | pub=World Bank | cols: country, date, value, indicator
[2075] Barro-Lee: Percentage of female population age 20-24 with tertiary schooling. Incompleted Tertiary | pub=World Bank | cols: country, date, value, indicator
[2076] Barro-Lee: Percentage of population age 20-24 with tertiary schooling. Incompleted Tertiary | pub=World Bank | cols: country, date, value, indicator
[2077] Barro-Lee: Percentage of female population age 25-29 with tertiary schooling. Incompleted Tertiary | pub=World Bank | cols: country, date, value, indicator
[2078] Barro-Lee: Percentage of population age 25-29 with tertiary schooling. Incompleted Tertiary | pub=World Bank | cols: country, date, value, indicator
[2079] Barro-Lee: Percentage of female population age 30-34 with tertiary schooling. Incompleted Tertiary | pub=World Bank | cols: country, date, value, indicator
[2080] Barro-Lee: Percentage of population age 30-34 with tertiary schooling. Incompleted Tertiary | pub=World Bank | cols: country, date, value, indicator
[2081] Barro-Lee: Percentage of female population age 35-39 with tertiary schooling. Incompleted Tertiary | pub=World Bank | cols: country, date, value, indicator
[2082] Barro-Lee: Percentage of population age 35-39 with tertiary schooling. Incompleted Tertiary | pub=World Bank | cols: country, date, value, indicator
[2083] Barro-Lee: Percentage of female population age 40-44 with tertiary schooling. Incompleted Tertiary | pub=World Bank | cols: country, date, value, indicator
[2084] Barro-Lee: Percentage of population age 40-44 with tertiary schooling. Incompleted Tertiary | pub=World Bank | cols: country, date, value, indicator
[2085] Barro-Lee: Percentage of female population age 45-49 with tertiary schooling. Incompleted Tertiary | pub=World Bank | cols: country, date, value, indicator
[2086] Barro-Lee: Percentage of population age 45-49 with tertiary schooling. Incompleted Tertiary | pub=World Bank | cols: country, date, value, indicator
[2087] Barro-Lee: Percentage of female population age 50-54 with tertiary schooling. Incompleted Tertiary | pub=World Bank | cols: country, date, value, indicator
[2088] Barro-Lee: Percentage of population age 50-54 with tertiary schooling. Incompleted Tertiary | pub=World Bank | cols: country, date, value, indicator
[2089] Barro-Lee: Percentage of female population age 55-59 with tertiary schooling. Incompleted Tertiary | pub=World Bank | cols: country, date, value, indicator
[2090] Barro-Lee: Percentage of population age 55-59 with tertiary schooling. Incompleted Tertiary | pub=World Bank | cols: country, date, value, indicator
[2091] Barro-Lee: Percentage of female population age 60-64 with tertiary schooling. Incompleted Tertiary | pub=World Bank | cols: country, date, value, indicator
[2092] Barro-Lee: Percentage of population age 60-64 with tertiary schooling. Incompleted Tertiary | pub=World Bank | cols: country, date, value, indicator
[2093] Barro-Lee: Percentage of female population age 65-69 with tertiary schooling. Incompleted Tertiary | pub=World Bank | cols: country, date, value, indicator
[2094] Barro-Lee: Percentage of population age 65-69 with tertiary schooling. Incompleted Tertiary | pub=World Bank | cols: country, date, value, indicator
[2096] Gross private capital flows (% of GDP, PPP) | pub=World Bank | cols: country, date, value, indicator
[2097] Gross private capital flows (% of GDP) | pub=World Bank | cols: country, date, value, indicator
[2098] Gross foreign direct investment (% of GDP, PPP) | pub=World Bank | cols: country, date, value, indicator
[2099] Gross foreign direct investment (% of GDP) | pub=World Bank | cols: country, date, value, indicator
[2100] Core Public Administration workers, as a share of public formal employees | pub=World Bank | cols: country, date, value, indicator
[2101] Education workers, as a share of public formal employees | pub=World Bank | cols: country, date, value, indicator
[2102] Health workers, as a share of public formal employees | pub=World Bank | cols: country, date, value, indicator
[2103] Medical workers, as a share of public formal employees | pub=World Bank | cols: country, date, value, indicator
[2104] Public sector employment, as a share of formal employment, by industry: Education | pub=World Bank | cols: country, date, value, indicator
[2105] Public sector employment, as a share of formal employment, by industry: Health | pub=World Bank | cols: country, date, value, indicator
[2106] Public sector employment, as a share of formal employment, by occupation: Medical workers | pub=World Bank | cols: country, date, value, indicator
[2107] Public Administration workers, as a share of public formal employees | pub=World Bank | cols: country, date, value, indicator
[2108] Public Safety workers, as a share of public formal employees | pub=World Bank | cols: country, date, value, indicator
[2109] Public sector employment, as a share of formal employment, by occupation: Teachers | pub=World Bank | cols: country, date, value, indicator
[2110] Public sector employment, as a share of formal employment | pub=World Bank | cols: country, date, value, indicator
[2111] Social Security workers, as a share of public formal employees | pub=World Bank | cols: country, date, value, indicator
[2112] Teachers, as a share of public formal employees | pub=World Bank | cols: country, date, value, indicator
[2113] Public sector female employment, as a share of paid employment by occupational group: Clerks | pub=World Bank | cols: country, date, value, indicator
[2114] Public sector female employment, as a share of paid employment by industry: Education | pub=World Bank | cols: country, date, value, indicator
[2115] Public sector female employment, as a share of paid employment by occupational group: Elementary wor | pub=World Bank | cols: country, date, value, indicator
[2116] Public sector female employment, as a share of paid employment by industry: Health | pub=World Bank | cols: country, date, value, indicator
[2117] Public sector female employment, as a share of paid employment by occupation: Medical workers | pub=World Bank | cols: country, date, value, indicator
[2118] Public sector female employment, as a share of paid employment by occupational group: Professionals | pub=World Bank | cols: country, date, value, indicator
[2119] Public sector female employment, as a share of paid employment by occupational group: Manager | pub=World Bank | cols: country, date, value, indicator
[2120] Public sector female employment, as a share of paid employment by occupational group: Technicians | pub=World Bank | cols: country, date, value, indicator
[2121] Public sector female employment, as a share of paid employment by occupation: Teachers | pub=World Bank | cols: country, date, value, indicator
[2122] Core Public Administration workers, as a share of public paid employees | pub=World Bank | cols: country, date, value, indicator
[2123] Education workers, as a share of public paid employees | pub=World Bank | cols: country, date, value, indicator
[2124] Health workers, as a share of public paid employees | pub=World Bank | cols: country, date, value, indicator
[2125] Medical workers, as a share of public paid employees | pub=World Bank | cols: country, date, value, indicator
[2126] Public sector employment, as a share of paid employment, by occupational group: Clerks | pub=World Bank | cols: country, date, value, indicator
[2127] Public sector employment, as a share of paid employment, by industry: Education | pub=World Bank | cols: country, date, value, indicator
[2128] Public sector employment, as a share of paid employment, by occupational group: Elementary workers | pub=World Bank | cols: country, date, value, indicator
[2129] Public sector employment, as a share of paid employment by gender: Female | pub=World Bank | cols: country, date, value, indicator
[2130] Public sector employment, as a share of paid employment, by industry: Health | pub=World Bank | cols: country, date, value, indicator
