[2131] Public sector employment, as a share of paid employment by gender: Male | pub=World Bank | cols: country, date, value, indicator
[2132] Public sector employment, as a share of paid employment, by occupation: Medical workers | pub=World Bank | cols: country, date, value, indicator
[2133] Public Administration workers, as a share of public paid employees | pub=World Bank | cols: country, date, value, indicator
[2134] Public sector employment, as a share of paid employment, by occupational group: Professionals | pub=World Bank | cols: country, date, value, indicator
[2135] Public Safety workers, as a share of public paid employees | pub=World Bank | cols: country, date, value, indicator
[2136] Public sector employment, as a share of paid employment by location: Rural | pub=World Bank | cols: country, date, value, indicator
[2137] Public sector employment, as a share of paid employment, by occupational group: Manager | pub=World Bank | cols: country, date, value, indicator
[2138] Public sector employment, as a share of paid employment, by occupational group: Technicians | pub=World Bank | cols: country, date, value, indicator
[2139] Public sector employment, as a share of paid employment, by occupation: Teachers | pub=World Bank | cols: country, date, value, indicator
[2140] Public sector employment, as a share of paid employment by location: Urban | pub=World Bank | cols: country, date, value, indicator
[2141] Public sector employment, as a share of paid employment | pub=World Bank | cols: country, date, value, indicator
[2142] Social Security workers, as a share of public paid employees | pub=World Bank | cols: country, date, value, indicator
[2143] Teachers, as a share of public paid employees | pub=World Bank | cols: country, date, value, indicator
[2144] Core Public Administration workers, as a share of public total employees | pub=World Bank | cols: country, date, value, indicator
[2145] Education workers, as a share of public total employees | pub=World Bank | cols: country, date, value, indicator
[2146] Health workers, as a share of public total employees | pub=World Bank | cols: country, date, value, indicator
[2147] Medical workers, as a share of public total employees | pub=World Bank | cols: country, date, value, indicator
[2148] Number of employed individuals | pub=World Bank | cols: country, date, value, indicator
[2149] Number of employed employees, by industry: Core Public Administration | pub=World Bank | cols: country, date, value, indicator
[2150] Number of employed employees, by industry: Education | pub=World Bank | cols: country, date, value, indicator
[2151] Number of employed employees, by industry: Health | pub=World Bank | cols: country, date, value, indicator
[2152] Number of employed employees, by occupation: Medical workers | pub=World Bank | cols: country, date, value, indicator
[2153] Number of employed employees, by industry: Public Administration | pub=World Bank | cols: country, date, value, indicator
[2154] Number of employed employees, by industry: Public Safety | pub=World Bank | cols: country, date, value, indicator
[2155] Number of employed employees, by industry: Social Security | pub=World Bank | cols: country, date, value, indicator
[2156] Number of employed employees, by occupation: Teachers | pub=World Bank | cols: country, date, value, indicator
[2157] Public sector employment, as a share of total employment, by occupational group: Clerks | pub=World Bank | cols: country, date, value, indicator
