[2231] Females, as a share of private paid employees | pub=World Bank | cols: country, date, value, indicator
[2232] Share of private paid employees with health insurance | pub=World Bank | cols: country, date, value, indicator
[2233] Individuals with no education as a share of private paid employees | pub=World Bank | cols: country, date, value, indicator
[2234] Females, as a share of private paid employees by occupational group: Professionals | pub=World Bank | cols: country, date, value, indicator
[2235] Individuals with primary education as a share of private paid employees | pub=World Bank | cols: country, date, value, indicator
[2236] Rural residents, as a share of private paid employees | pub=World Bank | cols: country, date, value, indicator
[2237] Individuals with secondary education as a share of private paid employees | pub=World Bank | cols: country, date, value, indicator
[2238] Females, as a share of private paid employees by occupational group: Managers | pub=World Bank | cols: country, date, value, indicator
[2239] Share of private paid employees with social security | pub=World Bank | cols: country, date, value, indicator
[2240] Females, as a share of private paid employees by occupational group: Technicians | pub=World Bank | cols: country, date, value, indicator
[2241] Individuals with tertiary education as a share of private paid employees, by industry: Education | pub=World Bank | cols: country, date, value, indicator
[2242] Individuals with tertiary education as a share of private paid employees, by industry: Health | pub=World Bank | cols: country, date, value, indicator
[2243] Individuals with tertiary Education as a share of private paid employees, by occupation: Medical wor | pub=World Bank | cols: country, date, value, indicator
[2244] Individuals with tertiary Education as a share of private paid employees, by occupation: Teachers | pub=World Bank | cols: country, date, value, indicator
[2245] Individuals with tertiary education as a share of private paid employees | pub=World Bank | cols: country, date, value, indicator
[2246] Share of private paid employees with union membership | pub=World Bank | cols: country, date, value, indicator
[2247] Females, as a share of public paid employees by industry: Core Public Administration | pub=World Bank | cols: country, date, value, indicator
[2248] Females, as a share of public paid employees by occupational group: Clerks | pub=World Bank | cols: country, date, value, indicator
[2249] Share of public paid employees with a contract | pub=World Bank | cols: country, date, value, indicator
[2250] Females, as a share of public paid employees by industry: Education | pub=World Bank | cols: country, date, value, indicator
[2251] Females, as a share of public paid employees by occupational group: Elementary occupation | pub=World Bank | cols: country, date, value, indicator
[2252] Females, as a share of public paid employees by wage quintile: Quintile 1 | pub=World Bank | cols: country, date, value, indicator
[2253] Females, as a share of public paid employees by wage quintile: Quintile 2 | pub=World Bank | cols: country, date, value, indicator
[2254] Females, as a share of public paid employees by wage quintile: Quintile 3 | pub=World Bank | cols: country, date, value, indicator
[2255] Females, as a share of public paid employees by wage quintile: Quintile 4 | pub=World Bank | cols: country, date, value, indicator
[2256] Females, as a share of public paid employees by wage quintile: Quintile 5 | pub=World Bank | cols: country, date, value, indicator
[2257] Females, as a share of public paid employees | pub=World Bank | cols: country, date, value, indicator
[2258] Females, as a share of public paid employees by industry: Health | pub=World Bank | cols: country, date, value, indicator
[2259] Share of public paid employees with health insurance | pub=World Bank | cols: country, date, value, indicator
[2260] Females, as a share of public paid employees by occupation: Medical workers | pub=World Bank | cols: country, date, value, indicator
[2261] Individuals with no education as a share of public paid employees | pub=World Bank | cols: country, date, value, indicator
[2262] Number of public paid employees | pub=World Bank | cols: country, date, value, indicator
[2263] Number of public paid employees, by industry: Core Public Administration | pub=World Bank | cols: country, date, value, indicator
[2264] Number of public paid employees, by industry: Education | pub=World Bank | cols: country, date, value, indicator
[2265] Number of public paid employees, by industry: Health | pub=World Bank | cols: country, date, value, indicator
[2266] Number of public paid employees, by occupation: Medical workers | pub=World Bank | cols: country, date, value, indicator
[2267] Number of public paid employees, by industry: Public Administration | pub=World Bank | cols: country, date, value, indicator
[2268] Number of public paid employees, by industry: Public Safety | pub=World Bank | cols: country, date, value, indicator
[2269] Number of public paid employees, by industry: Social Security | pub=World Bank | cols: country, date, value, indicator
[2270] Number of public paid employees, by occupation: Teachers | pub=World Bank | cols: country, date, value, indicator
[2271] Females, as a share of public paid employees by industry: Public Administration | pub=World Bank | cols: country, date, value, indicator
[2272] Females, as a share of public paid employees by occupational group: Professionals | pub=World Bank | cols: country, date, value, indicator
[2273] Individuals with primary education as a share of public paid employees | pub=World Bank | cols: country, date, value, indicator
[2274] Females, as a share of public paid employees by industry: Public Safety | pub=World Bank | cols: country, date, value, indicator
[2275] Rural residents, as a share of public paid employees, by industry: Core Public Administration | pub=World Bank | cols: country, date, value, indicator
[2276] Rural residents, as a share of public paid employees, by industry: Education | pub=World Bank | cols: country, date, value, indicator
[2277] Rural residents, as a share of public paid employees, by industry: Health | pub=World Bank | cols: country, date, value, indicator
[2278] Rural residents, as a share of public paid employees, by occupation: Medical workers | pub=World Bank | cols: country, date, value, indicator
[2279] Rural residents, as a share of public paid employees, by industry: Public Administration | pub=World Bank | cols: country, date, value, indicator
[2280] Rural residents, as a share of public paid employees, by industry: Public Safety | pub=World Bank | cols: country, date, value, indicator
[2281] Rural residents, as a share of public paid employees, by industry: Social Security | pub=World Bank | cols: country, date, value, indicator
[2282] Rural residents, as a share of public paid employees, by industry: Teachers | pub=World Bank | cols: country, date, value, indicator
[2283] Rural residents, as a share of public paid employees | pub=World Bank | cols: country, date, value, indicator
[2284] Individuals with secondary education as a share of public paid employees | pub=World Bank | cols: country, date, value, indicator
[2285] Females, as a share of public paid employees by occupational group: Managers | pub=World Bank | cols: country, date, value, indicator
[2286] Females, as a share of public paid employees by industry: Social Security | pub=World Bank | cols: country, date, value, indicator
[2287] Share of public paid employees with social security | pub=World Bank | cols: country, date, value, indicator
[2288] Females, as a share of public paid employees by occupational group: Technicians | pub=World Bank | cols: country, date, value, indicator
[2289] Females, as a share of public paid employees by industry: Teachers | pub=World Bank | cols: country, date, value, indicator
[2290] Individuals with tertiary Education as a share of public paid employees, by industry: Core Public Ad | pub=World Bank | cols: country, date, value, indicator
[2291] Individuals with tertiary education as a share of public paid employees, by industry: Education | pub=World Bank | cols: country, date, value, indicator
[2292] Individuals with tertiary education as a share of public paid employees, by industry: Health | pub=World Bank | cols: country, date, value, indicator
[2293] Individuals with tertiary Education as a share of public paid employees, by occupation: Medical work | pub=World Bank | cols: country, date, value, indicator
[2294] Individuals with tertiary education as a share of public paid employees, by industry: Public Adminis | pub=World Bank | cols: country, date, value, indicator
[2295] Individuals with tertiary Education as a share of public paid employees, by industry: Public Safety | pub=World Bank | cols: country, date, value, indicator
[2296] Individuals with tertiary Education as a share of public paid employees, by industry: Social Securit | pub=World Bank | cols: country, date, value, indicator
