[2484] Long-Term Capital Inflow, net (US$, BoP) | pub=World Bank | cols: country, date, value, indicator
[2485] Portfolio investment, equity (DRS, current US$) | pub=World Bank | cols: country, date, value, indicator
[2486] Reserves and related items (BoP, US$) | pub=World Bank | cols: country, date, value, indicator
[2488] Change in Reserves (- = increase) (US$, BoP) | pub=World Bank | cols: country, date, value, indicator
[2493] Net Official Capital Grants (US$, BoP) | pub=World Bank | cols: country, date, value, indicator
[2494] Official Transfers (net) (US$, BoP) | pub=World Bank | cols: country, date, value, indicator
[2495] Official Transfers, net (US$, BoP) | pub=World Bank | cols: country, date, value, indicator
[2499] Private current transfers, net (BoP, US$) | pub=World Bank | cols: country, date, value, indicator
[2503] Borrowed any money, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[2504] Borrowed any money, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[2505] Borrowed any money, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[2507] Borrowed any money, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[2508] Borrowed any money, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[2509] Borrowed any money, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[2510] Borrowed any money, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[2511] Borrowed any money, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[2512] Borrowed any money, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[2513] Borrowed any money, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[2514] BPK Audit Report on Sub-National Budget | pub=World Bank | cols: country, date, value, indicator
[2519] Forest products exports (FAO, current US$) | pub=World Bank | desc: Forest products exports.  Data are in current U.S. dollars.   | cols: country, date, value, indicator
[2531] Communications services, exports (BoP, current US$) | pub=World Bank | cols: country, date, value, indicator
[2533] Financial services, exports (BoP, current US$) | pub=World Bank | cols: country, date, value, indicator
[2537] Insurance services, exports (BoP, current US$) | pub=World Bank | cols: country, date, value, indicator
[2539] Merchandise exports (BOP): percentage of GDP (%) | pub=World Bank | cols: country, date, value, indicator
[2541] Other services, exports (BoP, US$) | pub=World Bank | cols: country, date, value, indicator
[2551] Foreign direct investment, net inflows (% of GDP) | pub=World Bank | cols: country, date, value, indicator
[2552] Foreign direct investment, net inflows (% of gross capital formation) | pub=World Bank | cols: country, date, value, indicator
[2555] Portfolio investment, equity (DRS, current US$) | pub=World Bank | cols: country, date, value, indicator
