[2643] Estimated annual savings value through the use of eProcurement (in USDs) | pub=World Bank | cols: country, date, value, indicator
[2644] Percentage of savings value through the use of eProcurement over total cost estimate | pub=World Bank | cols: country, date, value, indicator
[2645] Methodology used in order to calculate savings value through the use of eProcurement | pub=World Bank | cols: country, date, value, indicator
[2647] Common spend taxonomy used | pub=World Bank | cols: country, date, value, indicator
[2648] Average number of bidders per tender for goods contracts | pub=World Bank | cols: country, date, value, indicator
[2649] Average number of bidders per tender for works contracts | pub=World Bank | cols: country, date, value, indicator
[2650] Average number of bidders per tender for services contracts | pub=World Bank | cols: country, date, value, indicator
[2651] Number of accepted/justified complaints | pub=World Bank | cols: country, date, value, indicator
[2652] Number of rejected/unjustified complaints | pub=World Bank | cols: country, date, value, indicator
[2653] Number of complaints under investigation | pub=World Bank | cols: country, date, value, indicator
[2654] Complaint resolution period (include average resolution time in days) | pub=World Bank | cols: country, date, value, indicator
[2655] Number of cancelled procurement procedures | pub=World Bank | cols: country, date, value, indicator
[2656] Published public procurement annual reports | pub=World Bank | cols: country, date, value, indicator
[2657] Procurement statistics | pub=World Bank | cols: country, date, value, indicator
[2658] Number of annual tenders | pub=World Bank | cols: country, date, value, indicator
[2659] Value of annual tenders (in USD) | pub=World Bank | cols: country, date, value, indicator
[2660] Number of annual contracts | pub=World Bank | cols: country, date, value, indicator
[2661] Value of annual contracts (in USD) | pub=World Bank | cols: country, date, value, indicator
[2662] Number of contract awards of goods | pub=World Bank | cols: country, date, value, indicator
[2663] Value of contracts awards of goods (in USD) | pub=World Bank | cols: country, date, value, indicator
[2664] Number of contract awards of works | pub=World Bank | cols: country, date, value, indicator
[2665] Value of contracts awards of works (in USD) | pub=World Bank | cols: country, date, value, indicator
[2666] Number of contract awards of services | pub=World Bank | cols: country, date, value, indicator
[2667] Value of contracts awards of services (in USD) | pub=World Bank | cols: country, date, value, indicator
[2668] Number of domestic contract awards | pub=World Bank | cols: country, date, value, indicator
[2669] Value of domestic contract awards (in USD) | pub=World Bank | cols: country, date, value, indicator
[2670] Number of international contract awards | pub=World Bank | cols: country, date, value, indicator
[2671] Value of international contract awards (in USD) | pub=World Bank | cols: country, date, value, indicator
[2672] Number of open contract awards | pub=World Bank | cols: country, date, value, indicator
[2673] Value of open contract awards (in USD) | pub=World Bank | cols: country, date, value, indicator
[2674] Number of direct contract awards | pub=World Bank | cols: country, date, value, indicator
[2675] Value of direct contract awards (in USD) | pub=World Bank | cols: country, date, value, indicator
[2676] Number of awards to SMEs | pub=World Bank | cols: country, date, value, indicator
[2677] Value of awards to SMEs (in USD) | pub=World Bank | cols: country, date, value, indicator
[2678] Number of contract awards under framework agreements | pub=World Bank | cols: country, date, value, indicator
[2679] Value of contract awards under framework agreements (in USD) | pub=World Bank | cols: country, date, value, indicator
[2680] Number of contract awards evaluated based on MEAT | pub=World Bank | cols: country, date, value, indicator
[2681] Value of contract awards evaluated based on MEAT (in USD) | pub=World Bank | cols: country, date, value, indicator
[2682] Number of contract awards evaluated based on Lowest Price method | pub=World Bank | cols: country, date, value, indicator
[2683] Value of contract awards evaluated based on Lowest Price method (in USD) | pub=World Bank | cols: country, date, value, indicator
