[3102] Persons with clean cooking fuel (% of persons with  any degree of mobility difficulty) | pub=World Bank | cols: country, date, value, indicator
[3103] Persons living in rural areas with clean cooking fuel (% of persons living in rural areas with any d | pub=World Bank | cols: country, date, value, indicator
[3104] Persons with clean cooking fuel (% of persons with  any degree of seeing difficulty) | pub=World Bank | cols: country, date, value, indicator
[3105] Persons with clean cooking fuel (% of persons with  any degree of selfcare difficulty) | pub=World Bank | cols: country, date, value, indicator
[3106] Persons living in urban areas with clean cooking fuel (% of persons living in urban areas with any d | pub=World Bank | cols: country, date, value, indicator
[3107] Persons aged 15 to 29 years with clean cooking fuel (% of persons aged 15 to 29 years with no functi | pub=World Bank | cols: country, date, value, indicator
[3108] Persons aged 30 to 44 years with clean cooking fuel (% of persons aged 30 to 44 years with no functi | pub=World Bank | cols: country, date, value, indicator
[3109] Persons aged 45 to 64 years with clean cooking fuel (% of persons aged 45 to 64 years with no functi | pub=World Bank | cols: country, date, value, indicator
[3110] Persons aged 65 or older with clean cooking fuel (% of persons aged 65 or older with no functional d | pub=World Bank | cols: country, date, value, indicator
[3111] Persons with clean cooking fuel (% of persons with no functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[3112] Female persons with clean cooking fuel (% of female persons with no functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[3113] Male persons with clean cooking fuel (% of male persons with no functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[3114] Persons living in rural areas with clean cooking fuel (% of persons living in rural areas with no fu | pub=World Bank | cols: country, date, value, indicator
[3115] Persons living in urban areas with clean cooking fuel (% of persons living in urban areas with no fu | pub=World Bank | cols: country, date, value, indicator
[3116] Persons aged 15 to 29 years with clean cooking fuel (% of persons aged 15 to 29 years with none or s | pub=World Bank | cols: country, date, value, indicator
[3117] Persons aged 30 to 44 years with clean cooking fuel (% of persons aged 30 to 44 years with none or s | pub=World Bank | cols: country, date, value, indicator
[3118] Persons aged 45 to 64 years with clean cooking fuel (% of persons aged 45 to 64 years with none or s | pub=World Bank | cols: country, date, value, indicator
[3119] Persons aged 65 or older with clean cooking fuel (% of persons aged 65 or older with none or some de | pub=World Bank | cols: country, date, value, indicator
[3120] Persons with clean cooking fuel (% of persons with none or some degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[3121] Female persons with clean cooking fuel (% of female persons with none or some degree of functional d | pub=World Bank | cols: country, date, value, indicator
[3122] Male persons with clean cooking fuel (% of male persons with none or some degree of functional diffi | pub=World Bank | cols: country, date, value, indicator
[3123] Persons living in rural areas with clean cooking fuel (% of persons living in rural areas with none  | pub=World Bank | cols: country, date, value, indicator
[3124] Persons living in urban areas with clean cooking fuel (% of persons living in urban areas with none  | pub=World Bank | cols: country, date, value, indicator
[3125] Persons aged 15 to 29 years with clean cooking fuel (% of persons aged 15 to 29 years with some degr | pub=World Bank | cols: country, date, value, indicator
[3126] Persons aged 30 to 44 years with clean cooking fuel (% of persons aged 30 to 44 years with some degr | pub=World Bank | cols: country, date, value, indicator
[3127] Persons aged 45 to 64 years with clean cooking fuel (% of persons aged 45 to 64 years with some degr | pub=World Bank | cols: country, date, value, indicator
[3128] Persons aged 65 or older with clean cooking fuel (% of persons aged 65 or older with some degree of  | pub=World Bank | cols: country, date, value, indicator
[3129] Persons with clean cooking fuel (% of persons with some degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[3130] Female persons with clean cooking fuel (% of female persons with some degree of functional difficult | pub=World Bank | cols: country, date, value, indicator
[3131] Male persons with clean cooking fuel (% of male persons with some degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[3132] Persons living in rural areas with clean cooking fuel (% of persons living in rural areas with some  | pub=World Bank | cols: country, date, value, indicator
[3133] Persons living in urban areas with clean cooking fuel (% of persons living in urban areas with some  | pub=World Bank | cols: country, date, value, indicator
[3134] Financing via international capital markets (gross inflows, % of GDP) | pub=World Bank | cols: country, date, value, indicator
[3142] Persons aged 15 to 29 years using a computer (% of persons aged 15 to 29 years with disability i.e.  | pub=World Bank | cols: country, date, value, indicator
[3143] Persons aged 30 to 44 years using a computer (% of persons aged 30 to 44 years with disability i.e.  | pub=World Bank | cols: country, date, value, indicator
[3144] Persons aged 45 to 64 years using a computer (% of persons aged 45 to 64 years with disability i.e.  | pub=World Bank | cols: country, date, value, indicator
[3145] Persons aged 65 or older using a computer (% of persons aged 65 or older with disability i.e. at lea | pub=World Bank | cols: country, date, value, indicator
[3146] Persons using a computer (% of persons with disability i.e. at least a lot of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[3147] Female persons using a computer (% of female persons with disability i.e. at least a lot of function | pub=World Bank | cols: country, date, value, indicator
[3148] Male persons using a computer (% of male persons with disability i.e. at least a lot of functional d | pub=World Bank | cols: country, date, value, indicator
[3149] Persons living in rural areas using a computer (% of persons living in rural areas with disability i | pub=World Bank | cols: country, date, value, indicator
[3150] Persons living in urban areas using a computer (% of persons living in urban areas with disability i | pub=World Bank | cols: country, date, value, indicator
[3151] Persons aged 15 to 29 years using a computer (% of persons aged 15 to 29 years with any degree of fu | pub=World Bank | cols: country, date, value, indicator
[3152] Persons aged 30 to 44 years using a computer (% of persons aged 30 to 44 years with any degree of fu | pub=World Bank | cols: country, date, value, indicator
[3153] Persons aged 45 to 64 years using a computer (% of persons aged 45 to 64 years with any degree of fu | pub=World Bank | cols: country, date, value, indicator
[3154] Persons aged 65 or older using a computer (% of persons aged 65 or older with any degree of function | pub=World Bank | cols: country, date, value, indicator
[3155] Persons using a computer (% of persons with any degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[3156] Persons using a computer (% of persons with  any degree of cognitive difficulty) | pub=World Bank | cols: country, date, value, indicator
[3157] Persons using a computer (% of persons with  any degree of communication difficulty) | pub=World Bank | cols: country, date, value, indicator
[3158] Female persons using a computer (% of female persons with any degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[3159] Persons using a computer (% of persons with  any degree of hearing difficulty) | pub=World Bank | cols: country, date, value, indicator
