[3209] Cost share for animal-sourced foods in a least-cost healthy diet | pub=World Bank | cols: country, date, value, indicator
[3210] Cost share for animal-sourced foods in a least-cost healthy diet | pub=World Bank | cols: country, date, value, indicator
[3211] Cost of animal-sourced foods relative to the starchy staples in a least-cost healthy diet | pub=World Bank | cols: country, date, value, indicator
[3212] Cost of animal-sourced foods relative to the starchy staples in a least-cost healthy diet | pub=World Bank | cols: country, date, value, indicator
[3213] Cost of a healthy diet relative to the cost of sufficient energy from starchy staples | pub=World Bank | cols: country, date, value, indicator
[3214] Cost of a healthy diet relative to the cost of sufficient energy from starchy staples | pub=World Bank | cols: country, date, value, indicator
[3215] Cost of fruits in local currency unit | pub=World Bank | cols: country, date, value, indicator
[3216] Cost of fruits in local currency unit | pub=World Bank | cols: country, date, value, indicator
[3217] Cost of fruits in PPP dollars | pub=World Bank | cols: country, date, value, indicator
[3218] Cost of fruits in PPP dollars | pub=World Bank | cols: country, date, value, indicator
[3219] Cost share for fruits in a least-cost healthy diet | pub=World Bank | cols: country, date, value, indicator
[3220] Cost share for fruits in a least-cost healthy diet | pub=World Bank | cols: country, date, value, indicator
[3221] Cost of fruits relative to the starchy staples in a least-cost healthy diet | pub=World Bank | cols: country, date, value, indicator
[3222] Cost of fruits relative to the starchy staples in a least-cost healthy diet | pub=World Bank | cols: country, date, value, indicator
[3223] Affordability of a healthy diet: ratio of cost to food expenditures | pub=World Bank | cols: country, date, value, indicator
[3224] Affordability of a healthy diet: ratio of cost to food expenditures | pub=World Bank | cols: country, date, value, indicator
[3225] Percent of the population who cannot afford a healthy diet | pub=World Bank | cols: country, date, value, indicator
[3226] Percent of the population who cannot afford a healthy diet | pub=World Bank | cols: country, date, value, indicator
[3227] Cost of a healthy diet in local currency unit | pub=World Bank | cols: country, date, value, indicator
[3228] Cost of a healthy diet in local currency unit | pub=World Bank | cols: country, date, value, indicator
[3229] Cost of legumes, nuts and seeds in local currency unit | pub=World Bank | cols: country, date, value, indicator
[3230] Cost of legumes, nuts and seeds in local currency unit | pub=World Bank | cols: country, date, value, indicator
[3231] Cost of legumes, nuts and seeds in PPP dollars | pub=World Bank | cols: country, date, value, indicator
[3232] Cost of legumes, nuts and seeds in PPP dollars | pub=World Bank | cols: country, date, value, indicator
[3233] Cost share for legumes, nuts and seeds in a least-cost healthy diet | pub=World Bank | cols: country, date, value, indicator
[3234] Cost share for legumes, nuts and seeds in a least-cost healthy diet | pub=World Bank | cols: country, date, value, indicator
[3235] Cost of legumes, nuts and seeds relative to the starchy staples in a least-cost healthy diet | pub=World Bank | cols: country, date, value, indicator
[3236] Cost of legumes, nuts and seeds relative to the starchy staples in a least-cost healthy diet | pub=World Bank | cols: country, date, value, indicator
[3237] Cost of fats and oils in local currency unit | pub=World Bank | cols: country, date, value, indicator
[3238] Cost of fats and oils in local currency unit | pub=World Bank | cols: country, date, value, indicator
