[3318] Daily mobile phone use, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3319] Daily mobile phone use (% with a phone, age 15+) | pub=World Bank | cols: country, date, value, indicator
[3320] Less than once a month mobile phone use  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3321] Monthly mobile phone use  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3322] Monthly mobile phone use, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3323] Monthly mobile phone use, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3324] Monthly mobile phone use, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3325] Monthly mobile phone use, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3326] Monthly mobile phone use, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3327] Monthly mobile phone use, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[3328] Monthly mobile phone use, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[3329] Monthly mobile phone use, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3330] Monthly mobile phone use, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3331] Monthly mobile phone use, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3332] Monthly mobile phone use, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3333] Monthly mobile phone use, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3334] Monthly mobile phone use (% with a phone, age 15+) | pub=World Bank | cols: country, date, value, indicator
[3335] Weekly mobile phone use  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3336] Weekly mobile phone use, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3337] Weekly mobile phone use, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3338] Weekly mobile phone use, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3339] Weekly mobile phone use, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3340] Weekly mobile phone use, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3341] Weekly mobile phone use, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[3342] Weekly mobile phone use, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[3343] Weekly mobile phone use, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3344] Weekly mobile phone use, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3345] Weekly mobile phone use, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3346] Weekly mobile phone use, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3347] Weekly mobile phone use, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3348] Weekly mobile phone use (% with a phone, age 15+) | pub=World Bank | cols: country, date, value, indicator
[3349] Used a mobile phone in the past three months  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3350] Used a mobile phone in the past three months, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3351] Used a mobile phone in the past three months, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3352] Used a mobile phone in the past three months, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3353] Used a mobile phone in the past three months, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3354] Used a mobile phone in the past three months, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3355] Used a mobile phone in the past three months, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[3356] Used a mobile phone in the past three months, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[3357] Used a mobile phone in the past three months, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3358] Used a mobile phone in the past three months, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3359] Used a mobile phone in the past three months, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3360] Used a mobile phone in the past three months (% with a phone, age 15+) | pub=World Bank | cols: country, date, value, indicator
[3363] Read a text message on a mobile phone, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3364] Read a text message on a mobile phone, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3365] Read a text message on a mobile phone, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3367] Read a text message on a mobile phone, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[3368] Read a text message on a mobile phone, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[3369] Read a text message on a mobile phone, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3370] Read a text message on a mobile phone, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3371] Read a text message on a mobile phone, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3372] Read a text message on a mobile phone, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3373] Read a text message on a mobile phone, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3374] Read a text message on a mobile phone (% with a phone, age 15+) | pub=World Bank | cols: country, date, value, indicator
[3375] Can read and understand a text message using English letters (% who, age 15+) (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3376] Can read and understand a text message using English letters (% who, age 15+), women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3377] Can read and understand a text message using English letters (% who, age 15+), urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3378] Can read and understand a text message using English letters (% who, age 15+), out of laborforce (%  | pub=World Bank | cols: country, date, value, indicator
[3379] Can read and understand a text message using English letters (% who, age 15+), in laborforce (% age  | pub=World Bank | cols: country, date, value, indicator
[3380] Can read and understand a text message using English letters (% who, age 15+), men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3381] Can read and understand a text message using English letters (% who, age 15+), young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[3382] Can read and understand a text message using English letters (% who, age 15+), older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[3383] Can read and understand a text message using English letters (% who, age 15+), primary education or  | pub=World Bank | cols: country, date, value, indicator
[3384] Can read and understand a text message using English letters (% who, age 15+), secondary education o | pub=World Bank | cols: country, date, value, indicator
[3385] Can read and understand a text message using English letters (% who, age 15+), poorest 40% (% age 15 | pub=World Bank | cols: country, date, value, indicator
[3386] Can read and understand a text message using English letters (% who, age 15+), richest 60% (% age 15 | pub=World Bank | cols: country, date, value, indicator
[3387] Can read and understand a text message using English letters (% who, age 15+), rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
