[3430] Prefers receiving government news by phone call (% with a phone, age 15+) | pub=World Bank | cols: country, date, value, indicator
[3431] Prefers receiving government news by neither call or text  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3432] Prefers receiving government news by neither call or text, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3433] Prefers receiving government news by neither call or text, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3434] Prefers receiving government news by neither call or text, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3435] Prefers receiving government news by neither call or text, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3436] Prefers receiving government news by neither call or text, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3437] Prefers receiving government news by neither call or text, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[3438] Prefers receiving government news by neither call or text, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[3439] Prefers receiving government news by neither call or text, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3440] Prefers receiving government news by neither call or text, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3441] Prefers receiving government news by neither call or text, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3442] Prefers receiving government news by neither call or text, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3443] Prefers receiving government news by neither call or text, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3444] Prefers receiving government news by neither call or text (% with a phone, age 15+) | pub=World Bank | cols: country, date, value, indicator
[3445] Prefers receiving government news by both call or text  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3446] Prefers receiving government news by both call or text, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3447] Prefers receiving government news by both call or text, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3448] Prefers receiving government news by both call or text, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3449] Prefers receiving government news by both call or text, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3450] Prefers receiving government news by both call or text, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3451] Prefers receiving government news by both call or text, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[3452] Prefers receiving government news by both call or text, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[3453] Prefers receiving government news by both call or text, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3454] Prefers receiving government news by both call or text, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3455] Prefers receiving government news by both call or text, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3456] Prefers receiving government news by both call or text, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3457] Prefers receiving government news by both call or text, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3458] Prefers receiving government news by both call or text (% with a phone, age 15+) | pub=World Bank | cols: country, date, value, indicator
[3461] Phone has a lock (PIN, password, fingerprint), urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3462] Phone has a lock (PIN, password, fingerprint), out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
