[3545] Less than once a month internet use, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3546] Less than once a month internet use, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3547] Less than once a month internet use, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3548] Less than once a month internet use, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3549] Less than once a month internet use, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3550] Less than once a month internet use, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[3551] Less than once a month internet use, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[3552] Less than once a month internet use, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3553] Less than once a month internet use, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3554] Less than once a month internet use, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3555] Less than once a month internet use, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3556] Less than once a month internet use, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3557] Less than once a month internet use (% internet users, age 15+) | pub=World Bank | cols: country, date, value, indicator
[3558] Monthly internet use  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3559] Monthly internet use, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3560] Monthly internet use, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3561] Monthly internet use, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3562] Monthly internet use, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3563] Monthly internet use, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3564] Monthly internet use, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[3565] Monthly internet use, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[3566] Monthly internet use, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3567] Monthly internet use, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3568] Monthly internet use, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3569] Monthly internet use (% internet users, age 15+) | pub=World Bank | cols: country, date, value, indicator
[3570] Weekly internet use  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3571] Weekly internet use, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3572] Weekly internet use, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3573] Weekly internet use, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3574] Weekly internet use, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3575] Weekly internet use, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3576] Weekly internet use, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[3577] Weekly internet use, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[3578] Weekly internet use, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3579] Weekly internet use, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3580] Weekly internet use, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3581] Weekly internet use, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3582] Weekly internet use, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3583] Weekly internet use (% internet users, age 15+) | pub=World Bank | cols: country, date, value, indicator
[3586] Buys data package for internet use, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3587] Buys data package for internet use, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3588] Buys data package for internet use, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3590] Buys data package for internet use, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[3591] Buys data package for internet use, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[3592] Buys data package for internet use, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3593] Buys data package for internet use, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3594] Buys data package for internet use, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3595] Buys data package for internet use, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3596] Buys data package for internet use, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3597] Buys data package for internet use  (% internet users, age 15+) | pub=World Bank | cols: country, date, value, indicator
[3598] Buys data package daily  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3599] Buys data package daily, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3600] Buys data package daily, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3601] Buys data package daily, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3602] Buys data package daily, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3603] Buys data package daily, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3604] Buys data package daily, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[3605] Buys data package daily, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[3606] Buys data package daily, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3607] Buys data package daily, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3608] Buys data package daily, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3609] Buys data package daily, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3610] Buys data package daily, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3611] Buys data package daily (% who purchase a data package, age 15+) | pub=World Bank | cols: country, date, value, indicator
[3612] Buys data package less than once a month  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3613] Buys data package less than once a month, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3614] Buys data package less than once a month, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3615] Buys data package less than once a month, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3616] Buys data package less than once a month, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3617] Buys data package less than once a month, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3618] Buys data package less than once a month, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[3619] Buys data package less than once a month, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[3620] Buys data package less than once a month, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3621] Buys data package less than once a month, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3622] Buys data package less than once a month, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3623] Buys data package less than once a month, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3624] Buys data package less than once a month, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3625] Buys data package less than once a month (% who purchase a data package, age 15+) | pub=World Bank | cols: country, date, value, indicator
[3628] Buys data package monthly, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3629] Buys data package monthly, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3630] Buys data package monthly, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3632] Buys data package monthly, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[3633] Buys data package monthly, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[3634] Buys data package monthly, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3635] Buys data package monthly, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3636] Buys data package monthly, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3637] Buys data package monthly, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3638] Buys data package monthly, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3639] Buys data package monthly  (% who purchase a data package, age 15+) | pub=World Bank | cols: country, date, value, indicator
[3640] Never buys data package  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3641] Buys data package weekly  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3642] Buys data package weekly, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3643] Buys data package weekly, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3644] Buys data package weekly, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3645] Buys data package weekly, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3646] Buys data package weekly, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3647] Buys data package weekly, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[3648] Buys data package weekly, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[3649] Buys data package weekly, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3650] Buys data package weekly, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
