[3651] Buys data package weekly, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3652] Buys data package weekly, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3653] Buys data package weekly, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3654] Buys data package weekly (% who purchase a data package, age 15+) | pub=World Bank | cols: country, date, value, indicator
[3655] Connects to Internet only through free WiFi  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3656] Connects to Internet only through free WiFi, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3657] Connects to Internet only through free WiFi, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3658] Connects to Internet only through free WiFi, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3659] Connects to Internet only through free WiFi, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3660] Connects to Internet only through free WiFi, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3661] Connects to Internet only through free WiFi, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[3662] Connects to Internet only through free WiFi, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[3663] Connects to Internet only through free WiFi, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3664] Connects to Internet only through free WiFi, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3665] Connects to Internet only through free WiFi, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3666] Connects to Internet only through free WiFi, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3667] Connects to Internet only through free WiFi, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3668] Connects to Internet only through free WiFi (% internet users, age 15+) | pub=World Bank | cols: country, date, value, indicator
[3669] No mobile phone due to lack of money  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3670] No mobile phone due to lack of money, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3671] No mobile phone due to lack of money, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3672] No mobile phone due to lack of money, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3673] No mobile phone due to lack of money, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3674] No mobile phone due to lack of money, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3675] No mobile phone due to lack of money, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[3676] No mobile phone due to lack of money, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[3677] No mobile phone due to lack of money, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3678] No mobile phone due to lack of money, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3679] No mobile phone due to lack of money, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3680] No mobile phone due to lack of money, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3681] No mobile phone due to lack of money, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3682] No mobile phone due to lack of money (% without a phone, age 15+) | pub=World Bank | cols: country, date, value, indicator
[3683] No mobile phone due to expensive minutes  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3684] No mobile phone due to expensive minutes, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3685] No mobile phone due to expensive minutes, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3686] No mobile phone due to expensive minutes, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3687] No mobile phone due to expensive minutes, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3688] No mobile phone due to expensive minutes, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3689] No mobile phone due to expensive minutes, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[3690] No mobile phone due to expensive minutes, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[3691] No mobile phone due to expensive minutes, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3692] No mobile phone due to expensive minutes, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3693] No mobile phone due to expensive minutes, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3694] No mobile phone due to expensive minutes, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3695] No mobile phone due to expensive minutes, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3696] No mobile phone due to expensive minutes(% without a phone, age 15+) | pub=World Bank | cols: country, date, value, indicator
[3697] No mobile phone due to unreliable coverage  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3698] No mobile phone due to unreliable coverage, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3699] No mobile phone due to unreliable coverage, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3700] No mobile phone due to unreliable coverage, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3701] No mobile phone due to unreliable coverage, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3702] No mobile phone due to unreliable coverage, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3703] No mobile phone due to unreliable coverage, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[3704] No mobile phone due to unreliable coverage, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[3705] No mobile phone due to unreliable coverage, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3706] No mobile phone due to unreliable coverage, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3707] No mobile phone due to unreliable coverage, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3708] No mobile phone due to unreliable coverage, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3709] No mobile phone due to unreliable coverage, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
