[3751] No mobile phone due to personal safety concerns, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3752] No mobile phone due to personal safety concerns (% without a phone, age 15+) | pub=World Bank | cols: country, date, value, indicator
[3753] No mobile phone because using someone else's phone  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3754] No mobile phone because using someone else's phone, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3755] No mobile phone because using someone else's phone, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3756] No mobile phone because using someone else's phone, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3757] No mobile phone because using someone else's phone, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3758] No mobile phone because using someone else's phone, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3759] No mobile phone because using someone else's phone, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[3760] No mobile phone because using someone else's phone, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[3761] No mobile phone because using someone else's phone, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3762] No mobile phone because using someone else's phone, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3763] No mobile phone because using someone else's phone, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3764] No mobile phone because using someone else's phone, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3765] No mobile phone because using someone else's phone, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3766] No mobile phone because using someone else's phone (% without a phone, age 15+) | pub=World Bank | cols: country, date, value, indicator
[3769] Sent a voice message in past three months, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3770] Sent a voice message in past three months, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3771] Sent a voice message in past three months, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3773] Sent a voice message in past three months, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[3774] Sent a voice message in past three months, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[3775] Sent a voice message in past three months, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
