[3869] Searched/applied for a job online in past three months, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3870] Searched/applied for a job online in past three months, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3871] Searched/applied for a job online in past three months, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[3872] Searched/applied for a job online in past three months, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[3873] Searched/applied for a job online in past three months, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3874] Searched/applied for a job online in past three months, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3875] Searched/applied for a job online in past three months, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3876] Searched/applied for a job online in past three months, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3877] Searched/applied for a job online in past three months, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3878] Searched/applied for a job online in past three months (% internet users, age 15+) | pub=World Bank | cols: country, date, value, indicator
[3881] Does not own a smartphone due to cost, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3882] Does not own a smartphone due to cost, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3883] Does not own a smartphone due to cost, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3885] Does not own a smartphone due to cost, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[3886] Does not own a smartphone due to cost, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[3887] Does not own a smartphone due to cost, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3888] Does not own a smartphone due to cost, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3889] Does not own a smartphone due to cost, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3890] Does not own a smartphone due to cost, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3891] Does not own a smartphone due to cost, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3892] Does not own a smartphone due to cost (% non-smartphone owners, age 15+) | pub=World Bank | cols: country, date, value, indicator
[3893] Does not own a smartphone due to data cost  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3894] Does not own a smartphone due to data cost, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3895] Does not own a smartphone due to data cost, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3896] Does not own a smartphone due to data cost, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3897] Does not own a smartphone due to data cost, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3898] Does not own a smartphone due to data cost, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3899] Does not own a smartphone due to data cost, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[3900] Does not own a smartphone due to data cost, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[3901] Does not own a smartphone due to data cost, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3902] Does not own a smartphone due to data cost, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3903] Does not own a smartphone due to data cost, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3904] Does not own a smartphone due to data cost, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3905] Does not own a smartphone due to data cost, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3906] Does not own a smartphone due to data cost (% non-smartphone owners, age 15+) | pub=World Bank | cols: country, date, value, indicator
[3907] Does not own a smartphone due to lack of reliable internet coverage  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3908] Does not own a smartphone due to lack of reliable internet coverage, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3909] Does not own a smartphone due to lack of reliable internet coverage, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3910] Does not own a smartphone due to lack of reliable internet coverage, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3911] Does not own a smartphone due to lack of reliable internet coverage, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3912] Does not own a smartphone due to lack of reliable internet coverage, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3913] Does not own a smartphone due to lack of reliable internet coverage, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[3914] Does not own a smartphone due to lack of reliable internet coverage, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[3915] Does not own a smartphone due to lack of reliable internet coverage, primary education or less (% ag | pub=World Bank | cols: country, date, value, indicator
[3916] Does not own a smartphone due to lack of reliable internet coverage, secondary education or more (%  | pub=World Bank | cols: country, date, value, indicator
[3917] Does not own a smartphone due to lack of reliable internet coverage, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3918] Does not own a smartphone due to lack of reliable internet coverage, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3919] Does not own a smartphone due to lack of reliable internet coverage, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3920] Does not own a smartphone due to lack of reliable internet coverage (% non-smartphone owners, age 15 | pub=World Bank | cols: country, date, value, indicator
[3921] Does not own a smartphone due to difficulty reading/typing on a smartphone  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3922] Does not own a smartphone due to difficulty reading/typing on a smartphone, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3923] Does not own a smartphone due to difficulty reading/typing on a smartphone, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3924] Does not own a smartphone due to difficulty reading/typing on a smartphone, out of laborforce (% age | pub=World Bank | cols: country, date, value, indicator
[3925] Does not own a smartphone due to difficulty reading/typing on a smartphone, in laborforce (% age 15+ | pub=World Bank | cols: country, date, value, indicator
[3926] Does not own a smartphone due to difficulty reading/typing on a smartphone, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3927] Does not own a smartphone due to difficulty reading/typing on a smartphone, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[3928] Does not own a smartphone due to difficulty reading/typing on a smartphone, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[3929] Does not own a smartphone due to difficulty reading/typing on a smartphone, primary education or les | pub=World Bank | cols: country, date, value, indicator
[3930] Does not own a smartphone due to difficulty reading/typing on a smartphone, secondary education or m | pub=World Bank | cols: country, date, value, indicator
[3931] Does not own a smartphone due to difficulty reading/typing on a smartphone, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3932] Does not own a smartphone due to difficulty reading/typing on a smartphone, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3933] Does not own a smartphone due to difficulty reading/typing on a smartphone, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3934] Does not own a smartphone due to difficulty reading/typing on a smartphone (% non-smartphone owners, | pub=World Bank | cols: country, date, value, indicator
[3935] Does not own a smartphone due to disapproval from family/community  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3936] Does not own a smartphone due to safety/security concerns  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3937] Does not own a smartphone due to safety/security concerns, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3938] Does not own a smartphone due to safety/security concerns, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3939] Does not own a smartphone due to safety/security concerns, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3940] Does not own a smartphone due to safety/security concerns, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3941] Does not own a smartphone due to safety/security concerns, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3942] Does not own a smartphone due to safety/security concerns, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[3943] Does not own a smartphone due to safety/security concerns, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[3944] Does not own a smartphone due to safety/security concerns, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3945] Does not own a smartphone due to safety/security concerns, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3946] Does not own a smartphone due to safety/security concerns, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3947] Does not own a smartphone due to safety/security concerns, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3948] Does not own a smartphone due to safety/security concerns, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3949] Does not own a smartphone due to safety/security concerns (% non-smartphone owners, age 15+) | pub=World Bank | cols: country, date, value, indicator
[3950] Does not own a smartphone because they use someone else's  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3951] Does not own a smartphone because they don't need one  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3952] Does not own a smartphone because they don't need one, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3953] Does not own a smartphone because they don't need one, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3954] Does not own a smartphone because they don't need one, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3955] Does not own a smartphone because they don't need one, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3956] Does not own a smartphone because they don't need one, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
