[3972] Main reason for not owning a smartphone: lack of money, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[3973] Main reason for not owning a smartphone: lack of money, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3974] Main reason for not owning a smartphone: lack of money, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3975] Main reason for not owning a smartphone: lack of money, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3976] Main reason for not owning a smartphone: lack of money, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3977] Main reason for not owning a smartphone: lack of money, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3978] Main reason for not owning a smartphone: lack of money (% non-smartphone owners, age 15+) | pub=World Bank | cols: country, date, value, indicator
[3979] Main reason for not owning a smartphone: mobile minutes too expensive  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3980] Main reason for not owning a smartphone: no reliable coverage  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3981] Main reason for not owning a smartphone: difficulty reading/typing  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3982] Main reason for not owning a smartphone: family/community disapproval  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3983] Main reason for not owning a smartphone: safety/security concerns  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3984] Main reason for not owning a smartphone: uses someone else's phone  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3985] Main reason for not owning a smartphone: no need for a smartphone  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3986] Main reason for not owning a smartphone: no need for a smartphone, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3987] Main reason for not owning a smartphone: no need for a smartphone, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3988] Main reason for not owning a smartphone: no need for a smartphone, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3989] Main reason for not owning a smartphone: no need for a smartphone, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3990] Main reason for not owning a smartphone: no need for a smartphone, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3991] Main reason for not owning a smartphone: no need for a smartphone, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[3992] Main reason for not owning a smartphone: no need for a smartphone, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[3993] Main reason for not owning a smartphone: no need for a smartphone, primary education or less (% age  | pub=World Bank | cols: country, date, value, indicator
[3994] Main reason for not owning a smartphone: no need for a smartphone, secondary education or more (% ag | pub=World Bank | cols: country, date, value, indicator
[3995] Main reason for not owning a smartphone: no need for a smartphone, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3996] Main reason for not owning a smartphone: no need for a smartphone, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3997] Main reason for not owning a smartphone: no need for a smartphone, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3998] Main reason for not owning a smartphone: no need for a smartphone (% non-smartphone owners, age 15+) | pub=World Bank | cols: country, date, value, indicator
[3999] Main reason for no phone: Not enough money  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4000] Main reason for no phone: Not enough money, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4001] Main reason for no phone: Not enough money, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4002] Main reason for no phone: Not enough money, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4003] Main reason for no phone: Not enough money, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4004] Main reason for no phone: Not enough money, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4005] Main reason for no phone: Not enough money, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[4006] Main reason for no phone: Not enough money, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[4007] Main reason for no phone: Not enough money, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4008] Main reason for no phone: Not enough money, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4009] Main reason for no phone: Not enough money, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4010] Main reason for no phone: Not enough money, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4011] Main reason for no phone: Not enough money, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4012] Main reason for no phone: Not enough money (% without a phone, age 15+) | pub=World Bank | cols: country, date, value, indicator
[4013] Main reason for no phone: Buying minutes too expensive  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4014] Main reason for no phone: No reliable coverage  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4015] Main reason for no phone: Difficulty reading or typing  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4016] Main reason for no phone: Family/community disapproval  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4017] Main reason for no phone: Personal safety/security concerns  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4018] Main reason for no phone: Use someone else's phone  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4019] Used someone else's phone in past three months  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4020] Used someone else's phone in past three months, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4021] Used someone else's phone in past three months, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4022] Used someone else's phone in past three months, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4023] Used someone else's phone in past three months, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4024] Used someone else's phone in past three months, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4025] Used someone else's phone in past three months, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[4026] Used someone else's phone in past three months, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[4027] Used someone else's phone in past three months, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4028] Used someone else's phone in past three months, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4029] Used someone else's phone in past three months, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4030] Used someone else's phone in past three months, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4031] Used someone else's phone in past three months, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4032] Used someone else's phone in past three months (% without a phone, age 15+) | pub=World Bank | cols: country, date, value, indicator
[4033] Phone used was a smartphone  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4034] Phone used was a smartphone, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4035] Phone used was a smartphone, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4036] Phone used was a smartphone, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4037] Phone used was a smartphone, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4038] Phone used was a smartphone, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4039] Phone used was a smartphone, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[4040] Phone used was a smartphone, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[4041] Phone used was a smartphone, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4042] Phone used was a smartphone, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4043] Phone used was a smartphone, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4044] Phone used was a smartphone, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4045] Phone used was a smartphone, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4046] Phone used was a smartphone (% who used someone else's phone, age 15+) | pub=World Bank | cols: country, date, value, indicator
[4047] Phone used was a basic text phone  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4048] Phone used was a basic text phone, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4049] Phone used was a basic text phone, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4050] Phone used was a basic text phone, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4051] Phone used was a basic text phone, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4052] Phone used was a basic text phone, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4053] Phone used was a basic text phone, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[4054] Phone used was a basic text phone, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[4055] Phone used was a basic text phone, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4056] Phone used was a basic text phone, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4057] Phone used was a basic text phone, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4058] Phone used was a basic text phone, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4059] Phone used was a basic text phone, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4060] Phone used was a basic text phone (% who used someone else's phone, age 15+) | pub=World Bank | cols: country, date, value, indicator
[4061] Used personal SIM card in someone else's phone  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4062] Used someone else's phone and family member sets rules for use  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4063] Someone in household owns a mobile phone  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4064] Someone in household owns a mobile phone, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4065] Someone in household owns a mobile phone, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4066] Someone in household owns a mobile phone, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4067] Someone in household owns a mobile phone, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4068] Someone in household owns a mobile phone, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4069] Someone in household owns a mobile phone, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[4070] Someone in household owns a mobile phone, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[4071] Someone in household owns a mobile phone, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
