[4072] Someone in household owns a mobile phone, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4073] Someone in household owns a mobile phone, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4074] Someone in household owns a mobile phone, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4075] Someone in household owns a mobile phone, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4078] Main mobile phone is a smartphone, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4079] Main mobile phone is a smartphone, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4080] Main mobile phone is a smartphone, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4082] Main mobile phone is a smartphone, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[4083] Main mobile phone is a smartphone, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[4084] Main mobile phone is a smartphone, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4085] Main mobile phone is a smartphone, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4086] Main mobile phone is a smartphone, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4087] Main mobile phone is a smartphone, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4088] Main mobile phone is a smartphone, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4091] Main mobile phone is a basic text phone, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4092] Main mobile phone is a basic text phone, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4093] Main mobile phone is a basic text phone, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4095] Main mobile phone is a basic text phone, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[4096] Main mobile phone is a basic text phone, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[4097] Main mobile phone is a basic text phone, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4098] Main mobile phone is a basic text phone, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4099] Main mobile phone is a basic text phone, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4100] Main mobile phone is a basic text phone, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4101] Main mobile phone is a basic text phone, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
