[4269] Disb. of Long-Term Loans (US$, as per IBRD DRS) | pub=World Bank | cols: country, date, value, indicator
[4270] Central Bank, incl. IMF credit | pub=World Bank | cols: country, date, value, indicator
[4271] Central Government | pub=World Bank | cols: country, date, value, indicator
[4272] Long-Term Debt (by debtor) | pub=World Bank | cols: country, date, value, indicator
[4273] Non-financial Public Enterprices | pub=World Bank | cols: country, date, value, indicator
[4274] Private sector, incl. non-guaranteed | pub=World Bank | cols: country, date, value, indicator
[4275] Rest of General Government | pub=World Bank | cols: country, date, value, indicator
[4276] Long-Term Interest Payments (as per IBRD DRS) | pub=World Bank | cols: country, date, value, indicator
[4277] Long-Term Loans (net) (US$, as per IBRD DRS) | pub=World Bank | cols: country, date, value, indicator
[4278] Central Bank Ext. Debt, incl. IMF credit (US$) | pub=World Bank | cols: country, date, value, indicator
[4285] Non-guar. Private Long-Term Debt(US$, IBRD DRS) | pub=World Bank | cols: country, date, value, indicator
[4286] Gross PSD, Budgetary Central Gov., All maturities, All instruments, Domestic creditors, Nominal Valu | pub=World Bank | cols: country, date, value, indicator
[4287] Gross PSD, Budgetary Central Gov., All maturities, All instruments, Domestic creditors, Nominal Valu | pub=World Bank | cols: country, date, value, indicator
[4289] Gross PSD, Central Gov., All maturities, All instruments, Domestic creditors, Nominal Value, Nationa | pub=World Bank | cols: country, date, value, indicator
[4290] Gross PSD, Central Gov., All maturities, All instruments, Domestic creditors, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4292] Gross PSD, Financial Public Corp., All maturities, All instruments, Domestic creditors, Nominal Valu | pub=World Bank | cols: country, date, value, indicator
[4293] Gross PSD, Financial Public Corp., All maturities, All instruments, Domestic creditors, Nominal Valu | pub=World Bank | cols: country, date, value, indicator
[4295] Gross PSD, General Gov., All maturities, All instruments, Domestic creditors, Nominal Value, Nationa | pub=World Bank | cols: country, date, value, indicator
[4296] Gross PSD, General Gov., All maturities, All instruments, Domestic creditors, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4298] Gross PSD, Nonfinancial Public Corp., All maturities, All instruments, Domestic creditors, Nominal V | pub=World Bank | cols: country, date, value, indicator
[4299] Gross PSD, Nonfinancial Public Corp., All maturities, All instruments, Domestic creditors, Nominal V | pub=World Bank | cols: country, date, value, indicator
[4301] Gross PSD, Public Sector, All maturities, All instruments, Domestic creditors, Nominal Value, Nation | pub=World Bank | cols: country, date, value, indicator
[4302] Gross PSD, Total, All maturities, All instruments, Domestic creditors, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4303] Gross PSD, Budgetary Central Gov., All maturities, All instruments, Foreign currency, Nominal Value, | pub=World Bank | cols: country, date, value, indicator
[4304] Gross PSD, Budgetary Central Gov., All maturities, All instruments, Foreign currency, Nominal Value, | pub=World Bank | cols: country, date, value, indicator
[4306] Gross PSD, Central Gov., All maturities, All instruments, Foreign currency, Nominal Value, National  | pub=World Bank | cols: country, date, value, indicator
[4307] Gross PSD, Central Gov., All maturities, All instruments, Foreign currency, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4309] Gross PSD, Financial Public Corp., All maturities, All instruments, Foreign currency, Nominal Value, | pub=World Bank | cols: country, date, value, indicator
[4310] Gross PSD, Financial Public Corp., All maturities, All instruments, Foreign currency, Nominal Value, | pub=World Bank | cols: country, date, value, indicator
[4312] Gross PSD, General Gov., All maturities, All instruments, Foreign currency, Nominal Value, National  | pub=World Bank | cols: country, date, value, indicator
[4313] Gross PSD, General Gov., All maturities, All instruments, Foreign currency, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4315] Gross PSD, Nonfinancial Public Corp., All maturities, All instruments, Foreign currency, Nominal Val | pub=World Bank | cols: country, date, value, indicator
[4316] Gross PSD, Nonfinancial Public Corp., All maturities, All instruments, Foreign currency, Nominal Val | pub=World Bank | cols: country, date, value, indicator
[4318] Gross PSD, Public Sector, All maturities, All instruments, Foreign currency, Nominal Value, National | pub=World Bank | cols: country, date, value, indicator
[4319] Gross PSD, Total, All maturities, All instruments, Foreign currency, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4320] Gross PSD, Budgetary Central Gov., All maturities, All instruments, Domestic currency, Nominal Value | pub=World Bank | cols: country, date, value, indicator
[4321] Gross PSD, Budgetary Central Gov., All maturities, All instruments, Domestic currency, Nominal Value | pub=World Bank | cols: country, date, value, indicator
[4323] Gross PSD, Central Gov., All maturities, All instruments, Domestic currency, Nominal Value, National | pub=World Bank | cols: country, date, value, indicator
[4324] Gross PSD, Central Gov., All maturities, All instruments, Domestic currency, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4326] Gross PSD, Financial Public Corp., All maturities, All instruments, Domestic currency, Nominal Value | pub=World Bank | cols: country, date, value, indicator
[4327] Gross PSD, Financial Public Corp., All maturities, All instruments, Domestic currency, Nominal Value | pub=World Bank | cols: country, date, value, indicator
[4329] Gross PSD, General Gov., All maturities, All instruments, Domestic currency, Nominal Value, National | pub=World Bank | cols: country, date, value, indicator
[4330] Gross PSD, General Gov., All maturities, All instruments, Domestic currency, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4332] Gross PSD, Nonfinancial Public Corp., All maturities, All instruments, Domestic currency, Nominal Va | pub=World Bank | cols: country, date, value, indicator
[4333] Gross PSD, Nonfinancial Public Corp., All maturities, All instruments, Domestic currency, Nominal Va | pub=World Bank | cols: country, date, value, indicator
[4335] Gross PSD, Public Sector, All maturities, All instruments, Domestic currency, Nominal Value, Nationa | pub=World Bank | cols: country, date, value, indicator
[4336] Gross PSD, Total, All maturities, All instruments, Domestic currency, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4337] Gross PSD, Budgetary Central Gov., All maturities, All instruments, Nominal Value, National Currency | pub=World Bank | cols: country, date, value, indicator
[4338] Gross PSD, Budgetary Central Gov., All maturities, All instruments, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4340] Gross PSD, Central Gov., All maturities, All instruments, Nominal Value, National Currency | pub=World Bank | cols: country, date, value, indicator
[4341] Gross PSD, Central Gov., All maturities, All instruments, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4343] Gross PSD, Financial Public Corp., All maturities, All instruments, Nominal Value, National Currency | pub=World Bank | cols: country, date, value, indicator
[4344] Gross PSD, Financial Public Corp., All maturities, All instruments, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4346] Gross PSD, General Gov., All maturities, All instruments, Nominal Value, National Currency | pub=World Bank | cols: country, date, value, indicator
[4347] Gross PSD, General Gov., All maturities, All instruments, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4349] Gross PSD, Nonfinancial Public Corp., All maturities, All instruments, Nominal Value, National Curre | pub=World Bank | cols: country, date, value, indicator
[4350] Gross PSD, Nonfinancial Public Corp., All maturities, All instruments, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4352] Gross PSD, Public Sector, All maturities, All instruments, Nominal Value, National Currency | pub=World Bank | cols: country, date, value, indicator
[4353] Gross PSD, Total, All maturities, All instruments, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4354] Gross PSD, Budgetary Central Gov., All maturities, All instruments, External creditors, Nominal Valu | pub=World Bank | cols: country, date, value, indicator
[4355] Gross PSD, Budgetary Central Gov., All maturities, All instruments, External creditors, Nominal Valu | pub=World Bank | cols: country, date, value, indicator
