[4701] Gross PSD, Central Gov., Long-term, All instruments, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4703] Gross PSD, Financial Public Corp., Long-term, All instruments, Nominal Value, National Currency | pub=World Bank | cols: country, date, value, indicator
[4704] Gross PSD, Financial Public Corp., Long-term, All instruments, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4706] Gross PSD, General Gov., Long-term, All instruments, Nominal Value, National Currency | pub=World Bank | cols: country, date, value, indicator
[4707] Gross PSD, General Gov., Long-term, All instruments, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4709] Gross PSD, Budgetary Central Gov., Long-term, With payment due in one year or less, All instruments, | pub=World Bank | cols: country, date, value, indicator
[4710] Gross PSD, Budgetary Central Gov., Long-term, With payment due in one year or less, All instruments, | pub=World Bank | cols: country, date, value, indicator
[4712] Gross PSD, Central Gov., Long-term, With payment due in one year or less, All instruments, Nominal V | pub=World Bank | cols: country, date, value, indicator
[4713] Gross PSD, Central Gov., Long-term, With payment due in one year or less, All instruments, Nominal V | pub=World Bank | cols: country, date, value, indicator
[4715] Gross PSD, Financial Public Corp., Long-term, With payment due in one year or less, All instruments, | pub=World Bank | cols: country, date, value, indicator
[4716] Gross PSD, Financial Public Corp., Long-term, With payment due in one year or less, All instruments, | pub=World Bank | cols: country, date, value, indicator
[4718] Gross PSD, General Gov., Long-term, With payment due in one year or less, All instruments, Nominal V | pub=World Bank | cols: country, date, value, indicator
[4719] Gross PSD, General Gov., Long-term, With payment due in one year or less, All instruments, Nominal V | pub=World Bank | cols: country, date, value, indicator
[4721] Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in one year or less, All instrumen | pub=World Bank | cols: country, date, value, indicator
[4722] Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in one year or less, All instrumen | pub=World Bank | cols: country, date, value, indicator
[4724] Gross PSD, Public Sector, Long-term, With payment due in one year or less, All instruments, Nominal  | pub=World Bank | cols: country, date, value, indicator
[4725] Gross PSD, Total, Long-term, With payment due in one year or less, All instruments, Nominal Value, U | pub=World Bank | cols: country, date, value, indicator
[4726] Gross PSD, Budgetary Central Gov., Long-term, With payment due in more than one year, All instrument | pub=World Bank | cols: country, date, value, indicator
[4727] Gross PSD, Budgetary Central Gov., Long-term, With payment due in more than one year, All instrument | pub=World Bank | cols: country, date, value, indicator
[4729] Gross PSD, Central Gov., Long-term, With payment due in more than one year, All instruments, Nominal | pub=World Bank | cols: country, date, value, indicator
[4730] Gross PSD, Central Gov., Long-term, With payment due in more than one year, All instruments, Nominal | pub=World Bank | cols: country, date, value, indicator
[4732] Gross PSD, Financial Public Corp., Long-term, With payment due in more than one year, All instrument | pub=World Bank | cols: country, date, value, indicator
[4733] Gross PSD, Financial Public Corp., Long-term, With payment due in more than one year, All instrument | pub=World Bank | cols: country, date, value, indicator
[4735] Gross PSD, General Gov., Long-term, With payment due in more than one year, All instruments, Nominal | pub=World Bank | cols: country, date, value, indicator
[4736] Gross PSD, General Gov., Long-term, With payment due in more than one year, All instruments, Nominal | pub=World Bank | cols: country, date, value, indicator
[4738] Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in more than one year, All instrum | pub=World Bank | cols: country, date, value, indicator
[4739] Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in more than one year, All instrum | pub=World Bank | cols: country, date, value, indicator
[4741] Gross PSD, Public Sector, Long-term, With payment due in more than one year, All instruments, Nomina | pub=World Bank | cols: country, date, value, indicator
[4742] Gross PSD, Total, Long-term, With payment due in more than one year, All instruments, Nominal Value, | pub=World Bank | cols: country, date, value, indicator
[4743] Gross PSD, Nonfinancial Public Corp., Long-term, All instruments, Nominal Value, National Currency | pub=World Bank | cols: country, date, value, indicator
[4744] Gross PSD, Nonfinancial Public Corp., Long-term, All instruments, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4746] Gross PSD, Public Sector, Long-term, All instruments, Nominal Value, National Currency | pub=World Bank | cols: country, date, value, indicator
[4747] Gross PSD, Total, Long-term, All instruments, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4748] Priv. Sector Ext. Debt, incl. non-guarant.(US$) | pub=World Bank | cols: country, date, value, indicator
[4749] Gross PSD, Budgetary Central Gov., Short-term, Currency and deposits, Nominal Value, National Curren | pub=World Bank | cols: country, date, value, indicator
[4750] Gross PSD, Budgetary Central Gov., Short-term, Currency and deposits, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4752] Gross PSD, Central Gov., Short-term, Currency and deposits, Nominal Value, National Currency | pub=World Bank | cols: country, date, value, indicator
[4753] Gross PSD, Central Gov., Short-term, Currency and deposits, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4755] Gross PSD, Financial Public Corp., Short-term, Currency and deposits, Nominal Value, National Curren | pub=World Bank | cols: country, date, value, indicator
[4756] Gross PSD, Financial Public Corp., Short-term, Currency and deposits, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4758] Gross PSD, General Gov., Short-term, Currency and deposits, Nominal Value, National Currency | pub=World Bank | cols: country, date, value, indicator
[4759] Gross PSD, General Gov., Short-term, Currency and deposits, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4761] Gross PSD, Nonfinancial Public Corp., Short-term, Currency and deposits, Nominal Value, National Cur | pub=World Bank | cols: country, date, value, indicator
[4762] Gross PSD, Nonfinancial Public Corp., Short-term, Currency and deposits, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4764] Gross PSD, Public Sector, Short-term, Currency and deposits, Nominal Value, National Currency | pub=World Bank | cols: country, date, value, indicator
[4765] Gross PSD, Total, Short-term, Currency and deposits, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4766] Gross PSD, Budgetary Central Gov., Short-term, Debt securities, Nominal Value, National Currency | pub=World Bank | cols: country, date, value, indicator
[4767] Gross PSD, Budgetary Central Gov., Short-term, Debt securities, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4769] Gross PSD, Central Gov., Short-term, Debt securities, Nominal Value, National Currency | pub=World Bank | cols: country, date, value, indicator
[4770] Gross PSD, Central Gov., Short-term, Debt securities, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4772] Gross PSD, Financial Public Corp., Short-term, Debt securities, Nominal Value, National Currency | pub=World Bank | cols: country, date, value, indicator
[4773] Gross PSD, Financial Public Corp., Short-term, Debt securities, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4775] Gross PSD, General Gov., Short-term, Debt securities, Nominal Value, National Currency | pub=World Bank | cols: country, date, value, indicator
[4776] Gross PSD, General Gov., Short-term, Debt securities, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4778] Gross PSD, Nonfinancial Public Corp., Short-term, Debt securities, Nominal Value, National Currency | pub=World Bank | cols: country, date, value, indicator
[4779] Gross PSD, Nonfinancial Public Corp., Short-term, Debt securities, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4781] Gross PSD, Public Sector, Short-term, Debt securities, Nominal Value, National Currency | pub=World Bank | cols: country, date, value, indicator
[4782] Gross PSD, Total, Short-term, Debt securities, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4783] Gross PSD, Budgetary Central Gov., Short-term, Insurance, pensions, and standardized guarantee schem | pub=World Bank | cols: country, date, value, indicator
[4784] Gross PSD, Budgetary Central Gov., Short-term, Insurance, pensions, and standardized guarantee schem | pub=World Bank | cols: country, date, value, indicator
[4786] Gross PSD, Central Gov., Short-term, Insurance, pensions, and standardized guarantee schemes, Nomina | pub=World Bank | cols: country, date, value, indicator
[4787] Gross PSD, Central Gov., Short-term, Insurance, pensions, and standardized guarantee schemes, Nomina | pub=World Bank | cols: country, date, value, indicator
[4789] Gross PSD, Financial Public Corp., Short-term, Insurance, pensions, and standardized guarantee schem | pub=World Bank | cols: country, date, value, indicator
[4790] Gross PSD, Financial Public Corp., Short-term, Insurance, pensions, and standardized guarantee schem | pub=World Bank | cols: country, date, value, indicator
[4792] Gross PSD, General Gov., Short-term, Insurance, pensions, and standardized guarantee schemes, Nomina | pub=World Bank | cols: country, date, value, indicator
[4793] Gross PSD, General Gov., Short-term, Insurance, pensions, and standardized guarantee schemes, Nomina | pub=World Bank | cols: country, date, value, indicator
[4795] Gross PSD, Nonfinancial Public Corp., Short-term, Insurance, pensions, and standardized guarantee sc | pub=World Bank | cols: country, date, value, indicator
[4796] Gross PSD, Nonfinancial Public Corp., Short-term, Insurance, pensions, and standardized guarantee sc | pub=World Bank | cols: country, date, value, indicator
[4798] Gross PSD, Public Sector, Short-term, Insurance, pensions, and standardized guarantee schemes, Nomin | pub=World Bank | cols: country, date, value, indicator
[4799] Gross PSD, Total, Short-term, Insurance, pensions, and standardized guarantee schemes, Nominal Value | pub=World Bank | cols: country, date, value, indicator
[4800] Gross PSD, Budgetary Central Gov., Short-term, Loans, Nominal Value, National Currency | pub=World Bank | cols: country, date, value, indicator
[4801] Gross PSD, Budgetary Central Gov., Short-term, Loans, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4803] Gross PSD, Central Gov., Short-term, Loans, Nominal Value, National Currency | pub=World Bank | cols: country, date, value, indicator
[4804] Gross PSD, Central Gov., Short-term, Loans, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4806] Gross PSD, Financial Public Corp., Short-term, Loans, Nominal Value, National Currency | pub=World Bank | cols: country, date, value, indicator
[4807] Gross PSD, Financial Public Corp., Short-term, Loans, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4809] Gross PSD, General Gov., Short-term, Loans, Nominal Value, National Currency | pub=World Bank | cols: country, date, value, indicator
[4810] Gross PSD, General Gov., Short-term, Loans, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4812] Gross PSD, Nonfinancial Public Corp., Short-term, Loans, Nominal Value, National Currency | pub=World Bank | cols: country, date, value, indicator
[4813] Gross PSD, Nonfinancial Public Corp., Short-term, Loans, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4815] Gross PSD, Public Sector, Short-term, Loans, Nominal Value, National Currency | pub=World Bank | cols: country, date, value, indicator
[4816] Gross PSD, Total, Short-term, Loans, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4817] Gross PSD, Budgetary Central Gov., Short-term, Other accounts payable, Nominal Value, National Curre | pub=World Bank | cols: country, date, value, indicator
[4818] Gross PSD, Budgetary Central Gov., Short-term, Other accounts payable, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4820] Gross PSD, Central Gov., Short-term, Other accounts payable, Nominal Value, National Currency | pub=World Bank | cols: country, date, value, indicator
[4821] Gross PSD, Central Gov., Short-term, Other accounts payable, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4823] Gross PSD, Financial Public Corp., Short-term, Other accounts payable, Nominal Value, National Curre | pub=World Bank | cols: country, date, value, indicator
[4824] Gross PSD, Financial Public Corp., Short-term, Other accounts payable, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4826] Gross PSD, General Gov., Short-term, Other accounts payable, Nominal Value, National Currency | pub=World Bank | cols: country, date, value, indicator
[4827] Gross PSD, General Gov., Short-term, Other accounts payable, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4829] Gross PSD, Nonfinancial Public Corp., Short-term, Other accounts payable, Nominal Value, National Cu | pub=World Bank | cols: country, date, value, indicator
[4830] Gross PSD, Nonfinancial Public Corp., Short-term, Other accounts payable, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4832] Gross PSD, Public Sector, Short-term, Other accounts payable, Nominal Value, National Currency | pub=World Bank | cols: country, date, value, indicator
[4833] Gross PSD, Total, Short-term, Other accounts payable, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4834] Gross PSD, Budgetary Central Gov., Short-term, All instruments, Nominal Value, National Currency | pub=World Bank | cols: country, date, value, indicator
[4835] Gross PSD, Budgetary Central Gov., Short-term, All instruments, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4837] Gross PSD, Central Gov., Short-term, All instruments, Nominal Value, National Currency | pub=World Bank | cols: country, date, value, indicator
[4838] Gross PSD, Central Gov., Short-term, All instruments, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4840] Gross PSD, Financial Public Corp., Short-term, All instruments, Nominal Value, National Currency | pub=World Bank | cols: country, date, value, indicator
[4841] Gross PSD, Financial Public Corp., Short-term, All instruments, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
