[4843] Gross PSD, General Gov., Short-term, All instruments, Nominal Value, National Currency | pub=World Bank | cols: country, date, value, indicator
[4844] Gross PSD, General Gov., Short-term, All instruments, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4846] Gross PSD, Nonfinancial Public Corp., Short-term, All instruments, Nominal Value, National Currency | pub=World Bank | cols: country, date, value, indicator
[4847] Gross PSD, Nonfinancial Public Corp., Short-term, All instruments, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4849] Gross PSD, Public Sector, Short-term, All instruments, Nominal Value, National Currency | pub=World Bank | cols: country, date, value, indicator
[4850] Gross PSD, Total, Short-term, All instruments, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4852] Exchange rate, new LCU per USD extended backward, period average | pub=World Bank | desc: Local currency units (LCU) per U.S. dollar, with values prior to the currency's introduction presented in the new currency's terms | cols: country, date, value, indicator
[4853] Exchange rate, old LCU per USD extended forward, period average | pub=World Bank | desc: Local currency units (LCU) per U.S. dollar, with values after a new currency's introduction presented in the old currency's terms | cols: country, date, value, indicator
[4854] Rest of General Government External Debt (US$) | pub=World Bank | cols: country, date, value, indicator
[4855] Short-Term Debt | pub=World Bank | cols: country, date, value, indicator
[4856] Identified Short-Term Debt (US$, end of year) | pub=World Bank | cols: country, date, value, indicator
[4857] Stock Markets, US$ | pub=World Bank | desc: Local equity market index valued in US$ terms | cols: country, date, value, indicator
[4872] Gross Ext. Debt Pmt, DI: Intercom Lending, More than 0 to 3, Debt liab. of dir. investors to DI ent. | pub=World Bank | cols: country, date, value, indicator
[4873] Gross Ext. Debt Pmt, DI: Intercom Lending, More than 9 to 12, Debt liab. of dir. investors to DI ent | pub=World Bank | cols: country, date, value, indicator
[4874] Gross Ext. Debt Pmt, DI: Intercom Lending, More than 12 to 18, Debt liab. of dir. investors to DI en | pub=World Bank | cols: country, date, value, indicator
[4875] Gross Ext. Debt Pmt, DI: Intercom Lending, More than 18 to 24, Debt liab. of dir. investors to DI en | pub=World Bank | cols: country, date, value, indicator
[4876] Gross Ext. Debt Pmt, DI: Intercom Lending, More than 2yrs, Debt liab. of dir. investors to DI ent.,  | pub=World Bank | cols: country, date, value, indicator
[4877] Gross Ext. Debt Pmt, DI: Intercom Lending, More than 3 to 6, Debt liab. of dir. investors to DI ent. | pub=World Bank | cols: country, date, value, indicator
[4878] Gross Ext. Debt Pmt, DI: Intercom Lending, More than 6 to 9, Debt liab. of dir. investors to DI ent. | pub=World Bank | cols: country, date, value, indicator
