[5066] Gross Ext. Debt Pmt, Other Sectors, More than 9 to 12, Loans, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[5067] Gross Ext. Debt Pmt, Other Sectors, More than 12 to 18, Loans, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[5068] Gross Ext. Debt Pmt, Other Sectors, More than 18 to 24, Loans, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[5069] Gross Ext. Debt Pmt, Other Sectors, More than 2yrs, Loans, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[5070] Gross Ext. Debt Pmt, Other Sectors, More than 3 to 6, Loans, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[5071] Gross Ext. Debt Pmt, Other Sectors, More than 6 to 9, Loans, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[5072] Gross Ext. Debt Pmt, Other Sectors, Immediate, Loans, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[5073] Gross Ext. Debt Pmt, Deposit-Taking Corp., exc. CB, More than 0 to 3, Other debt liabilities, Princi | pub=World Bank | cols: country, date, value, indicator
[5074] Gross Ext. Debt Pmt, Deposit-Taking Corp., exc. CB, More than 9 to 12, Other debt liabilities, Princ | pub=World Bank | cols: country, date, value, indicator
[5075] Gross Ext. Debt Pmt, Deposit-Taking Corp., exc. CB, More than 12 to 18, Other debt liabilities, Prin | pub=World Bank | cols: country, date, value, indicator
[5076] Gross Ext. Debt Pmt, Deposit-Taking Corp., exc. CB, More than 18 to 24, Other debt liabilities, Prin | pub=World Bank | cols: country, date, value, indicator
[5077] Gross Ext. Debt Pmt, Deposit-Taking Corp., exc. CB, More than 2yrs, Other debt liabilities, Principa | pub=World Bank | cols: country, date, value, indicator
[5078] Gross Ext. Debt Pmt, Deposit-Taking Corp., exc. CB, More than 3 to 6, Other debt liabilities, Princi | pub=World Bank | cols: country, date, value, indicator
[5079] Gross Ext. Debt Pmt, Deposit-Taking Corp., exc. CB, More than 6 to 9, Other debt liabilities, Princi | pub=World Bank | cols: country, date, value, indicator
[5080] Gross Ext. Debt Pmt, Deposit-Taking Corp., exc. CB, Immediate, Other debt liabilities, Principal, US | pub=World Bank | cols: country, date, value, indicator
[5081] Gross Ext. Debt Pmt, General Government, More than 0 to 3, Other debt liabilities, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[5082] Gross Ext. Debt Pmt, General Government, More than 9 to 12, Other debt liabilities, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[5083] Gross Ext. Debt Pmt, General Government, More than 12 to 18, Other debt liabilities, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[5084] Gross Ext. Debt Pmt, General Government, More than 18 to 24, Other debt liabilities, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[5085] Gross Ext. Debt Pmt, General Government, More than 2yrs, Other debt liabilities, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[5086] Gross Ext. Debt Pmt, General Government, More than 3 to 6, Other debt liabilities, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[5087] Gross Ext. Debt Pmt, General Government, More than 6 to 9, Other debt liabilities, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[5088] Gross Ext. Debt Pmt, General Government, Immediate, Other debt liabilities, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[5089] Gross Ext. Debt Pmt, Central Bank, More than 0 to 3, Other debt liabilities, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[5090] Gross Ext. Debt Pmt, Central Bank, More than 9 to 12, Other debt liabilities, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[5091] Gross Ext. Debt Pmt, Central Bank, More than 12 to 18, Other debt liabilities, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[5092] Gross Ext. Debt Pmt, Central Bank, More than 18 to 24, Other debt liabilities, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[5093] Gross Ext. Debt Pmt, Central Bank, More than 2yrs, Other debt liabilities, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[5094] Gross Ext. Debt Pmt, Central Bank, More than 3 to 6, Other debt liabilities, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[5095] Gross Ext. Debt Pmt, Central Bank, More than 6 to 9, Other debt liabilities, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[5096] Gross Ext. Debt Pmt, Central Bank, Immediate, Other debt liabilities, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[5097] Gross Ext. Debt Pmt, Other Sectors, More than 0 to 3, Other debt liabilities, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[5098] Gross Ext. Debt Pmt, Other Sectors, More than 9 to 12, Other debt liabilities, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[5099] Gross Ext. Debt Pmt, Other Sectors, More than 12 to 18, Other debt liabilities, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[5100] Gross Ext. Debt Pmt, Other Sectors, More than 18 to 24, Other debt liabilities, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[5101] Gross Ext. Debt Pmt, Other Sectors, More than 2yrs, Other debt liabilities, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[5102] Gross Ext. Debt Pmt, Other Sectors, More than 3 to 6, Other debt liabilities, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[5103] Gross Ext. Debt Pmt, Other Sectors, More than 6 to 9, Other debt liabilities, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[5104] Gross Ext. Debt Pmt, Other Sectors, Immediate, Other debt liabilities, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[5105] Gross Ext. Debt Pmt, General Government, More than 0 to 3, Special drawing rights (allocations), Pri | pub=World Bank | cols: country, date, value, indicator
[5106] Gross Ext. Debt Pmt, General Government, More than 9 to 12, Special drawing rights (allocations), Pr | pub=World Bank | cols: country, date, value, indicator
[5107] Gross Ext. Debt Pmt, General Government, More than 12 to 18, Special drawing rights (allocations), P | pub=World Bank | cols: country, date, value, indicator
[5108] Gross Ext. Debt Pmt, General Government, More than 18 to 24, Special drawing rights (allocations), P | pub=World Bank | cols: country, date, value, indicator
[5109] Gross Ext. Debt Pmt, General Government, More than 2yrs, Special drawing rights (allocations), Princ | pub=World Bank | cols: country, date, value, indicator
