[5439] Net Ext. Debt Position, General Government, All maturities, All instruments, USD | pub=World Bank | cols: country, date, value, indicator
[5440] Gross Ext. Debt Pos., General Government, All maturities, All instruments, Other chg in vol., USD | pub=World Bank | cols: country, date, value, indicator
[5441] Gross Ext. Debt Pos., General Government, All maturities, All instruments, Other price chg, USD | pub=World Bank | cols: country, date, value, indicator
[5442] Gross Ext. Debt Pos., General Government, All maturities, All instruments, Transactions, USD | pub=World Bank | cols: country, date, value, indicator
[5443] Gross Ext. Debt Pos., General Government, All maturities, All instruments, USD | pub=World Bank | cols: country, date, value, indicator
[5444] Gross Ext. Debt Pos., General Government, All maturities, Debt Securities, Diff. with Market Value,  | pub=World Bank | cols: country, date, value, indicator
[5445] Gross Ext. Debt Pos., General Government, All maturities, Debt Securities, Market Value, USD | pub=World Bank | cols: country, date, value, indicator
[5446] Gross Ext. Debt Pos., General Government, All maturities, Debt Securities, Nominal Value, USD | pub=World Bank | cols: country, date, value, indicator
[5447] Gross Ext. Debt Pos., HH and nonprofit institu. (NPISHs), All maturities, All instruments, USD | pub=World Bank | cols: country, date, value, indicator
[5448] Gross Ext. Debt Pos., DI: Intercom Lending, All maturities, All instruments, Beginning of period, US | pub=World Bank | cols: country, date, value, indicator
[5449] Ext. Assets in Debt Instruments, DI: Intercom Lending, All maturities, All instruments, USD | pub=World Bank | cols: country, date, value, indicator
[5450] Gross Ext. Debt Pos., DI: Intercom Lending, All maturities, All instruments, end of period, USD | pub=World Bank | cols: country, date, value, indicator
[5451] Gross Ext. Debt Pos., DI: Intercom Lending, All maturities, All instruments, Exchange rate chg, USD | pub=World Bank | cols: country, date, value, indicator
[5452] Gross Ext. Debt Pos., DI: Intercom Lending, All maturities, All instruments, Beginning pos., USD | pub=World Bank | cols: country, date, value, indicator
[5453] Net Ext. Debt Position, DI: Intercom Lending, All maturities, All instruments, USD | pub=World Bank | cols: country, date, value, indicator
[5454] Gross Ext. Debt Pos., DI: Intercom Lending, All maturities, All instruments, Other chg in vol., USD | pub=World Bank | cols: country, date, value, indicator
[5455] Gross Ext. Debt Pos., DI: Intercom Lending, All maturities, All instruments, Other price chg, USD | pub=World Bank | cols: country, date, value, indicator
[5456] Gross Ext. Debt Pos., DI: Intercom Lending, All maturities, All instruments, Transactions, USD | pub=World Bank | cols: country, date, value, indicator
[5457] Gross Ext. Debt Pos., DI: Intercom Lending, All maturities, All instruments, USD | pub=World Bank | cols: country, date, value, indicator
[5458] Gross Ext. Debt Pos., All Sectors, Long-term, Debt Securities, Diff. with Market Value, USD | pub=World Bank | cols: country, date, value, indicator
[5459] Gross Ext. Debt Pos., All Sectors, Long-term, Debt Securities, Market Value, USD | pub=World Bank | cols: country, date, value, indicator
[5460] Gross Ext. Debt Pos., All Sectors, Long-term, Debt Securities, Nominal Value, USD | pub=World Bank | cols: country, date, value, indicator
[5461] Gross Ext. Debt Pos., All Sectors, Long-term, All instruments, USD | pub=World Bank | cols: country, date, value, indicator
[5462] Gross Ext. Debt Pos., Central Bank, All maturities, All instruments, Beginning of period, USD | pub=World Bank | cols: country, date, value, indicator
[5463] Ext. Assets in Debt Instruments, Central Bank, All maturities, All instruments, USD | pub=World Bank | cols: country, date, value, indicator
[5464] Gross Ext. Debt Pos., Central Bank, All maturities, All instruments, end of period, USD | pub=World Bank | cols: country, date, value, indicator
[5465] Gross Ext. Debt Pos., Central Bank, All maturities, All instruments, Exchange rate chg, USD | pub=World Bank | cols: country, date, value, indicator
[5466] Gross Ext. Debt Pos., Central Bank, All maturities, All instruments, Beginning pos., USD | pub=World Bank | cols: country, date, value, indicator
[5467] Net Ext. Debt Position, Central Bank, All maturities, All instruments, USD | pub=World Bank | cols: country, date, value, indicator
[5468] Gross Ext. Debt Pos., Central Bank, All maturities, All instruments, Other chg in vol., USD | pub=World Bank | cols: country, date, value, indicator
[5469] Gross Ext. Debt Pos., Central Bank, All maturities, All instruments, Other price chg, USD | pub=World Bank | cols: country, date, value, indicator
[5470] Gross Ext. Debt Pos., Central Bank, All maturities, All instruments, Transactions, USD | pub=World Bank | cols: country, date, value, indicator
[5471] Gross Ext. Debt Pos., Central Bank, All maturities, All instruments, USD | pub=World Bank | cols: country, date, value, indicator
[5472] Gross Ext. Debt Pos., Central Bank, All maturities, Debt Securities, Diff. with Market Value, USD | pub=World Bank | cols: country, date, value, indicator
[5473] Gross Ext. Debt Pos., Central Bank, All maturities, Debt Securities, Market Value, USD | pub=World Bank | cols: country, date, value, indicator
[5474] Gross Ext. Debt Pos., Central Bank, All maturities, Debt Securities, Nominal Value, USD | pub=World Bank | cols: country, date, value, indicator
[5475] Gross Ext. Debt Pos., Nonfinancial corporations, All maturities, All instruments, USD | pub=World Bank | cols: country, date, value, indicator
[5476] Gross Ext. Debt Pos., Other financial corporations, All maturities, All instruments, USD | pub=World Bank | cols: country, date, value, indicator
[5477] Gross Ext. Debt Pos., Other Sectors, All maturities, All instruments, Beginning of period, USD | pub=World Bank | cols: country, date, value, indicator
[5478] Ext. Assets in Debt Instruments, Other Sectors, All maturities, All instruments, USD | pub=World Bank | cols: country, date, value, indicator
[5479] Gross Ext. Debt Pos., Other Sectors, All maturities, All instruments, end of period, USD | pub=World Bank | cols: country, date, value, indicator
[5480] Gross Ext. Debt Pos., Other Sectors, All maturities, All instruments, Exchange rate chg, USD | pub=World Bank | cols: country, date, value, indicator
[5481] Gross Ext. Debt Pos., Other Sectors, All maturities, All instruments, Beginning pos., USD | pub=World Bank | cols: country, date, value, indicator
[5482] Net Ext. Debt Position, Other Sectors, All maturities, All instruments, USD | pub=World Bank | cols: country, date, value, indicator
[5483] Gross Ext. Debt Pos., Other Sectors, All maturities, All instruments, Other chg in vol., USD | pub=World Bank | cols: country, date, value, indicator
[5484] Gross Ext. Debt Pos., Other Sectors, All maturities, All instruments, Other price chg, USD | pub=World Bank | cols: country, date, value, indicator
[5485] Gross Ext. Debt Pos., Other Sectors, All maturities, All instruments, Transactions, USD | pub=World Bank | cols: country, date, value, indicator
[5486] Gross Ext. Debt Pos., Other Sectors, All maturities, All instruments, USD | pub=World Bank | cols: country, date, value, indicator
