[5647] Gross Ext. Debt Pos., Nonfinancial corporations, Long-term, Currency and deposits, USD | pub=World Bank | cols: country, date, value, indicator
[5648] Gross Ext. Debt Pos., Other financial corporations, Long-term, Currency and deposits, USD | pub=World Bank | cols: country, date, value, indicator
[5649] Gross Ext. Debt Pos., Other Sectors, Long-term, Currency and deposits, Beginning of period, USD | pub=World Bank | cols: country, date, value, indicator
[5650] Ext. Assets in Debt Instruments, Other Sectors, Long-term, Currency and deposits, USD | pub=World Bank | cols: country, date, value, indicator
[5651] Gross Ext. Debt Pos., Other Sectors, Long-term, Currency and deposits, end of period, USD | pub=World Bank | cols: country, date, value, indicator
[5652] Gross Ext. Debt Pos., Other Sectors, Long-term, Currency and deposits, Exchange rate chg, USD | pub=World Bank | cols: country, date, value, indicator
[5653] Gross Ext. Debt Pos., Other Sectors, Long-term, Currency and deposits, Beginning pos., USD | pub=World Bank | cols: country, date, value, indicator
[5654] Net Ext. Debt Position, Other Sectors, Long-term, Currency and deposits, USD | pub=World Bank | cols: country, date, value, indicator
[5655] Gross Ext. Debt Pos., Other Sectors, Long-term, Currency and deposits, Other chg in vol., USD | pub=World Bank | cols: country, date, value, indicator
[5656] Gross Ext. Debt Pos., Other Sectors, Long-term, Currency and deposits, Other price chg, USD | pub=World Bank | cols: country, date, value, indicator
[5657] Gross Ext. Debt Pos., Other Sectors, Long-term, Currency and deposits, Transactions, USD | pub=World Bank | cols: country, date, value, indicator
[5658] Gross Ext. Debt Pos., Other Sectors, Long-term, Currency and deposits, USD | pub=World Bank | cols: country, date, value, indicator
[5660] Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Long-term, Loans, Beginning of period, USD | pub=World Bank | cols: country, date, value, indicator
[5661] Ext. Assets in Debt Instruments, Deposit-Taking Corp., exc. CB, Long-term, Loans, USD | pub=World Bank | cols: country, date, value, indicator
[5662] Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Long-term, Loans, end of period, USD | pub=World Bank | cols: country, date, value, indicator
[5663] Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Long-term, Loans, Exchange rate chg, USD | pub=World Bank | cols: country, date, value, indicator
[5664] Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Long-term, Loans, Beginning pos., USD | pub=World Bank | cols: country, date, value, indicator
[5665] Net Ext. Debt Position, Deposit-Taking Corp., exc. CB, Long-term, Loans, USD | pub=World Bank | cols: country, date, value, indicator
[5666] Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Long-term, Loans, Other chg in vol., USD | pub=World Bank | cols: country, date, value, indicator
[5667] Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Long-term, Loans, Other price chg, USD | pub=World Bank | cols: country, date, value, indicator
[5668] Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Long-term, Loans, Transactions, USD | pub=World Bank | cols: country, date, value, indicator
[5669] Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Long-term, Loans, USD | pub=World Bank | cols: country, date, value, indicator
[5670] Gross Ext. Debt Pos., General Government, Long-term, Loans, Beginning of period, USD | pub=World Bank | cols: country, date, value, indicator
[5671] Ext. Assets in Debt Instruments, General Government, Long-term, Loans, USD | pub=World Bank | cols: country, date, value, indicator
[5672] Gross Ext. Debt Pos., General Government, Long-term, Loans, end of period, USD | pub=World Bank | cols: country, date, value, indicator
[5673] Gross Ext. Debt Pos., General Government, Long-term, Loans, Exchange rate chg, USD | pub=World Bank | cols: country, date, value, indicator
[5674] Gross Ext. Debt Pos., General Government, Long-term, Loans, Beginning pos., USD | pub=World Bank | cols: country, date, value, indicator
[5675] Net Ext. Debt Position, General Government, Long-term, Loans, USD | pub=World Bank | cols: country, date, value, indicator
[5676] Gross Ext. Debt Pos., General Government, Long-term, Loans, Other chg in vol., USD | pub=World Bank | cols: country, date, value, indicator
[5677] Gross Ext. Debt Pos., General Government, Long-term, Loans, Other price chg, USD | pub=World Bank | cols: country, date, value, indicator
[5678] Gross Ext. Debt Pos., General Government, Long-term, Loans, Transactions, USD | pub=World Bank | cols: country, date, value, indicator
[5679] Gross Ext. Debt Pos., General Government, Long-term, Loans, USD | pub=World Bank | cols: country, date, value, indicator
[5680] Gross Ext. Debt Pos., HH and nonprofit institu. (NPISHs), Long-term, Loans, USD | pub=World Bank | cols: country, date, value, indicator
[5681] Gross Ext. Debt Pos., Central Bank, Long-term, Loans, Beginning of period, USD | pub=World Bank | cols: country, date, value, indicator
[5682] Ext. Assets in Debt Instruments, Central Bank, Long-term, Loans, USD | pub=World Bank | cols: country, date, value, indicator
[5683] Gross Ext. Debt Pos., Central Bank, Long-term, Loans, end of period, USD | pub=World Bank | cols: country, date, value, indicator
[5684] Gross Ext. Debt Pos., Central Bank, Long-term, Loans, Exchange rate chg, USD | pub=World Bank | cols: country, date, value, indicator
[5685] Gross Ext. Debt Pos., Central Bank, Long-term, Loans, Beginning pos., USD | pub=World Bank | cols: country, date, value, indicator
[5686] Net Ext. Debt Position, Central Bank, Long-term, Loans, USD | pub=World Bank | cols: country, date, value, indicator
[5687] Gross Ext. Debt Pos., Central Bank, Long-term, Loans, Other chg in vol., USD | pub=World Bank | cols: country, date, value, indicator
[5688] Gross Ext. Debt Pos., Central Bank, Long-term, Loans, Other price chg, USD | pub=World Bank | cols: country, date, value, indicator
[5689] Gross Ext. Debt Pos., Central Bank, Long-term, Loans, Transactions, USD | pub=World Bank | cols: country, date, value, indicator
[5690] Gross Ext. Debt Pos., Central Bank, Long-term, Loans, USD | pub=World Bank | cols: country, date, value, indicator
[5691] Gross Ext. Debt Pos., Nonfinancial corporations, Long-term, Loans, USD | pub=World Bank | cols: country, date, value, indicator
[5692] Gross Ext. Debt Pos., Other financial corporations, Long-term, Loans, USD | pub=World Bank | cols: country, date, value, indicator
[5693] Gross Ext. Debt Pos., Other Sectors, Long-term, Loans, Beginning of period, USD | pub=World Bank | cols: country, date, value, indicator
[5694] Ext. Assets in Debt Instruments, Other Sectors, Long-term, Loans, USD | pub=World Bank | cols: country, date, value, indicator
[5695] Gross Ext. Debt Pos., Other Sectors, Long-term, Loans, end of period, USD | pub=World Bank | cols: country, date, value, indicator
[5696] Gross Ext. Debt Pos., Other Sectors, Long-term, Loans, Exchange rate chg, USD | pub=World Bank | cols: country, date, value, indicator
[5697] Gross Ext. Debt Pos., Other Sectors, Long-term, Loans, Beginning pos., USD | pub=World Bank | cols: country, date, value, indicator
[5698] Net Ext. Debt Position, Other Sectors, Long-term, Loans, USD | pub=World Bank | cols: country, date, value, indicator
[5699] Gross Ext. Debt Pos., Other Sectors, Long-term, Loans, Other chg in vol., USD | pub=World Bank | cols: country, date, value, indicator
[5700] Gross Ext. Debt Pos., Other Sectors, Long-term, Loans, Other price chg, USD | pub=World Bank | cols: country, date, value, indicator
[5701] Gross Ext. Debt Pos., Other Sectors, Long-term, Loans, Transactions, USD | pub=World Bank | cols: country, date, value, indicator
[5702] Gross Ext. Debt Pos., Other Sectors, Long-term, Loans, USD | pub=World Bank | cols: country, date, value, indicator
[5703] Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Long-term, Other debt liabilities, Beginning of | pub=World Bank | cols: country, date, value, indicator
[5704] Ext. Assets in Debt Instruments, Deposit-Taking Corp., exc. CB, Long-term, Other debt instruments, U | pub=World Bank | cols: country, date, value, indicator
[5705] Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Long-term, Other debt liabilities, end of perio | pub=World Bank | cols: country, date, value, indicator
[5706] Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Long-term, Other debt liabilities, Exchange rat | pub=World Bank | cols: country, date, value, indicator
[5707] Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Long-term, Other debt instruments, Beginning po | pub=World Bank | cols: country, date, value, indicator
[5708] Net Ext. Debt Position, Deposit-Taking Corp., exc. CB, Long-term, Other debt instruments, USD | pub=World Bank | cols: country, date, value, indicator
[5709] Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Long-term, Other debt liabilities, Other chg in | pub=World Bank | cols: country, date, value, indicator
[5710] Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Long-term, Other debt liabilities, Other price  | pub=World Bank | cols: country, date, value, indicator
[5711] Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Long-term, Other debt liabilities, Transactions | pub=World Bank | cols: country, date, value, indicator
[5712] Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Long-term, Other debt liabilities, USD | pub=World Bank | cols: country, date, value, indicator
[5713] Gross Ext. Debt Pos., General Government, Long-term, Other debt liabilities, Beginning of period, US | pub=World Bank | cols: country, date, value, indicator
[5714] Ext. Assets in Debt Instruments, General Government, Long-term, Other debt instruments, USD | pub=World Bank | cols: country, date, value, indicator
[5715] Gross Ext. Debt Pos., General Government, Long-term, Other debt liabilities, end of period, USD | pub=World Bank | cols: country, date, value, indicator
[5716] Gross Ext. Debt Pos., General Government, Long-term, Other debt liabilities, Exchange rate chg, USD | pub=World Bank | cols: country, date, value, indicator
