[5849] Ext. Assets in Debt Instruments, General Government, Long-term, All instruments, USD | pub=World Bank | cols: country, date, value, indicator
[5850] Gross Ext. Debt Pos., General Government, Long-term, All instruments, end of period, USD | pub=World Bank | cols: country, date, value, indicator
[5851] Gross Ext. Debt Pos., General Government, Long-term, All instruments, Exchange rate chg, USD | pub=World Bank | cols: country, date, value, indicator
[5852] Gross Ext. Debt Pos., General Government, Long-term, All instruments, Beginning pos., USD | pub=World Bank | cols: country, date, value, indicator
[5853] Net Ext. Debt Position, General Government, Long-term, All instruments, USD | pub=World Bank | cols: country, date, value, indicator
[5854] Gross Ext. Debt Pos., General Government, Long-term, All instruments, Other chg in vol., USD | pub=World Bank | cols: country, date, value, indicator
[5855] Gross Ext. Debt Pos., General Government, Long-term, All instruments, Other price chg, USD | pub=World Bank | cols: country, date, value, indicator
[5856] Gross Ext. Debt Pos., General Government, Long-term, All instruments, Transactions, USD | pub=World Bank | cols: country, date, value, indicator
[5857] Gross Ext. Debt Pos., General Government, Long-term, All instruments, USD | pub=World Bank | cols: country, date, value, indicator
[5858] Gross Ext. Debt Pos., General Government, Long-term, Debt Securities, Diff. with Market Value, USD | pub=World Bank | cols: country, date, value, indicator
[5859] Gross Ext. Debt Pos., General Government, Long-term, Debt Securities, Market Value, USD | pub=World Bank | cols: country, date, value, indicator
[5860] Gross Ext. Debt Pos., General Government, Long-term, Debt Securities, Nominal Value, USD | pub=World Bank | cols: country, date, value, indicator
[5861] Gross Ext. Debt Pos., HH and nonprofit institu. (NPISHs), Long-term, All instruments, USD | pub=World Bank | cols: country, date, value, indicator
[5862] Gross Ext. Debt Pos., Central Bank, Long-term, All instruments, Beginning of period, USD | pub=World Bank | cols: country, date, value, indicator
[5863] Ext. Assets in Debt Instruments, Central Bank, Long-term, All instruments, USD | pub=World Bank | cols: country, date, value, indicator
[5864] Gross Ext. Debt Pos., Central Bank, Long-term, All instruments, end of period, USD | pub=World Bank | cols: country, date, value, indicator
[5865] Gross Ext. Debt Pos., Central Bank, Long-term, All instruments, Exchange rate chg, USD | pub=World Bank | cols: country, date, value, indicator
[5866] Gross Ext. Debt Pos., Central Bank, Long-term, All instruments, Beginning pos., USD | pub=World Bank | cols: country, date, value, indicator
[5867] Net Ext. Debt Position, Central Bank, Long-term, All instruments, USD | pub=World Bank | cols: country, date, value, indicator
[5868] Gross Ext. Debt Pos., Central Bank, Long-term, All instruments, Other chg in vol., USD | pub=World Bank | cols: country, date, value, indicator
[5869] Gross Ext. Debt Pos., Central Bank, Long-term, All instruments, Other price chg, USD | pub=World Bank | cols: country, date, value, indicator
[5870] Gross Ext. Debt Pos., Central Bank, Long-term, All instruments, Transactions, USD | pub=World Bank | cols: country, date, value, indicator
[5871] Gross Ext. Debt Pos., Central Bank, Long-term, All instruments, USD | pub=World Bank | cols: country, date, value, indicator
[5872] Gross Ext. Debt Pos., Central Bank, Long-term, Debt Securities, Diff. with Market Value, USD | pub=World Bank | cols: country, date, value, indicator
[5873] Gross Ext. Debt Pos., Central Bank, Long-term, Debt Securities, Market Value, USD | pub=World Bank | cols: country, date, value, indicator
[5874] Gross Ext. Debt Pos., Central Bank, Long-term, Debt Securities, Nominal Value, USD | pub=World Bank | cols: country, date, value, indicator
[5875] Gross Ext. Debt Pos., Nonfinancial corporations, Long-term, All instruments, USD | pub=World Bank | cols: country, date, value, indicator
[5876] Gross Ext. Debt Pos., Other financial corporations, Long-term, All instruments, USD | pub=World Bank | cols: country, date, value, indicator
[5877] Gross Ext. Debt Pos., Other Sectors, Long-term, All instruments, Beginning of period, USD | pub=World Bank | cols: country, date, value, indicator
[5878] Ext. Assets in Debt Instruments, Other Sectors, Long-term, All instruments, USD | pub=World Bank | cols: country, date, value, indicator
[5879] Gross Ext. Debt Pos., Other Sectors, Long-term, All instruments, end of period, USD | pub=World Bank | cols: country, date, value, indicator
[5880] Gross Ext. Debt Pos., Other Sectors, Long-term, All instruments, Exchange rate chg, USD | pub=World Bank | cols: country, date, value, indicator
[5881] Gross Ext. Debt Pos., Other Sectors, Long-term, All instruments, Beginning pos., USD | pub=World Bank | cols: country, date, value, indicator
[5882] Net Ext. Debt Position, Other Sectors, Long-term, All instruments, USD | pub=World Bank | cols: country, date, value, indicator
[5883] Gross Ext. Debt Pos., Other Sectors, Long-term, All instruments, Other chg in vol., USD | pub=World Bank | cols: country, date, value, indicator
[5884] Gross Ext. Debt Pos., Other Sectors, Long-term, All instruments, Other price chg, USD | pub=World Bank | cols: country, date, value, indicator
[5885] Gross Ext. Debt Pos., Other Sectors, Long-term, All instruments, Transactions, USD | pub=World Bank | cols: country, date, value, indicator
[5886] Gross Ext. Debt Pos., Other Sectors, Long-term, All instruments, USD | pub=World Bank | cols: country, date, value, indicator
[5887] Gross Ext. Debt Pos., Other Sectors, Long-term, Debt Securities, Diff. with Market Value, USD | pub=World Bank | cols: country, date, value, indicator
[5888] Gross Ext. Debt Pos., Other Sectors, Long-term, Debt Securities, Market Value, USD | pub=World Bank | cols: country, date, value, indicator
[5889] Gross Ext. Debt Pos., Other Sectors, Long-term, Debt Securities, Nominal Value, USD | pub=World Bank | cols: country, date, value, indicator
[5890] Gross Ext. Debt Pos., All Sectors, Long-term, All instruments, USD | pub=World Bank | cols: country, date, value, indicator
[5891] Gross Ext. Debt Pos., Publicly Guar. Private Sector Ext. Debt, Long-term, Debt securities, Memo item | pub=World Bank | cols: country, date, value, indicator
[5892] Gross Ext. Debt Pos., Public Sector Ext. Debt, Long-term, Debt securities, Memo item, USD | pub=World Bank | cols: country, date, value, indicator
