[6054] Gross Ext. Debt Pos., Central Bank, Short-term, All instruments, USD | pub=World Bank | cols: country, date, value, indicator
[6055] Gross Ext. Debt Pos., Central Bank, Short-term, Debt Securities, Diff. with Market Value, USD | pub=World Bank | cols: country, date, value, indicator
[6056] Gross Ext. Debt Pos., Central Bank, Short-term, Debt Securities, Market Value, USD | pub=World Bank | cols: country, date, value, indicator
[6057] Gross Ext. Debt Pos., Central Bank, Short-term, Debt Securities, Nominal Value, USD | pub=World Bank | cols: country, date, value, indicator
[6058] Gross Ext. Debt Pos., Nonfinancial corporations, Short-term, All instruments, USD | pub=World Bank | cols: country, date, value, indicator
[6059] Gross Ext. Debt Pos., Other financial corporations, Short-term, All instruments, USD | pub=World Bank | cols: country, date, value, indicator
[6060] Gross Ext. Debt Pos., Other Sectors, Short-term, All instruments, Beginning of period, USD | pub=World Bank | cols: country, date, value, indicator
[6061] Ext. Assets in Debt Instruments, Other Sectors, Short-term, All instruments, USD | pub=World Bank | cols: country, date, value, indicator
[6062] Gross Ext. Debt Pos., Other Sectors, Short-term, All instruments, end of period, USD | pub=World Bank | cols: country, date, value, indicator
[6063] Gross Ext. Debt Pos., Other Sectors, Short-term, All instruments, Exchange rate chg, USD | pub=World Bank | cols: country, date, value, indicator
[6064] Gross Ext. Debt Pos., Other Sectors, Short-term, All instruments, Beginning pos., USD | pub=World Bank | cols: country, date, value, indicator
[6065] Net Ext. Debt Position, Other Sectors, Short-term, All instruments, USD | pub=World Bank | cols: country, date, value, indicator
[6066] Gross Ext. Debt Pos., Other Sectors, Short-term, All instruments, Other chg in vol., USD | pub=World Bank | cols: country, date, value, indicator
[6067] Gross Ext. Debt Pos., Other Sectors, Short-term, All instruments, Other price chg, USD | pub=World Bank | cols: country, date, value, indicator
[6068] Gross Ext. Debt Pos., Other Sectors, Short-term, All instruments, Transactions, USD | pub=World Bank | cols: country, date, value, indicator
[6069] Gross Ext. Debt Pos., Other Sectors, Short-term, All instruments, USD | pub=World Bank | cols: country, date, value, indicator
[6070] Gross Ext. Debt Pos., All Sectors, Short-term, All instruments, USD | pub=World Bank | cols: country, date, value, indicator
[6072] Gross Ext. Debt Pos., Publicly Guar. Private Sector Ext. Debt, Short-term, Debt securities, Memo ite | pub=World Bank | cols: country, date, value, indicator
[6073] Gross Ext. Debt Pos., Public Sector Ext. Debt, Short-term, Debt securities, Memo item, USD | pub=World Bank | cols: country, date, value, indicator
[6076] Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Loans, Beginning of period, USD | pub=World Bank | cols: country, date, value, indicator
[6077] Ext. Assets in Debt Instruments, Deposit-Taking Corp., exc. CB, Short-term, Loans, USD | pub=World Bank | cols: country, date, value, indicator
[6078] Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Loans, end of period, USD | pub=World Bank | cols: country, date, value, indicator
[6079] Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Loans, Exchange rate chg, USD | pub=World Bank | cols: country, date, value, indicator
[6080] Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Loans, Beginning pos., USD | pub=World Bank | cols: country, date, value, indicator
[6081] Net Ext. Debt Position, Deposit-Taking Corp., exc. CB, Short-term, Loans, USD | pub=World Bank | cols: country, date, value, indicator
[6082] Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Loans, Other chg in vol., USD | pub=World Bank | cols: country, date, value, indicator
[6083] Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Loans, Other price chg, USD | pub=World Bank | cols: country, date, value, indicator
[6084] Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Loans, Transactions, USD | pub=World Bank | cols: country, date, value, indicator
[6085] Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Loans, USD | pub=World Bank | cols: country, date, value, indicator
[6086] Gross Ext. Debt Pos., General Government, Short-term, Loans, Beginning of period, USD | pub=World Bank | cols: country, date, value, indicator
[6087] Ext. Assets in Debt Instruments, General Government, Short-term, Loans, USD | pub=World Bank | cols: country, date, value, indicator
[6088] Gross Ext. Debt Pos., General Government, Short-term, Loans, end of period, USD | pub=World Bank | cols: country, date, value, indicator
[6089] Gross Ext. Debt Pos., General Government, Short-term, Loans, Exchange rate chg, USD | pub=World Bank | cols: country, date, value, indicator
[6090] Gross Ext. Debt Pos., General Government, Short-term, Loans, Beginning pos., USD | pub=World Bank | cols: country, date, value, indicator
[6091] Net Ext. Debt Position, General Government, Short-term, Loans, USD | pub=World Bank | cols: country, date, value, indicator
[6092] Gross Ext. Debt Pos., General Government, Short-term, Loans, Other chg in vol., USD | pub=World Bank | cols: country, date, value, indicator
[6093] Gross Ext. Debt Pos., General Government, Short-term, Loans, Other price chg, USD | pub=World Bank | cols: country, date, value, indicator
[6094] Gross Ext. Debt Pos., General Government, Short-term, Loans, Transactions, USD | pub=World Bank | cols: country, date, value, indicator
[6095] Gross Ext. Debt Pos., General Government, Short-term, Loans, USD | pub=World Bank | cols: country, date, value, indicator
