[6157] Net Ext. Debt Position, Other Sectors, Short-term, Debt securities, USD | pub=World Bank | cols: country, date, value, indicator
[6158] Gross Ext. Debt Pos., Other Sectors, Short-term, Debt securities, Other chg in vol., USD | pub=World Bank | cols: country, date, value, indicator
[6159] Gross Ext. Debt Pos., Other Sectors, Short-term, Debt securities, Other price chg, USD | pub=World Bank | cols: country, date, value, indicator
[6160] Gross Ext. Debt Pos., Other Sectors, Short-term, Debt securities, Transactions, USD | pub=World Bank | cols: country, date, value, indicator
[6161] Gross Ext. Debt Pos., Other Sectors, Short-term, Debt securities, USD | pub=World Bank | cols: country, date, value, indicator
[6162] Gross Ext. Debt Pos., HH and nonprofit institu. (NPISHs), Short-term, Other debt liabilities, USD | pub=World Bank | cols: country, date, value, indicator
[6163] Gross Ext. Debt Pos., Nonfinancial corporations, Short-term, Other debt liabilities, USD | pub=World Bank | cols: country, date, value, indicator
[6164] Gross Ext. Debt Pos., Other financial corporations, Short-term, Other debt liabilities, USD | pub=World Bank | cols: country, date, value, indicator
[6165] Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Trade credit and advances, Beginnin | pub=World Bank | cols: country, date, value, indicator
[6166] Ext. Assets in Debt Instruments, Deposit-Taking Corp., exc. CB, Short-term, Trade credit and advance | pub=World Bank | cols: country, date, value, indicator
[6167] Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Trade credit and advances, end of p | pub=World Bank | cols: country, date, value, indicator
[6168] Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Trade credit and advances, Exchange | pub=World Bank | cols: country, date, value, indicator
[6169] Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Trade credit and advances, Beginnin | pub=World Bank | cols: country, date, value, indicator
[6170] Net Ext. Debt Position, Deposit-Taking Corp., exc. CB, Short-term, Trade credit and advances, USD | pub=World Bank | cols: country, date, value, indicator
[6171] Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Trade credit and advances, Other ch | pub=World Bank | cols: country, date, value, indicator
[6172] Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Trade credit and advances, Other pr | pub=World Bank | cols: country, date, value, indicator
[6173] Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Trade credit and advances, Transact | pub=World Bank | cols: country, date, value, indicator
[6174] Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Trade credit and advances, USD | pub=World Bank | cols: country, date, value, indicator
[6175] Gross Ext. Debt Pos., General Government, Short-term, Trade credit and advances, Beginning of period | pub=World Bank | cols: country, date, value, indicator
[6176] Ext. Assets in Debt Instruments, General Government, Short-term, Trade credit and advances, USD | pub=World Bank | cols: country, date, value, indicator
[6177] Gross Ext. Debt Pos., General Government, Short-term, Trade credit and advances, end of period, USD | pub=World Bank | cols: country, date, value, indicator
[6178] Gross Ext. Debt Pos., General Government, Short-term, Trade credit and advances, Exchange rate chg,  | pub=World Bank | cols: country, date, value, indicator
[6179] Gross Ext. Debt Pos., General Government, Short-term, Trade credit and advances, Beginning pos., USD | pub=World Bank | cols: country, date, value, indicator
[6180] Net Ext. Debt Position, General Government, Short-term, Trade credit and advances, USD | pub=World Bank | cols: country, date, value, indicator
[6181] Gross Ext. Debt Pos., General Government, Short-term, Trade credit and advances, Other chg in vol.,  | pub=World Bank | cols: country, date, value, indicator
[6182] Gross Ext. Debt Pos., General Government, Short-term, Trade credit and advances, Other price chg, US | pub=World Bank | cols: country, date, value, indicator
[6183] Gross Ext. Debt Pos., General Government, Short-term, Trade credit and advances, Transactions, USD | pub=World Bank | cols: country, date, value, indicator
