[6529] Ext. Debt Service Pmt, Interest receipts on SDR holdings, 12 to 18 mo., All instruments, USD | pub=World Bank | cols: country, date, value, indicator
[6530] Ext. Debt Service Pmt, Interest receipts on SDR holdings, 18 to 24 mo., All instruments, USD | pub=World Bank | cols: country, date, value, indicator
[6531] Ext. Debt Service Pmt, Interest receipts on SDR holdings, More than 0 to 3, USD | pub=World Bank | cols: country, date, value, indicator
[6532] Ext. Debt Service Pmt, Interest receipts on SDR holdings, More than 9 to 12, USD | pub=World Bank | cols: country, date, value, indicator
[6533] Ext. Debt Service Pmt, Interest receipts on SDR holdings, More than 12 to 18, USD | pub=World Bank | cols: country, date, value, indicator
[6534] Ext. Debt Service Pmt, Interest receipts on SDR holdings, More than 18 to 24, USD | pub=World Bank | cols: country, date, value, indicator
[6535] Ext. Debt Service Pmt, Interest receipts on SDR holdings, More than 3 to 6, USD | pub=World Bank | cols: country, date, value, indicator
[6536] Ext. Debt Service Pmt, Interest receipts on SDR holdings, More than 6 to 9, USD | pub=World Bank | cols: country, date, value, indicator
[6537] Gross Ext. Debt Pmt, Interest receipts on SDR holdings, More than 0 to 3, USD | pub=World Bank | cols: country, date, value, indicator
[6538] Gross Ext. Debt Pmt, Interest receipts on SDR holdings, More than 9 to 12, USD | pub=World Bank | cols: country, date, value, indicator
[6539] Gross Ext. Debt Pmt, Interest receipts on SDR holdings, More than 12 to 18, USD | pub=World Bank | cols: country, date, value, indicator
[6540] Gross Ext. Debt Pmt, Interest receipts on SDR holdings, More than 18 to 24, USD | pub=World Bank | cols: country, date, value, indicator
[6541] Gross Ext. Debt Pmt, Interest receipts on SDR holdings, More than 3 to 6, USD | pub=World Bank | cols: country, date, value, indicator
[6542] Gross Ext. Debt Pmt, Interest receipts on SDR holdings, More than 6 to 9, USD | pub=World Bank | cols: country, date, value, indicator
[6543] Gross Ext. Debt Pmt, Interest receipts on SDR holdings, Immediate, USD | pub=World Bank | cols: country, date, value, indicator
[6544] Ext. Debt Service Pmt, Interest receipts on SDR holdings, Immediate, USD | pub=World Bank | cols: country, date, value, indicator
[6545] Ext. Debt Service Pmt, Interest receipts on SDR holdings, Immediately, All instruments, USD | pub=World Bank | cols: country, date, value, indicator
[6561] Gross Ext. Debt Pmt, DI: Intercom Lending, More than 0 to 3, Debt liab. of dir. investors to DI ent. | pub=World Bank | cols: country, date, value, indicator
[6562] Gross Ext. Debt Pmt, DI: Intercom Lending, More than 9 to 12, Debt liab. of dir. investors to DI ent | pub=World Bank | cols: country, date, value, indicator
[6563] Gross Ext. Debt Pmt, DI: Intercom Lending, More than 12 to 18, Debt liab. of dir. investors to DI en | pub=World Bank | cols: country, date, value, indicator
[6564] Gross Ext. Debt Pmt, DI: Intercom Lending, More than 18 to 24, Debt liab. of dir. investors to DI en | pub=World Bank | cols: country, date, value, indicator
[6565] Gross Ext. Debt Pmt, DI: Intercom Lending, More than 2yrs, Debt liab. of dir. investors to DI ent.,  | pub=World Bank | cols: country, date, value, indicator
[6566] Gross Ext. Debt Pmt, DI: Intercom Lending, More than 3 to 6, Debt liab. of dir. investors to DI ent. | pub=World Bank | cols: country, date, value, indicator
[6567] Gross Ext. Debt Pmt, DI: Intercom Lending, More than 6 to 9, Debt liab. of dir. investors to DI ent. | pub=World Bank | cols: country, date, value, indicator
[6568] Gross Ext. Debt Pmt, DI: Intercom Lending, Immediate, Debt liab. of dir. investors to DI ent., Inter | pub=World Bank | cols: country, date, value, indicator
[6571] Ext. Debt Service Pmt, Public and Publicly Guar. Private Sector Ext. Debt, 0 to 3 mo., All instrumen | pub=World Bank | cols: country, date, value, indicator
[6572] Ext. Debt Service Pmt, All Sectors, More than 0 to 3, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6573] Ext. Debt Service Pmt, Public and Publicly Guar. Private Sector Ext. Debt, 3yrs, All instruments, In | pub=World Bank | cols: country, date, value, indicator
[6574] Ext. Debt Service Pmt, Public and Publicly Guar. Private Sector Ext. Debt, 3 to 6 mo., All instrumen | pub=World Bank | cols: country, date, value, indicator
[6575] Ext. Debt Service Pmt, Public and Publicly Guar. Private Sector Ext. Debt, 4yrs, All instruments, In | pub=World Bank | cols: country, date, value, indicator
