[6751] Gross Ext. Debt Pmt, Other Sectors, More than 12 to 18, Loans, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6752] Gross Ext. Debt Pmt, Other Sectors, More than 18 to 24, Loans, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6753] Gross Ext. Debt Pmt, Other Sectors, More than 2yrs, Loans, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6754] Gross Ext. Debt Pmt, Other Sectors, More than 3 to 6, Loans, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6755] Gross Ext. Debt Pmt, Other Sectors, More than 6 to 9, Loans, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6756] Gross Ext. Debt Pmt, Other Sectors, Immediate, Loans, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6757] Gross Ext. Debt Pmt, Deposit-Taking Corp., exc. CB, More than 0 to 3, Other debt liabilities, Intere | pub=World Bank | cols: country, date, value, indicator
[6758] Gross Ext. Debt Pmt, Deposit-Taking Corp., exc. CB, More than 9 to 12, Other debt liabilities, Inter | pub=World Bank | cols: country, date, value, indicator
[6759] Gross Ext. Debt Pmt, Deposit-Taking Corp., exc. CB, More than 12 to 18, Other debt liabilities, Inte | pub=World Bank | cols: country, date, value, indicator
[6760] Gross Ext. Debt Pmt, Deposit-Taking Corp., exc. CB, More than 18 to 24, Other debt liabilities, Inte | pub=World Bank | cols: country, date, value, indicator
[6761] Gross Ext. Debt Pmt, Deposit-Taking Corp., exc. CB, More than 2yrs, Other debt liabilities, Interest | pub=World Bank | cols: country, date, value, indicator
[6762] Gross Ext. Debt Pmt, Deposit-Taking Corp., exc. CB, More than 3 to 6, Other debt liabilities, Intere | pub=World Bank | cols: country, date, value, indicator
[6763] Gross Ext. Debt Pmt, Deposit-Taking Corp., exc. CB, More than 6 to 9, Other debt liabilities, Intere | pub=World Bank | cols: country, date, value, indicator
[6764] Gross Ext. Debt Pmt, Deposit-Taking Corp., exc. CB, Immediate, Other debt liabilities, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6765] Gross Ext. Debt Pmt, General Government, More than 0 to 3, Other debt liabilities, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6766] Gross Ext. Debt Pmt, General Government, More than 9 to 12, Other debt liabilities, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6767] Gross Ext. Debt Pmt, General Government, More than 12 to 18, Other debt liabilities, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6768] Gross Ext. Debt Pmt, General Government, More than 18 to 24, Other debt liabilities, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6769] Gross Ext. Debt Pmt, General Government, More than 2yrs, Other debt liabilities, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6770] Gross Ext. Debt Pmt, General Government, More than 3 to 6, Other debt liabilities, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6771] Gross Ext. Debt Pmt, General Government, More than 6 to 9, Other debt liabilities, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6772] Gross Ext. Debt Pmt, General Government, Immediate, Other debt liabilities, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6773] Gross Ext. Debt Pmt, Central Bank, More than 0 to 3, Other debt liabilities, Interest, USD | pub=World Bank | cols: country, date, value, indicator
