[6903] Ext. Debt Service Pmt, Public Sector Ext. Debt, 9 to 12 mo., All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6904] Ext. Debt Service Pmt, Public Sector Ext. Debt, 10 to 15 yrs, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6905] Ext. Debt Service Pmt, Public Sector Ext. Debt, 12 to 18 mo., All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6906] Ext. Debt Service Pmt, Public Sector Ext. Debt, More than15yrs, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6907] Ext. Debt Service Pmt, Public Sector Ext. Debt, 18 to 24 mo., All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6908] Ext. Debt Service Pmt, Public Sector Ext. Debt, Immediately, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6909] Interest payments on variable rate external debt, public and publicly guaranteed (PPG) (INT, current | pub=World Bank | cols: country, date, value, indicator
[6910] Interest payments on variable rate external debt, long-term (INT, current US$) | pub=World Bank | cols: country, date, value, indicator
[6911] Gross Ext. Debt Pmt, General Government, More than 0 to 3, Loans, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6912] Gross Ext. Debt Pmt, General Government, More than 9 to 12, Loans, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6913] Gross Ext. Debt Pmt, General Government, More than 12 to 18, Loans, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6914] Gross Ext. Debt Pmt, General Government, More than 18 to 24, Loans, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6915] Gross Ext. Debt Pmt, General Government, More than 2yrs, Loans, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6916] Gross Ext. Debt Pmt, General Government, More than 3 to 6, Loans, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6917] Gross Ext. Debt Pmt, General Government, More than 6 to 9, Loans, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6918] Gross Ext. Debt Pmt, General Government, Immediate, Loans, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6919] Gross Ext. Debt Pmt, Other Sectors, More than 0 to 3, Trade credit and advances, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6920] Gross Ext. Debt Pmt, Other Sectors, More than 9 to 12, Trade credit and advances, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6921] Gross Ext. Debt Pmt, Other Sectors, More than 12 to 18, Trade credit and advances, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6922] Gross Ext. Debt Pmt, Other Sectors, More than 18 to 24, Trade credit and advances, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6923] Gross Ext. Debt Pmt, Other Sectors, More than 2yrs, Trade credit and advances, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6924] Gross Ext. Debt Pmt, Other Sectors, More than 3 to 6, Trade credit and advances, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6925] Gross Ext. Debt Pmt, Other Sectors, More than 6 to 9, Trade credit and advances, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6926] Gross Ext. Debt Pmt, Other Sectors, Immediate, Trade credit and advances, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6927] Gross Ext. Debt Pos., HH and nonprofit institu. (NPISHs), All maturities, All instruments, Interest, | pub=World Bank | cols: country, date, value, indicator
[6928] Gross Ext. Debt Pos., Other financial corporations, All maturities, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6929] Gross Ext. Debt Pos., Nonfinancial corporations, All maturities, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6930] Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, All maturities, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6931] Gross Ext. Debt Pos., General Government, All maturities, All instruments, Interest, Arrears, USD | pub=World Bank | cols: country, date, value, indicator
[6932] Gross Ext. Debt Pos., Central Bank, All maturities, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6933] Gross Ext. Debt Pos., Other Sectors, All maturities, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6934] Gross Ext. Debt Pos., Debt liab. of DI ent. to dir. investors, All maturities, All instruments, Inte | pub=World Bank | cols: country, date, value, indicator
[6935] Gross Ext. Debt Pos., Debt liab. to fellow ent., All maturities, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6936] Gross Ext. Debt Pos., Debt liab. of dir. investors to DI ent., All maturities, All instruments, Inte | pub=World Bank | cols: country, date, value, indicator
[7122] Aid (% of GDI) | pub=World Bank | cols: country, date, value, indicator
[7125] Aid (% of GNP) | pub=World Bank | cols: country, date, value, indicator
[7128] Aid (% of imports of goods and services) | pub=World Bank | cols: country, date, value, indicator
[7133] Aid per capita (US$) | pub=World Bank | cols: country, date, value, indicator
[7136] Aid (% of central government expenditures) | pub=World Bank | cols: country, date, value, indicator
[7232] Gross Ext. Debt Pmt, DI: Intercom Lending, More than 0 to 3, Debt liab. of dir. investors to DI ent. | pub=World Bank | cols: country, date, value, indicator
[7233] Gross Ext. Debt Pmt, DI: Intercom Lending, More than 9 to 12, Debt liab. of dir. investors to DI ent | pub=World Bank | cols: country, date, value, indicator
[7234] Gross Ext. Debt Pmt, DI: Intercom Lending, More than 12 to 18, Debt liab. of dir. investors to DI en | pub=World Bank | cols: country, date, value, indicator
[7235] Gross Ext. Debt Pmt, DI: Intercom Lending, More than 18 to 24, Debt liab. of dir. investors to DI en | pub=World Bank | cols: country, date, value, indicator
[7236] Gross Ext. Debt Pmt, DI: Intercom Lending, More than 2yrs, Debt liab. of dir. investors to DI ent.,  | pub=World Bank | cols: country, date, value, indicator
[7237] Gross Ext. Debt Pmt, DI: Intercom Lending, More than 3 to 6, Debt liab. of dir. investors to DI ent. | pub=World Bank | cols: country, date, value, indicator
[7238] Gross Ext. Debt Pmt, DI: Intercom Lending, More than 6 to 9, Debt liab. of dir. investors to DI ent. | pub=World Bank | cols: country, date, value, indicator
[7239] Gross Ext. Debt Pmt, DI: Intercom Lending, Immediate, Debt liab. of dir. investors to DI ent., Prin. | pub=World Bank | cols: country, date, value, indicator
[7240] Debt service (PPG and IMF only, % of exports of goods and services) | pub=World Bank | cols: country, date, value, indicator
[7242] Ext. Debt Service Pmt, SDR allocations, More than15yrs, All instruments, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[7244] Ext. Debt Service Pmt, Public and Publicly Guar. Private Sector Ext. Debt, 0 to 3 mo., All instrumen | pub=World Bank | cols: country, date, value, indicator
[7245] Ext. Debt Service Pmt, All Sectors, More than 0 to 3, All instruments, Prin. and Int., USD | pub=World Bank | cols: country, date, value, indicator
[7246] Ext. Debt Service Pmt, Public and Publicly Guar. Private Sector Ext. Debt, 3yrs, All instruments, Pr | pub=World Bank | cols: country, date, value, indicator
[7247] Ext. Debt Service Pmt, Public and Publicly Guar. Private Sector Ext. Debt, 3 to 6 mo., All instrumen | pub=World Bank | cols: country, date, value, indicator
[7248] Ext. Debt Service Pmt, Public and Publicly Guar. Private Sector Ext. Debt, 4yrs, All instruments, Pr | pub=World Bank | cols: country, date, value, indicator
[7249] Ext. Debt Service Pmt, Public and Publicly Guar. Private Sector Ext. Debt, 5 to 10 yrs, All instrume | pub=World Bank | cols: country, date, value, indicator
[7250] Ext. Debt Service Pmt, Public and Publicly Guar. Private Sector Ext. Debt, 5yrs, All instruments, Pr | pub=World Bank | cols: country, date, value, indicator
[7251] Ext. Debt Service Pmt, Public and Publicly Guar. Private Sector Ext. Debt, 6 to 9 mo., All instrumen | pub=World Bank | cols: country, date, value, indicator
[7252] Ext. Debt Service Pmt, All Sectors, More than 9 to 12, All instruments, Prin. and Int., USD | pub=World Bank | cols: country, date, value, indicator
[7253] Ext. Debt Service Pmt, Public and Publicly Guar. Private Sector Ext. Debt, 9 to 12 mo., All instrume | pub=World Bank | cols: country, date, value, indicator
[7254] Ext. Debt Service Pmt, Public and Publicly Guar. Private Sector Ext. Debt, 10 to 15 yrs, All instrum | pub=World Bank | cols: country, date, value, indicator
[7255] Ext. Debt Service Pmt, All Sectors, More than 12 to 18, All instruments, Prin. and Int., USD | pub=World Bank | cols: country, date, value, indicator
[7256] Ext. Debt Service Pmt, Public and Publicly Guar. Private Sector Ext. Debt, 12 to 18 mo., All instrum | pub=World Bank | cols: country, date, value, indicator
[7257] Ext. Debt Service Pmt, Public and Publicly Guar. Private Sector Ext. Debt, More than15yrs, All instr | pub=World Bank | cols: country, date, value, indicator
[7258] Ext. Debt Service Pmt, All Sectors, More than 18 to 24, All instruments, Prin. and Int., USD | pub=World Bank | cols: country, date, value, indicator
[7259] Ext. Debt Service Pmt, Public and Publicly Guar. Private Sector Ext. Debt, 18 to 24 mo., All instrum | pub=World Bank | cols: country, date, value, indicator
[7260] Ext. Debt Service Pmt, All Sectors, More than 2yrs, All instruments, Prin. and Int., USD | pub=World Bank | cols: country, date, value, indicator
[7261] Ext. Debt Service Pmt, All Sectors, More than 3 to 6, All instruments, Prin. and Int., USD | pub=World Bank | cols: country, date, value, indicator
[7262] Ext. Debt Service Pmt, All Sectors, More than 6 to 9, All instruments, Prin. and Int., USD | pub=World Bank | cols: country, date, value, indicator
[7263] Gross Ext. Debt Pmt, All Sectors, More than 0 to 3, All instruments, Prin. and Int., USD | pub=World Bank | cols: country, date, value, indicator
[7264] Gross Ext. Debt Pmt, All Sectors, More than 9 to 12, All instruments, Prin. and Int., USD | pub=World Bank | cols: country, date, value, indicator
[7265] Gross Ext. Debt Pmt, All Sectors, More than 12 to 18, All instruments, Prin. and Int., USD | pub=World Bank | cols: country, date, value, indicator
[7266] Gross Ext. Debt Pmt, All Sectors, More than 18 to 24, All instruments, Prin. and Int., USD | pub=World Bank | cols: country, date, value, indicator
[7267] Gross Ext. Debt Pmt, All Sectors, More than 2yrs, All instruments, Prin. and Int., USD | pub=World Bank | cols: country, date, value, indicator
[7268] Gross Ext. Debt Pmt, All Sectors, More than 3 to 6, All instruments, Prin. and Int., USD | pub=World Bank | cols: country, date, value, indicator
[7269] Gross Ext. Debt Pmt, All Sectors, More than 6 to 9, All instruments, Prin. and Int., USD | pub=World Bank | cols: country, date, value, indicator
[7270] Gross Ext. Debt Pmt, All Sectors, Immediate, All instruments, Prin. and Int., USD | pub=World Bank | cols: country, date, value, indicator
[7271] Ext. Debt Service Pmt, Deposit-Taking Corp., exc. CB, More than 0 to 3, All instruments, Prin. and I | pub=World Bank | cols: country, date, value, indicator
[7272] Ext. Debt Service Pmt, Deposit-Taking Corp., exc. CB, More than 9 to 12, All instruments, Prin. and  | pub=World Bank | cols: country, date, value, indicator
[7273] Ext. Debt Service Pmt, Deposit-Taking Corp., exc. CB, More than 12 to 18, All instruments, Prin. and | pub=World Bank | cols: country, date, value, indicator
[7274] Ext. Debt Service Pmt, Deposit-Taking Corp., exc. CB, More than 18 to 24, All instruments, Prin. and | pub=World Bank | cols: country, date, value, indicator
[7275] Ext. Debt Service Pmt, Deposit-Taking Corp., exc. CB, More than 2yrs, All instruments, Prin. and Int | pub=World Bank | cols: country, date, value, indicator
[7276] Ext. Debt Service Pmt, Deposit-Taking Corp., exc. CB, More than 3 to 6, All instruments, Prin. and I | pub=World Bank | cols: country, date, value, indicator
[7277] Ext. Debt Service Pmt, Deposit-Taking Corp., exc. CB, More than 6 to 9, All instruments, Prin. and I | pub=World Bank | cols: country, date, value, indicator
[7278] Gross Ext. Debt Pmt, Deposit-Taking Corp., exc. CB, More than 0 to 3, All instruments, Prin. and Int | pub=World Bank | cols: country, date, value, indicator
[7279] Gross Ext. Debt Pmt, Deposit-Taking Corp., exc. CB, More than 9 to 12, All instruments, Prin. and In | pub=World Bank | cols: country, date, value, indicator
[7280] Gross Ext. Debt Pmt, Deposit-Taking Corp., exc. CB, More than 12 to 18, All instruments, Prin. and I | pub=World Bank | cols: country, date, value, indicator
[7281] Gross Ext. Debt Pmt, Deposit-Taking Corp., exc. CB, More than 18 to 24, All instruments, Prin. and I | pub=World Bank | cols: country, date, value, indicator
[7282] Gross Ext. Debt Pmt, Deposit-Taking Corp., exc. CB, More than 2yrs, All instruments, Prin. and Int., | pub=World Bank | cols: country, date, value, indicator
[7283] Gross Ext. Debt Pmt, Deposit-Taking Corp., exc. CB, More than 3 to 6, All instruments, Prin. and Int | pub=World Bank | cols: country, date, value, indicator
[7284] Gross Ext. Debt Pmt, Deposit-Taking Corp., exc. CB, More than 6 to 9, All instruments, Prin. and Int | pub=World Bank | cols: country, date, value, indicator
[7285] Gross Ext. Debt Pmt, Deposit-Taking Corp., exc. CB, Immediate, All instruments, Prin. and Int., USD | pub=World Bank | cols: country, date, value, indicator
[7286] Ext. Debt Service Pmt, Deposit-Taking Corp., exc. CB, Immediate, All instruments, Prin. and Int., US | pub=World Bank | cols: country, date, value, indicator
[7287] Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, One year or less, All instruments, Prin. and In | pub=World Bank | cols: country, date, value, indicator
[7288] Ext. Debt Service Pmt, General Government, More than 0 to 3, All instruments, Prin. and Int., USD | pub=World Bank | cols: country, date, value, indicator
[7289] Ext. Debt Service Pmt, General Government, More than 9 to 12, All instruments, Prin. and Int., USD | pub=World Bank | cols: country, date, value, indicator
[7290] Ext. Debt Service Pmt, General Government, More than 12 to 18, All instruments, Prin. and Int., USD | pub=World Bank | cols: country, date, value, indicator
[7291] Ext. Debt Service Pmt, General Government, More than 18 to 24, All instruments, Prin. and Int., USD | pub=World Bank | cols: country, date, value, indicator
[7292] Ext. Debt Service Pmt, General Government, More than 2yrs, All instruments, Prin. and Int., USD | pub=World Bank | cols: country, date, value, indicator
