[8090] Bread and cereals price in PPP terms (U.S. price = 100) | pub=World Bank | cols: country, date, value, indicator
[8091] Agricultural producer price, maize ($ per metric ton) | pub=World Bank | cols: country, date, value, indicator
[8092] Meat price in PPP terms (U.S. price = 100) | pub=World Bank | cols: country, date, value, indicator
[8093] Agricultural producer price, wheat ($ per metric ton) | pub=World Bank | cols: country, date, value, indicator
[8109] Terrestrial protected areas (number) | pub=World Bank | cols: country, date, value, indicator
[8110] Terrestrial protected areas (% of total surface area) | pub=World Bank | cols: country, date, value, indicator
[8113] Marine protected areas (number) | pub=World Bank | cols: country, date, value, indicator
[8116] Energy imports, net (% of commercial energy use) | pub=World Bank | cols: country, date, value, indicator
[8117] GDP per unit of energy use (1987 US$ per kg of oil equivalent) | pub=World Bank | cols: country, date, value, indicator
[8118] Commercial energy use (kg of oil equivalent per capita) | pub=World Bank | cols: country, date, value, indicator
[8119] Commercial energy use (kt of oil equivalent) | pub=World Bank | cols: country, date, value, indicator
[8120] Currency Outside Banks  (local) | pub=World Bank | cols: country, date, value, indicator
[8121] Banking assets held by foreign-owned banks (% of total banking assets) | pub=World Bank | cols: country, date, value, indicator
[8127] Banking assets held by government-owned banks (% of total banking assets) | pub=World Bank | cols: country, date, value, indicator
[8132] Bank branches (per 100,000 people) | pub=World Bank | cols: country, date, value, indicator
[8135] 656_Does a dedicated, national, multi-stakeholder structure exist to promote and coordinate provisio | pub=World Bank | cols: country, date, value, indicator
[8136] 660_Does government, industry, and NGOs participate in the multi-stakeholder structure to promote an | pub=World Bank | cols: country, date, value, indicator
[8137] 659_Does government and industry only participate in the multi-stakeholder structure to promote and  | pub=World Bank | cols: country, date, value, indicator
[8138] 657_Does government participate in the multi-stakeholder structure to promote and coordinate financi | pub=World Bank | cols: country, date, value, indicator
[8139] 658_Does industry only participate in the multi-stakeholder structure to promote and coordinate fina | pub=World Bank | cols: country, date, value, indicator
[8140] 661_Does government, industry, or NGOs participate in the multi-stakeholder structure to promote and | pub=World Bank | cols: country, date, value, indicator
[8141] 655_Are there multiple agencies responsible for financial education policy and programs?_#VHQA_01 | pub=World Bank | cols: country, date, value, indicator
[8142] 654_Is there a single agency responsible for financial education policy and programs?_#VHQA_00 | pub=World Bank | cols: country, date, value, indicator
[8143] 653_Does this country have a formal definition for financial education or financial literacy or fina | pub=World Bank | cols: country, date, value, indicator
[8144] 685_Does the government itself or with partners maintain a website with educational content, tools,  | pub=World Bank | cols: country, date, value, indicator
[8145] 674_Is financial education integrated into any government-provided social assistance programs? _#VHV | pub=World Bank | cols: country, date, value, indicator
[8146] 669_Has the government issued written guidelines directed to all providers of financial education on | pub=World Bank | cols: country, date, value, indicator
[8147] 668_Has the government issued written guidelines directed to a limited set of providers of financial | pub=World Bank | cols: country, date, value, indicator
[8148] 670_Has the government issued written guidelines directed to all, some, or none of the providers of  | pub=World Bank | cols: country, date, value, indicator
[8149] 662_Has the government, either by itself or with partners, undertaken a national mapping of financia | pub=World Bank | cols: country, date, value, indicator
[8150] 667_Has a nationally representative broader survey with a component on financial capability of indiv | pub=World Bank | cols: country, date, value, indicator
[8151] 666_Has a nationally representative dedicated survey of financial capability of individuals or house | pub=World Bank | cols: country, date, value, indicator
[8152] 678_Is financial education at the stage of curriculum development planned within the next 1-2 years  | pub=World Bank | cols: country, date, value, indicator
[8153] 675_Is financial education included in public school curriculums as a distinct topic or subject?_#VH | pub=World Bank | cols: country, date, value, indicator
[8154] 677_Is financial education at the stage of implementation planned within the next 1-2 years within p | pub=World Bank | cols: country, date, value, indicator
[8155] 681_Is financial education currently or soon to be included as a topic in public school curriculums  | pub=World Bank | cols: country, date, value, indicator
[8156] 679_Is financial education at the stage of not being included in public school curriculums?_#VHWA_04 | pub=World Bank | cols: country, date, value, indicator
[8157] 680_Is financial education currently or soon to be included as a topic in public school curriculums  | pub=World Bank | cols: country, date, value, indicator
[8158] 682_Is financial education currently or soon to be included as a topic in public school curriculums  | pub=World Bank | cols: country, date, value, indicator
[8159] 676_Is financial education included in public school curriculums as a subtopic integrated into one o | pub=World Bank | cols: country, date, value, indicator
[8160] 683_Is financial education currently or soon to be included as a topic in public school curriculums  | pub=World Bank | cols: country, date, value, indicator
[8161] 684_Does the government itself or with partners maintain a website to disclose pricing and terms and | pub=World Bank | cols: country, date, value, indicator
[8162] 672_Does the government explicitly require all financial service providers to offer financial educat | pub=World Bank | cols: country, date, value, indicator
[8163] 671_Does the government explicitly require a limited set of financial service providers to offer fin | pub=World Bank | cols: country, date, value, indicator
[8164] 673_Does the government explicitly require all, some, or none of the financial service providers to  | pub=World Bank | cols: country, date, value, indicator
[8165] 664_Does the government regularly collect data from all known providers of financial education on th | pub=World Bank | cols: country, date, value, indicator
[8166] 663_Does the government regularly collect data from a limited set of providers of financial educatio | pub=World Bank | cols: country, date, value, indicator
[8167] 665_Does the government regularly collect data from all, some, or none of the known providers of fin | pub=World Bank | cols: country, date, value, indicator
[8171] Deposit insurance coverage (% of GDP per capita) | pub=World Bank | cols: country, date, value, indicator
[8172] 593_Do laws and regulations allow consumers a cooling-off period during which they can withdraw from | pub=World Bank | cols: country, date, value, indicator
[8173] 583_Do laws and regulations require assessment of borrower's ability to repay, without specific borr | pub=World Bank | cols: country, date, value, indicator
[8174] 582_Do laws and regulations set explicit limits on excessive borrowing?_#VHFA_00 | pub=World Bank | cols: country, date, value, indicator
