[8423] 034_Are commercial banks permitted to distribute pension products?_#VGDA_08 | pub=World Bank | cols: country, date, value, indicator
[8424] 027_Are commercial banks permitted to contract with retail agents as third-party delivery channels?_ | pub=World Bank | cols: country, date, value, indicator
[8425] 046_Are financial cooperatives permitted to act as an agent of a financial provider?_#VGDC_02 | pub=World Bank | cols: country, date, value, indicator
[8426] 044_Are financial cooperatives permitted to provide checking or current accounts?_#VGDC_00 | pub=World Bank | cols: country, date, value, indicator
[8427] 050_Are financial cooperatives permitted to issue e-money (including prepaid e-money cards) ?_#VGDC_ | pub=World Bank | cols: country, date, value, indicator
[8428] 051_Are financial cooperatives permitted to distribute insurance?_#VGDC_07 | pub=World Bank | cols: country, date, value, indicator
[8429] 049_Are financial cooperatives permitted to issue payment cards (credit, debit, and other non-prepai | pub=World Bank | cols: country, date, value, indicator
[8430] 052_Are financial cooperatives permitted to distribute pension products?_#VGDC_08 | pub=World Bank | cols: country, date, value, indicator
[8431] 045_Are financial cooperatives permitted to contract with retail agents as third-party delivery chan | pub=World Bank | cols: country, date, value, indicator
[8432] 064_Are microcredit institutions (MCIs) permitted to act as an agent of a financial provider?_#VGDE_ | pub=World Bank | cols: country, date, value, indicator
[8433] 062_Are microcredit institutions (MCIs) permitted to provide checking or current accounts?_#VGDE_00 | pub=World Bank | cols: country, date, value, indicator
[8434] 068_Are microcredit institutions (MCIs) permitted to issue e-money (including prepaid e-money cards) | pub=World Bank | cols: country, date, value, indicator
[8435] 069_Are microcredit institutions (MCIs) permitted to distribute insurance?_#VGDE_07 | pub=World Bank | cols: country, date, value, indicator
[8436] 067_Are microcredit institutions (MCIs) permitted to issue payment cards (credit, debit, and other n | pub=World Bank | cols: country, date, value, indicator
[8437] 070_Are microcredit institutions (MCIs) permitted to distribute pension products?_#VGDE_08 | pub=World Bank | cols: country, date, value, indicator
[8438] 063_Are microcredit institutions (MCIs) permitted to contract with retail agents as third-party deli | pub=World Bank | cols: country, date, value, indicator
[8439] 073_Are non-bank e-money issuers (NBEIs) permitted to act as an agent of a financial provider?_#VGDF | pub=World Bank | cols: country, date, value, indicator
[8440] 071_Are non-bank e-money issuers (NBEIs) permitted to provide checking or current accounts?_#VGDF_00 | pub=World Bank | cols: country, date, value, indicator
[8441] 077_Are non-bank e-money issuers (NBEIs) permitted to issue e-money (including prepaid e-money cards | pub=World Bank | cols: country, date, value, indicator
[8442] 078_Are non-bank e-money issuers (NBEIs) permitted to distribute insurance?_#VGDF_07 | pub=World Bank | cols: country, date, value, indicator
[8443] 076_Are non-bank e-money issuers (NBEIs) permitted to issue payment cards (credit, debit, and other  | pub=World Bank | cols: country, date, value, indicator
[8444] 079_Are non-bank e-money issuers (NBEIs) permitted to distribute pension products?_#VGDF_08 | pub=World Bank | cols: country, date, value, indicator
[8445] 072_Are non-bank e-money issuers (NBEIs) permitted to contract with retail agents as third-party del | pub=World Bank | cols: country, date, value, indicator
[8446] 037_Are other banks permitted to act as an agent of a financial provider?_#VGDB_02 | pub=World Bank | cols: country, date, value, indicator
[8447] 035_Are other banks permitted to provide checking or current accounts?_#VGDB_00 | pub=World Bank | cols: country, date, value, indicator
[8448] 041_Are other banks permitted to issue e-money (including prepaid e-money cards) ?_#VGDB_06 | pub=World Bank | cols: country, date, value, indicator
[8449] 042_Are other banks permitted to distribute insurance?_#VGDB_07 | pub=World Bank | cols: country, date, value, indicator
[8450] 040_Are other banks permitted to issue payment cards (credit, debit, and other non-prepaid cards) ?_ | pub=World Bank | cols: country, date, value, indicator
[8451] 043_Are other banks permitted to distribute pension products?_#VGDB_08 | pub=World Bank | cols: country, date, value, indicator
[8452] 036_Are other banks permitted to contract with retail agents as third-party delivery channels?_#VGDB | pub=World Bank | cols: country, date, value, indicator
[8453] 055_Are other deposit taking institutions (ODTIs) permitted to act as an agent of a financial provid | pub=World Bank | cols: country, date, value, indicator
[8454] 053_Are other deposit taking institutions (ODTIs) permitted to provide checking or current accounts? | pub=World Bank | cols: country, date, value, indicator
[8455] 059_Are other deposit taking institutions (ODTIs) permitted to issue e-money (including prepaid e-mo | pub=World Bank | cols: country, date, value, indicator
[8456] 060_Are other deposit taking institutions (ODTIs) permitted to distribute insurance?_#VGDD_07 | pub=World Bank | cols: country, date, value, indicator
[8457] 058_Are other deposit taking institutions (ODTIs) permitted to issue payment cards (credit, debit, a | pub=World Bank | cols: country, date, value, indicator
[8458] 061_Are other deposit taking institutions (ODTIs) permitted to distribute pension products?_#VGDD_08 | pub=World Bank | cols: country, date, value, indicator
[8459] 054_Are other deposit taking institutions (ODTIs) permitted to contract with retail agents as third- | pub=World Bank | cols: country, date, value, indicator
[8460] 007_Are any non-bank e-money issuers subsidiaries of mobile network operators?_#VGAB_00 | pub=World Bank | cols: country, date, value, indicator
[8461] 081_Are third parties such as retail agents allowed to identify and/or verify the identity of the cu | pub=World Bank | cols: country, date, value, indicator
[8462] 083_Are third parties such as retail agents allowed to receive and submit to the institution a loan  | pub=World Bank | cols: country, date, value, indicator
[8463] 084_Are third parties such as retail agents allowed to open a customer account on behalf of commerci | pub=World Bank | cols: country, date, value, indicator
[8464] 086_Are third parties such as retail agents allowed to receive deposits on behalf of commercial bank | pub=World Bank | cols: country, date, value, indicator
[8465] 095_Are third parties such as retail agents allowed to identify and/or verify the identity of the cu | pub=World Bank | cols: country, date, value, indicator
[8466] 097_Are third parties such as retail agents allowed to receive and submit to the institution a loan  | pub=World Bank | cols: country, date, value, indicator
[8467] 098_Are third parties such as retail agents allowed to open a customer account on behalf of financia | pub=World Bank | cols: country, date, value, indicator
[8468] 100_Are third parties such as retail agents allowed to receive deposits on behalf of financial coope | pub=World Bank | cols: country, date, value, indicator
[8469] 109_Are third parties such as retail agents allowed to identify and/or verify the identity of the cu | pub=World Bank | cols: country, date, value, indicator
[8470] 111_Are third parties such as retail agents allowed to receive and submit to the institution a loan  | pub=World Bank | cols: country, date, value, indicator
[8471] 112_Are third parties such as retail agents allowed to open a customer account on behalf of microcre | pub=World Bank | cols: country, date, value, indicator
[8472] 114_Are third parties such as retail agents allowed to receive deposits on behalf of microcredit ins | pub=World Bank | cols: country, date, value, indicator
[8473] 116_Are third parties such as retail agents allowed to identify and/or verify the identity of the cu | pub=World Bank | cols: country, date, value, indicator
[8474] 118_Are third parties such as retail agents allowed to receive and submit to the institution a loan  | pub=World Bank | cols: country, date, value, indicator
[8475] 119_Are third parties such as retail agents allowed to open a customer account on behalf of non-bank | pub=World Bank | cols: country, date, value, indicator
[8476] 121_Are third parties such as retail agents allowed to receive deposits on behalf of non-bank e-mone | pub=World Bank | cols: country, date, value, indicator
[8477] 088_Are third parties such as retail agents allowed to identify and/or verify the identity of the cu | pub=World Bank | cols: country, date, value, indicator
