[8655] Owns a credit card, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8657] Owns a credit card, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[8658] Owns a credit card, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[8659] Owns a credit card, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8660] Owns a credit card, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8661] Owns a credit card, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8662] Owns a credit card, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8663] Owns a credit card, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8664] Own a card that you can add money to and use to send and receive money or make purchases (age 15+) ( | pub=World Bank | cols: country, date, value, indicator
[8665] Ever had an account at a bank or similar bank or similar financial institution  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8666] Ever had an account at a bank or similar bank or similar financial institution, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8667] Ever had an account at a bank or similar bank or similar financial institution, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8668] Ever had an account at a bank or similar bank or similar financial institution, out of laborforce (% | pub=World Bank | cols: country, date, value, indicator
[8669] Ever had an account at a bank or similar bank or similar financial institution, in laborforce (% age | pub=World Bank | cols: country, date, value, indicator
[8670] Ever had an account at a bank or similar bank or similar financial institution, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8671] Ever had an account at a bank or similar bank or similar financial institution, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[8672] Ever had an account at a bank or similar bank or similar financial institution, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[8673] Ever had an account at a bank or similar bank or similar financial institution, primary education or | pub=World Bank | cols: country, date, value, indicator
[8674] Ever had an account at a bank or similar bank or similar financial institution, secondary education  | pub=World Bank | cols: country, date, value, indicator
[8675] Ever had an account at a bank or similar bank or similar financial institution, poorest 40% (% age 1 | pub=World Bank | cols: country, date, value, indicator
[8676] Ever had an account at a bank or similar bank or similar financial institution, richest 60% (% age 1 | pub=World Bank | cols: country, date, value, indicator
[8677] Ever had an account at a bank or similar bank or similar financial institution, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8678] Ever had an account at a bank or similar bank or similar financial institution, of unbanked (% witho | pub=World Bank | cols: country, date, value, indicator
[8679] Can use account at a bank or similar financial institution without help if opened  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8680] Can use account at a bank or similar financial institution without help if opened, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8681] Can use account at a bank or similar financial institution without help if opened, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8682] Can use account at a bank or similar financial institution without help if opened, out of laborforce | pub=World Bank | cols: country, date, value, indicator
[8683] Can use account at a bank or similar financial institution without help if opened, in laborforce (%  | pub=World Bank | cols: country, date, value, indicator
[8684] Can use account at a bank or similar financial institution without help if opened, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8685] Can use account at a bank or similar financial institution without help if opened, young (% ages 15- | pub=World Bank | cols: country, date, value, indicator
[8686] Can use account at a bank or similar financial institution without help if opened, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[8687] Can use account at a bank or similar financial institution without help if opened, primary education | pub=World Bank | cols: country, date, value, indicator
[8688] Can use account at a bank or similar financial institution without help if opened, secondary educati | pub=World Bank | cols: country, date, value, indicator
[8689] Can use account at a bank or similar financial institution without help if opened, poorest 40% (% ag | pub=World Bank | cols: country, date, value, indicator
[8690] Can use account at a bank or similar financial institution without help if opened, richest 60% (% ag | pub=World Bank | cols: country, date, value, indicator
[8691] Can use account at a bank or similar financial institution without help if opened, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8692] Can use account at a bank or similar financial institution without help if opened (% without an acco | pub=World Bank | cols: country, date, value, indicator
[8694] No account because bank or similar financial institutions are too far away, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8695] No account because bank or similar financial institutions are too far away, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8696] No account because bank or similar financial institutions are too far away, out of laborforce (% age | pub=World Bank | cols: country, date, value, indicator
[8697] No account because bank or similar financial institutions are too far away, in laborforce (% age 15+ | pub=World Bank | cols: country, date, value, indicator
[8698] No account because bank or similar financial institutions are too far away, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8699] No account because bank or similar financial institutions are too far away, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[8700] No account because bank or similar financial institutions are too far away, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[8701] No account because bank or similar financial institutions are too far away, primary education or les | pub=World Bank | cols: country, date, value, indicator
[8702] No account because bank or similar financial institutions are too far away, secondary education or m | pub=World Bank | cols: country, date, value, indicator
[8703] No account because bank or similar financial institutions are too far away, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8704] No account because bank or similar financial institutions are too far away, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8705] No account because bank or similar financial institutions are too far away, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8708] No account because financial services are too expensive, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8709] No account because financial services are too expensive, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8710] No account because financial services are too expensive, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8711] No account because financial services are too expensive, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8712] No account because financial services are too expensive, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8713] No account because financial services are too expensive, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[8714] No account because financial services are too expensive, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[8715] No account because financial services are too expensive, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8716] No account because financial services are too expensive, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8717] No account because financial services are too expensive, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8718] No account because financial services are too expensive, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8719] No account because financial services are too expensive, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8722] No account because of a lack of necessary documentation, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8723] No account because of a lack of necessary documentation, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8724] No account because of a lack of necessary documentation, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8725] No account because of a lack of necessary documentation, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8726] No account because of a lack of necessary documentation, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8727] No account because of a lack of necessary documentation, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[8728] No account because of a lack of necessary documentation, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[8729] No account because of a lack of necessary documentation, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8730] No account because of a lack of necessary documentation, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8731] No account because of a lack of necessary documentation, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8732] No account because of a lack of necessary documentation, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8733] No account because of a lack of necessary documentation, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8735] No account because of insufficient funds, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8736] No account because of insufficient funds, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8737] No account because of insufficient funds, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8738] No account because of insufficient funds, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8739] No account because of insufficient funds, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8740] No account because of insufficient funds, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[8741] No account because of insufficient funds, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[8742] No account because of insufficient funds, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8743] No account because of insufficient funds, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8744] No account because of insufficient funds, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8745] No account because of insufficient funds, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8746] No account because of insufficient funds, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8750] No account because someone in the family has one, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8751] No account because someone in the family has one, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8752] No account because someone in the family has one, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8754] No account because someone in the family has one, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[8755] No account because someone in the family has one, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[8756] No account because someone in the family has one, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8757] No account because someone in the family has one, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8758] No account because someone in the family has one, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8759] No account because someone in the family has one, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8760] No account because someone in the family has one, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8763] No account because of a lack of trust in bank or similar financial institutions, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8764] No account because of a lack of trust in bank or similar financial institutions, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8765] No account because of a lack of trust in bank or similar financial institutions, out of laborforce ( | pub=World Bank | cols: country, date, value, indicator
[8766] No account because of a lack of trust in bank or similar financial institutions, in laborforce (% ag | pub=World Bank | cols: country, date, value, indicator
[8767] No account because of a lack of trust in bank or similar financial institutions, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
