[8869] Sent money from a mobile money account, monthly (%  age 15+), rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8870] Sent or withdrew money from a mobile money account, Never (%  age 15+) (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8871] Sent money from a mobile money account, weekly  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8872] Sent money from a mobile money account, weekly, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8873] Sent money from a mobile money account, weekly, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8874] Sent money from a mobile money account, weekly, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8875] Sent money from a mobile money account, weekly, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8876] Sent money from a mobile money account, weekly, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8877] Sent money from a mobile money account, weekly, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[8878] Sent money from a mobile money account, weekly, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[8879] Sent money from a mobile money account, weekly, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8880] Sent money from a mobile money account, weekly, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8881] Sent money from a mobile money account, weekly, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8882] Sent money from a mobile money account, weekly, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8883] Sent money from a mobile money account, weekly, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8884] Took out  money from a mobile money account, less than once a month  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8885] Took out  money from a mobile money account, less than once a month, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8886] Took out  money from a mobile money account, less than once a month, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8887] Took out  money from a mobile money account, less than once a month, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8888] Took out  money from a mobile money account, less than once a month, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8889] Took out  money from a mobile money account, less than once a month, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8890] Took out  money from a mobile money account, less than once a month, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[8891] Took out  money from a mobile money account, less than once a month, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[8892] Took out  money from a mobile money account, less than once a month, primary education or less (% ag | pub=World Bank | cols: country, date, value, indicator
[8893] Took out  money from a mobile money account, less than once a month, secondary education or more (%  | pub=World Bank | cols: country, date, value, indicator
[8894] Took out  money from a mobile money account, less than once a month, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8895] Took out  money from a mobile money account, less than once a month, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8896] Took out  money from a mobile money account, less than once a month, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8897] Took out  money from a mobile money account, monthly (%,  age 15+) (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8898] Took out  money from a mobile money account, monthly (%,  age 15+), women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8899] Took out  money from a mobile money account, monthly (%,  age 15+), urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8900] Took out  money from a mobile money account, monthly (%,  age 15+), out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8901] Took out  money from a mobile money account, monthly (%,  age 15+), in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8902] Took out  money from a mobile money account, monthly (%,  age 15+), men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8903] Took out  money from a mobile money account, monthly (%,  age 15+), young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[8904] Took out  money from a mobile money account, monthly (%,  age 15+), older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[8905] Took out  money from a mobile money account, monthly (%,  age 15+), primary education or less (% age | pub=World Bank | cols: country, date, value, indicator
[8906] Took out  money from a mobile money account, monthly (%,  age 15+), secondary education or more (% a | pub=World Bank | cols: country, date, value, indicator
[8907] Took out  money from a mobile money account, monthly (%,  age 15+), poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8908] Took out  money from a mobile money account, monthly (%,  age 15+), richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8909] Took out  money from a mobile money account, monthly (%,  age 15+), rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8910] Took out  or withdrew money from a mobile money account, Never (%  age 15+) (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8911] Took out money from a mobile money account, weekly  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8912] Took out money from a mobile money account, weekly, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8913] Took out money from a mobile money account, weekly, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8914] Took out money from a mobile money account, weekly, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8915] Took out money from a mobile money account, weekly, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8916] Took out money from a mobile money account, weekly, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8917] Took out money from a mobile money account, weekly, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[8918] Took out money from a mobile money account, weekly, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[8919] Took out money from a mobile money account, weekly, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8920] Took out money from a mobile money account, weekly, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8921] Took out money from a mobile money account, weekly, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8922] Took out money from a mobile money account, weekly, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8923] Took out money from a mobile money account, weekly, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8924] Asked for mobile money PIN or password  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8925] Asked for mobile money PIN or password, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8926] Asked for mobile money PIN or password, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8927] Asked for mobile money PIN or password, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8928] Asked for mobile money PIN or password, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8929] Asked for mobile money PIN or password, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8930] Asked for mobile money PIN or password, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[8931] Asked for mobile money PIN or password, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[8932] Asked for mobile money PIN or password, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8933] Asked for mobile money PIN or password, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8934] Asked for mobile money PIN or password, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8935] Asked for mobile money PIN or password, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8936] Asked for mobile money PIN or password, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8937] Sent money to the wrong number  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8938] Sent money to the wrong number, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8939] Sent money to the wrong number, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8940] Sent money to the wrong number, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8941] Sent money to the wrong number, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8942] Sent money to the wrong number, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8943] Sent money to the wrong number, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[8944] Sent money to the wrong number, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[8945] Sent money to the wrong number, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8946] Sent money to the wrong number, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8947] Sent money to the wrong number, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8948] Sent money to the wrong number, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8949] Sent money to the wrong number, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8950] Received money back after sending to the wrong number  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8951] Received money back after sending to the wrong number, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[8952] Received money back after sending to the wrong number, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
