[9085] Saved at a financial institution (% ages 15-34) | pub=World Bank | cols: country, date, value, indicator
[9086] Saved at a financial institution (% ages 35-59) | pub=World Bank | cols: country, date, value, indicator
[9087] Saved at a financial institution (% age 60+) | pub=World Bank | cols: country, date, value, indicator
[9090] Saved money using a mobile money account, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9091] Saved money using a mobile money account, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9092] Saved money using a mobile money account, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9094] Saved money using a mobile money account, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[9095] Saved money using a mobile money account, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[9096] Saved money using a mobile money account, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9097] Saved money using a mobile money account, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9098] Saved money using a mobile money account, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9099] Saved money using a mobile money account, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9100] Saved money using a mobile money account, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9103] Saved using a savings club or a person outside the family, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9104] Saved using a savings club or a person outside the family, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9105] Saved using a savings club or a person outside the family, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9107] Saved using a savings club or a person outside the family, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[9108] Saved using a savings club or a person outside the family, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[9109] Saved using a savings club or a person outside the family, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9110] Saved using a savings club or a person outside the family, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9111] Saved using a savings club or a person outside the family, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9112] Saved using a savings club or a person outside the family, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9113] Saved using a savings club or a person outside the family, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9114] Saved or set aside money into an account, less than once a month  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9115] Saved or set aside money into an account, less than once a month, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9116] Saved or set aside money into an account, less than once a month, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9117] Saved or set aside money into an account, less than once a month, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9118] Saved or set aside money into an account, less than once a month, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9119] Saved or set aside money into an account, less than once a month, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9120] Saved or set aside money into an account, less than once a month, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[9121] Saved or set aside money into an account, less than once a month, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[9122] Saved or set aside money into an account, less than once a month, primary education or less (% age 1 | pub=World Bank | cols: country, date, value, indicator
[9123] Saved or set aside money into an account, less than once a month, secondary education or more (% age | pub=World Bank | cols: country, date, value, indicator
[9124] Saved or set aside money into an account, less than once a month, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9125] Saved or set aside money into an account, less than once a month, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9126] Saved or set aside money into an account, less than once a month, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9127] Saved or set aside money into an account, less than once a month (% people who save) | pub=World Bank | cols: country, date, value, indicator
[9130] Saved or set aside money into an account, monthly, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9131] Saved or set aside money into an account, monthly, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9132] Saved or set aside money into an account, monthly, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9134] Saved or set aside money into an account, monthly, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[9135] Saved or set aside money into an account, monthly, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[9136] Saved or set aside money into an account, monthly, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9137] Saved or set aside money into an account, monthly, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9138] Saved or set aside money into an account, monthly, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9139] Saved or set aside money into an account, monthly, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9140] Saved or set aside money into an account, monthly, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9141] Saved or set aside money into an account, monthly (% people who save) | pub=World Bank | cols: country, date, value, indicator
[9142] Saved or set aside money into an account, weekly  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9143] Saved or set aside money into an account, weekly, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9144] Saved or set aside money into an account, weekly, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9145] Saved or set aside money into an account, weekly, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9146] Saved or set aside money into an account, weekly, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9147] Saved or set aside money into an account, weekly, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9148] Saved or set aside money into an account, weekly, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[9149] Saved or set aside money into an account, weekly, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[9150] Saved or set aside money into an account, weekly, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9151] Saved or set aside money into an account, weekly, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9152] Saved or set aside money into an account, weekly, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9153] Saved or set aside money into an account, weekly, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9154] Saved or set aside money into an account, weekly, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9155] Received interest or additional money for savings in account in the past 12 months  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9156] Received interest or additional money for savings in account in the past 12 months, women (% age 15+ | pub=World Bank | cols: country, date, value, indicator
[9157] Received interest or additional money for savings in account in the past 12 months, urban (% age 15+ | pub=World Bank | cols: country, date, value, indicator
[9158] Received interest or additional money for savings in account in the past 12 months, out of laborforc | pub=World Bank | cols: country, date, value, indicator
[9159] Received interest or additional money for savings in account in the past 12 months, in laborforce (% | pub=World Bank | cols: country, date, value, indicator
[9160] Received interest or additional money for savings in account in the past 12 months, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9161] Received interest or additional money for savings in account in the past 12 months, young (% ages 15 | pub=World Bank | cols: country, date, value, indicator
