[9211] Applied for a loan using a mobile phone , out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9212] Applied for a loan using a mobile phone , in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9213] Applied for a loan using a mobile phone , men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9214] Applied for a loan using a mobile phone , young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[9215] Applied for a loan using a mobile phone , older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[9216] Applied for a loan using a mobile phone , primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9217] Applied for a loan using a mobile phone , secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9218] Applied for a loan using a mobile phone , poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9219] Applied for a loan using a mobile phone , richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9220] Applied for a loan using a mobile phone , rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9221] Received loan using a mobile phone  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9222] Received loan using a mobile phone, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9223] Received loan using a mobile phone, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9224] Received loan using a mobile phone, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9225] Received loan using a mobile phone, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9226] Received loan using a mobile phone, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9227] Received loan using a mobile phone, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[9228] Received loan using a mobile phone, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[9229] Received loan using a mobile phone, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9230] Received loan using a mobile phone, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9231] Received loan using a mobile phone, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9232] Received loan using a mobile phone, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9233] Received loan using a mobile phone, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9236] Borrowed from a formal bank or similar financial institution, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9237] Borrowed from a formal bank or similar financial institution, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9238] Borrowed from a formal bank or similar financial institution, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9242] Borrowed any money from a formal bank or similar financial institution or using a mobile money accou | pub=World Bank | cols: country, date, value, indicator
[9243] Borrowed any money from a formal bank or similar financial institution or using a mobile money accou | pub=World Bank | cols: country, date, value, indicator
[9244] Borrowed any money from a formal bank or similar financial institution or using a mobile money accou | pub=World Bank | cols: country, date, value, indicator
[9246] Borrowed any money from a formal bank or similar financial institution or using a mobile money accou | pub=World Bank | cols: country, date, value, indicator
[9247] Borrowed any money from a formal bank or similar financial institution or using a mobile money accou | pub=World Bank | cols: country, date, value, indicator
[9248] Borrowed any money from a formal bank or similar financial institution or using a mobile money accou | pub=World Bank | cols: country, date, value, indicator
[9249] Borrowed any money from a formal bank or similar financial institution or using a mobile money accou | pub=World Bank | cols: country, date, value, indicator
[9250] Borrowed any money from a formal bank or similar financial institution or using a mobile money accou | pub=World Bank | cols: country, date, value, indicator
[9251] Borrowed any money from a formal bank or similar financial institution or using a mobile money accou | pub=World Bank | cols: country, date, value, indicator
[9252] Borrowed any money from a formal bank or similar financial institution or using a mobile money accou | pub=World Bank | cols: country, date, value, indicator
[9253] Borrowed from a formal bank or similar financial institution, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[9254] Borrowed from a formal bank or similar financial institution, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[9255] Borrowed from a formal bank or similar financial institution, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9256] Borrowed from a formal bank or similar financial institution, secondary education or more (% age 15+ | pub=World Bank | cols: country, date, value, indicator
[9257] Borrowed from a formal bank or similar financial institution, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9258] Borrowed from a formal bank or similar financial institution, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9259] Borrowed from a formal bank or similar financial institution, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9260] Borrowed from a mobile money provider  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9261] Borrowed from a mobile money provider, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9262] Borrowed from a mobile money provider, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9263] Borrowed from a mobile money provider, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9264] Borrowed from a mobile money provider, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9265] Borrowed from a mobile money provider, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9266] Borrowed from a mobile money provider, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[9267] Borrowed from a mobile money provider, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[9268] Borrowed from a mobile money provider, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9269] Borrowed from a mobile money provider, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9270] Borrowed from a mobile money provider, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9271] Borrowed from a mobile money provider, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9272] Borrowed from a mobile money provider, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9273] Borrowed from a financial institution or used a credit card (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9274] Borrowed from a financial institution or used a credit card, female (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9275] Borrowed from a financial institution or used a credit card, male (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9276] Borrowed from a financial institution or used a credit card, income, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9277] Borrowed from a financial institution or used a credit card, income, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9278] Borrowed from a financial institution or used a credit card (% ages 15-34) | pub=World Bank | cols: country, date, value, indicator
[9279] Borrowed from a financial institution or used a credit card (% ages 35-59) | pub=World Bank | cols: country, date, value, indicator
[9280] Borrowed from a financial institution or used a credit card (% age 60+) | pub=World Bank | cols: country, date, value, indicator
[9283] Borrowed from family or friends, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9284] Borrowed from family or friends, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9285] Borrowed from family or friends, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9287] Borrowed from family or friends, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[9288] Borrowed from family or friends, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[9289] Borrowed from family or friends, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9290] Borrowed from family or friends, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9291] Borrowed from family or friends, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9292] Borrowed from family or friends, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9293] Borrowed from family or friends, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9296] Borrowed from a savings club, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9297] Borrowed from a savings club, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9298] Borrowed from a savings club, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9300] Borrowed from a savings club, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[9301] Borrowed from a savings club, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
