[9329] Borrowed to start or operate a business, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9330] Borrowed to start or operate a business, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9331] Borrowed to start or operate a business, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9332] Borrowed to start or operate a business, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9335] Purchased food on credit, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9336] Purchased food on credit, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9337] Purchased food on credit, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9339] Purchased food on credit, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[9340] Purchased food on credit, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[9341] Purchased food on credit, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9342] Purchased food on credit, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9343] Purchased food on credit, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9344] Purchased food on credit, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9345] Purchased food on credit, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9348] Used a credit card, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9349] Used a credit card, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9350] Used a credit card, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9352] Used a credit card, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[9353] Used a credit card, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[9354] Used a credit card, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9355] Used a credit card, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9356] Used a credit card, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9357] Used a credit card, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9358] Used a credit card, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9361] Paid off all credit card balances in full by their due date, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9362] Paid off all credit card balances in full by their due date, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9363] Paid off all credit card balances in full by their due date, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9365] Paid off all credit card balances in full by their due date, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[9366] Paid off all credit card balances in full by their due date, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[9367] Paid off all credit card balances in full by their due date, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9368] Paid off all credit card balances in full by their due date, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9369] Paid off all credit card balances in full by their due date, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9370] Paid off all credit card balances in full by their due date, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9371] Paid off all credit card balances in full by their due date, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9372] Paid off all credit card balances in full by their due date (% who used a credit card, age 15+) | pub=World Bank | cols: country, date, value, indicator
[9375] Coming up with emergency funds in 30 days: not possible, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9376] Coming up with emergency funds in 30 days: not possible, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9377] Coming up with emergency funds in 30 days: not possible, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9379] Coming up with emergency funds in 30 days: not possible, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[9380] Coming up with emergency funds in 30 days: not possible, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[9381] Coming up with emergency funds in 30 days: not possible, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9382] Coming up with emergency funds in 30 days: not possible, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9383] Coming up with emergency funds in 30 days: not possible, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9384] Coming up with emergency funds in 30 days: not possible, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9385] Coming up with emergency funds in 30 days: not possible, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9388] Coming up with emergency funds in 30 days: possible and not difficult at all, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9389] Coming up with emergency funds in 30 days: possible and not difficult at all, out of laborforce (% a | pub=World Bank | cols: country, date, value, indicator
[9390] Coming up with emergency funds in 30 days: possible and not difficult at all, in laborforce (% age 1 | pub=World Bank | cols: country, date, value, indicator
[9392] Coming up with emergency funds in 30 days: possible and not difficult at all, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[9393] Coming up with emergency funds in 30 days: possible and not difficult at all, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[9394] Coming up with emergency funds in 30 days: possible and not difficult at all, primary education or l | pub=World Bank | cols: country, date, value, indicator
[9395] Coming up with emergency funds in 30 days: possible and not difficult at all, secondary education or | pub=World Bank | cols: country, date, value, indicator
[9396] Coming up with emergency funds in 30 days: possible and not difficult at all, poorest 40% (% age 15+ | pub=World Bank | cols: country, date, value, indicator
[9397] Coming up with emergency funds in 30 days: possible and not difficult at all, richest 60% (% age 15+ | pub=World Bank | cols: country, date, value, indicator
[9398] Coming up with emergency funds in 30 days: possible and not difficult at all, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9401] Coming up with emergency funds in 30 days: possible, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9402] Coming up with emergency funds in 30 days: possible, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
