[9925] Made a cash payment upon delivery for an online purchase (% of internet purchasers, age 15+) | pub=World Bank | cols: country, date, value, indicator
[9928] Sent domestic remittances: using an account, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9929] Sent domestic remittances: using an account, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9930] Sent domestic remittances: using an account, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9934] Sent or received domestic remittances: using an account, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9935] Sent or received domestic remittances: using an account, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9936] Sent or received domestic remittances: using an account, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9938] Sent or received domestic remittances: using an account, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[9939] Sent or received domestic remittances: using an account, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[9940] Sent or received domestic remittances: using an account, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9941] Sent or received domestic remittances: using an account, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9942] Sent or received domestic remittances: using an account, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9943] Sent or received domestic remittances: using an account, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9944] Sent or received domestic remittances: using an account, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9945] Sent or received domestic remittances: using an account (% of senders and recipients, age 15+) | pub=World Bank | cols: country, date, value, indicator
[9946] Sent domestic remittances: using an account, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[9947] Sent domestic remittances: using an account, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[9948] Sent domestic remittances: using an account, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9949] Sent domestic remittances: using an account, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9950] Sent domestic remittances: using an account, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9951] Sent domestic remittances: using an account, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9952] Sent domestic remittances: using an account, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9953] Sent domestic remittances: using an account (% of senders, age 15+) | pub=World Bank | cols: country, date, value, indicator
[9956] Received domestic remittances: into an account, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9957] Received domestic remittances: into an account, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9958] Received domestic remittances: into an account, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9960] Received domestic remittances: into an account, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[9961] Received domestic remittances: into an account, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[9962] Received domestic remittances: into an account, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9963] Received domestic remittances: into an account, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9964] Received domestic remittances: into an account, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9965] Received domestic remittances: into an account, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9966] Received domestic remittances: into an account, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9967] Received domestic remittances: into an account (% of recipients, age 15+) | pub=World Bank | cols: country, date, value, indicator
[9970] Used a card or mobile phone to make payments, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9971] Used a card or mobile phone to make payments, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9972] Used a card or mobile phone to make payments, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9974] Used a card or mobile phone to make payments, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[9975] Used a card or mobile phone to make payments, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[9976] Used a card or mobile phone to make payments, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9977] Used a card or mobile phone to make payments, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9978] Used a card or mobile phone to make payments, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9979] Used a card or mobile phone to make payments, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9980] Used a card or mobile phone to make payments, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9983] Made a utility payment, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9984] Made a utility payment, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9985] Made a utility payment, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9987] Made a utility payment, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[9988] Made a utility payment, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[9989] Made a utility payment, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9990] Made a utility payment, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9991] Made a utility payment, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9992] Made a utility payment, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9993] Made a utility payment, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9996] Made a utility payment: using a bank or similar financial institution account, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9997] Made a utility payment: using a bank or similar financial institution account, out of laborforce (%  | pub=World Bank | cols: country, date, value, indicator
[9998] Made a utility payment: using a bank or similar financial institution account, in laborforce (% age  | pub=World Bank | cols: country, date, value, indicator
[10000] Made a utility payment: using a bank or similar financial institution account, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[10003] Made a utility payment: using an account, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10004] Made a utility payment: using an account, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10005] Made a utility payment: using an account, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10007] Made a utility payment: using an account, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[10008] Made a utility payment: using an account, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
