[10054] Received wages, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10055] Received wages, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10057] Received wages, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[10060] Received public sector wages, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10061] Received public sector wages, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10062] Received public sector wages, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10064] Received public sector wages, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[10067] Received public sector wages: into a bank or similar financial institution account, urban (% age 15+ | pub=World Bank | cols: country, date, value, indicator
[10068] Received public sector wages: into a bank or similar financial institution account, out of laborforc | pub=World Bank | cols: country, date, value, indicator
[10069] Received public sector wages: into a bank or similar financial institution account, in laborforce (% | pub=World Bank | cols: country, date, value, indicator
[10071] Received public sector wages: into a bank or similar financial institution account, young (% ages 15 | pub=World Bank | cols: country, date, value, indicator
[10072] Received public sector wages: into a bank or similar financial institution account, older (% age 25+ | pub=World Bank | cols: country, date, value, indicator
[10073] Received public sector wages: into a bank or similar financial institution account, primary educatio | pub=World Bank | cols: country, date, value, indicator
[10074] Received public sector wages: into a bank or similar financial institution account, secondary educat | pub=World Bank | cols: country, date, value, indicator
[10075] Received public sector wages: into a bank or similar financial institution account, poorest 40% (% a | pub=World Bank | cols: country, date, value, indicator
[10076] Received public sector wages: into a bank or similar financial institution account, richest 60% (% a | pub=World Bank | cols: country, date, value, indicator
[10077] Received public sector wages: into a bank or similar financial institution account, rural (% age 15+ | pub=World Bank | cols: country, date, value, indicator
[10078] Received public sector wages: into a bank or similar financial institution account (% of public sect | pub=World Bank | cols: country, date, value, indicator
[10079] Received public sector wages: through a mobile phone  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10080] Received public sector wages: through a mobile phone, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10081] Received public sector wages: through a mobile phone, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10082] Received public sector wages: through a mobile phone, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10083] Received public sector wages: through a mobile phone, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10084] Received public sector wages: through a mobile phone, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10085] Received public sector wages: through a mobile phone, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[10086] Received public sector wages: through a mobile phone, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[10087] Received public sector wages: through a mobile phone, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10088] Received public sector wages: through a mobile phone, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10089] Received public sector wages: through a mobile phone, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10090] Received public sector wages: through a mobile phone, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10091] Received public sector wages: through a mobile phone, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10092] Received public sector wages: in cash only  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10093] Received public sector wages: in cash only, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10094] Received public sector wages: in cash only, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10095] Received public sector wages: in cash only, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10096] Received public sector wages: in cash only, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10097] Received public sector wages: in cash only, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[10098] Received public sector wages: in cash only, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[10099] Received public sector wages: in cash only, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10100] Received public sector wages: in cash only, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10101] Received public sector wages: in cash only, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10102] Received public sector wages: in cash only, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10103] Received public sector wages: in cash only (% of public sector wage recipients, age 15+) | pub=World Bank | cols: country, date, value, indicator
[10104] Received public sector wages: to a card  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10105] Received public sector wages: to a card, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10106] Received public sector wages: to a card, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10107] Received public sector wages: to a card, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10108] Received public sector wages: to a card, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10109] Received public sector wages: to a card, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[10110] Received public sector wages: to a card, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[10111] Received public sector wages: to a card, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10112] Received public sector wages: to a card, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10113] Received public sector wages: to a card, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10114] Received public sector wages: to a card, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10115] Received public sector wages: to a card (% of public sector wage recipients, age 15+) | pub=World Bank | cols: country, date, value, indicator
[10116] Received public sector wages, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[10117] Received public sector wages, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10118] Received public sector wages, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10119] Received public sector wages, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10120] Received public sector wages, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10121] Received public sector wages, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10124] Received public sector wages: into an account, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10125] Received public sector wages: into an account, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10126] Received public sector wages: into an account, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10128] Received public sector wages: into an account, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[10129] Received public sector wages: into an account, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[10130] Received public sector wages: into an account, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10131] Received public sector wages: into an account, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10132] Received public sector wages: into an account, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10133] Received public sector wages: into an account, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10134] Received public sector wages: into an account, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10135] Received public sector wages: into an account (% of public sector wage recipients, age 15+) | pub=World Bank | cols: country, date, value, indicator
[10136] Received wages, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[10137] Received wages, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10138] Received wages, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
