[10173] Received private sector wages: into a bank or similar financial institution account, poorest 40% (%  | pub=World Bank | cols: country, date, value, indicator
[10174] Received private sector wages: into a bank or similar financial institution account, richest 60% (%  | pub=World Bank | cols: country, date, value, indicator
[10175] Received private sector wages: into a bank or similar financial institution account, rural (% age 15 | pub=World Bank | cols: country, date, value, indicator
[10176] Received private sector wages: into a bank or similar financial institution account (% of private se | pub=World Bank | cols: country, date, value, indicator
[10177] Received private sector wages: through a mobile phone  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10178] Received private sector wages: through a mobile phone, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10179] Received private sector wages: through a mobile phone, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10180] Received private sector wages: through a mobile phone, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10181] Received private sector wages: through a mobile phone, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10182] Received private sector wages: through a mobile phone, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10183] Received private sector wages: through a mobile phone, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[10184] Received private sector wages: through a mobile phone, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[10185] Received private sector wages: through a mobile phone, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10186] Received private sector wages: through a mobile phone, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10187] Received private sector wages: through a mobile phone, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10188] Received private sector wages: through a mobile phone, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10189] Received private sector wages: through a mobile phone, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10190] Received private sector wages: through a mobile phone (% of private sector wage recipients, age 15+) | pub=World Bank | cols: country, date, value, indicator
[10193] Received private sector wages: in cash only, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10194] Received private sector wages: in cash only, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10195] Received private sector wages: in cash only, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10197] Received private sector wages: in cash only, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[10198] Received private sector wages: in cash only, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[10199] Received private sector wages: in cash only, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10200] Received private sector wages: in cash only, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10201] Received private sector wages: in cash only, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10202] Received private sector wages: in cash only, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10203] Received private sector wages: in cash only, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10204] Received private sector wages: in cash only (% of private sector wage recipients, age 15+) | pub=World Bank | cols: country, date, value, indicator
[10205] Received private sector wages: to a card  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10206] Received private sector wages: to a card, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10207] Received private sector wages: to a card, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10208] Received private sector wages: to a card, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10209] Received private sector wages: to a card, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10210] Received private sector wages: to a card, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[10211] Received private sector wages: to a card, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[10212] Received private sector wages: to a card, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10213] Received private sector wages: to a card, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10214] Received private sector wages: to a card, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10215] Received private sector wages: to a card, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10216] Received private sector wages: to a card (% of private sector wage recipients, age 15+) | pub=World Bank | cols: country, date, value, indicator
[10217] Received private sector wages, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[10218] Received private sector wages, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10219] Received private sector wages, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10220] Received private sector wages, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10221] Received private sector wages, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10222] Received private sector wages, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
