[10285] Received wages: to a card, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[10286] Received wages: to a card, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10287] Received wages: to a card, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10288] Received wages: to a card, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10289] Received wages: to a card, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10290] Received wages: to a card (% of wage recipients, age 15+) | pub=World Bank | cols: country, date, value, indicator
[10292] Wage payments: Take all money out of account  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10293] Wage payments: Take all money out of account, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10294] Wage payments: Take all money out of account, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10295] Wage payments: Take all money out of account, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10296] Wage payments: Take all money out of account, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10297] Wage payments: Take all money out of account, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10298] Wage payments: Take all money out of account, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[10299] Wage payments: Take all money out of account, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[10300] Wage payments: Take all money out of account, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10301] Wage payments: Take all money out of account, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10302] Wage payments: Take all money out of account, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10303] Wage payments: Take all money out of account, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10304] Wage payments: Take all money out of account, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10305] Wage payments: Take out money by self  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10306] Wage payments: Family member withdrew money  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10309] Wage payments: leave some money in the account, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10310] Wage payments: leave some money in the account, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10311] Wage payments: leave some money in the account, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10313] Wage payments: leave some money in the account, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[10314] Wage payments: leave some money in the account, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[10315] Wage payments: leave some money in the account, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10316] Wage payments: leave some money in the account, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10317] Wage payments: leave some money in the account, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10318] Wage payments: leave some money in the account, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10319] Wage payments: leave some money in the account, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10322] Received government transfer, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10323] Received government transfer, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10324] Received government transfer, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10326] Received government transfer, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[10329] Received government transfer or pension, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10330] Received government transfer or pension, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10331] Received government transfer or pension, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10333] Received government transfer or pension, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[10336] Received government transfer or pension: into an account, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10337] Received government transfer or pension: into an account, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10338] Received government transfer or pension: into an account, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10340] Received government transfer or pension: into an account, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[10341] Received government transfer or pension: into an account, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[10342] Received government transfer or pension: into an account, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10343] Received government transfer or pension: into an account, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10344] Received government transfer or pension: into an account, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10345] Received government transfer or pension: into an account, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
