[10624] Received payments for agricultural products: in cash only, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10625] Received payments for agricultural products: in cash only, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10626] Received payments for agricultural products: in cash only, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10628] Received payments for agricultural products: in cash only, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[10629] Received payments for agricultural products: in cash only, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[10630] Received payments for agricultural products: in cash only, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10631] Received payments for agricultural products: in cash only, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10632] Received payments for agricultural products: in cash only, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10633] Received payments for agricultural products: in cash only, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10634] Received payments for agricultural products: in cash only, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10635] Received payments for agricultural products: in cash only (% of agricultural payment recipients, age | pub=World Bank | cols: country, date, value, indicator
[10636] Received payments for agricultural products: to a card  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10637] Use a phone or the internet to access information about weather or agriculture  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10638] Use a phone or the internet to access information about weather or agriculture, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10639] Use a phone or the internet to access information about weather or agriculture, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10640] Use a phone or the internet to access information about weather or agriculture, out of laborforce (% | pub=World Bank | cols: country, date, value, indicator
[10641] Use a phone or the internet to access information about weather or agriculture, in laborforce (% age | pub=World Bank | cols: country, date, value, indicator
[10642] Use a phone or the internet to access information about weather or agriculture, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10643] Use a phone or the internet to access information about weather or agriculture, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[10644] Use a phone or the internet to access information about weather or agriculture, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[10645] Use a phone or the internet to access information about weather or agriculture, primary education or | pub=World Bank | cols: country, date, value, indicator
[10646] Use a phone or the internet to access information about weather or agriculture, secondary education  | pub=World Bank | cols: country, date, value, indicator
[10647] Use a phone or the internet to access information about weather or agriculture, poorest 40% (% age 1 | pub=World Bank | cols: country, date, value, indicator
[10648] Use a phone or the internet to access information about weather or agriculture, richest 60% (% age 1 | pub=World Bank | cols: country, date, value, indicator
[10649] Use a phone or the internet to access information about weather or agriculture, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10652] Most worrying financial issue: money for old age, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10653] Most worrying financial issue: money for old age, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10654] Most worrying financial issue: money for old age, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10656] Most worrying financial issue: money for old age, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[10657] Most worrying financial issue: money for old age, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[10658] Most worrying financial issue: money for old age, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10659] Most worrying financial issue: money for old age, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
