[11125] Made or received a digital payment, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[11126] Made or received a digital payment, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[11127] Made or received a digital payment, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[11128] Made or received a digital payment, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[11129] Made or received a digital payment, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[11132] Made a digital payment, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[11133] Made a digital payment, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[11134] Made a digital payment, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[11136] Made a digital payment, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[11137] Made a digital payment, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[11138] Made a digital payment, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[11139] Made a digital payment, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[11140] Made a digital payment, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[11141] Made a digital payment, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[11142] Made a digital payment, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[11145] Received digital payments, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[11146] Received digital payments, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[11147] Received digital payments, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[11149] Received digital payments, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[11150] Received digital payments, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[11151] Received digital payments, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[11152] Received digital payments, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[11153] Received digital payments, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[11154] Received digital payments, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[11155] Received digital payments, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[11157] Made or received digital payments in the past year (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[11158] Made or received digital payments in the past year, female (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[11159] Made or received digital payments in the past year, male (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[11160] Made or received digital payments in the past year, income, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[11161] Made or received digital payments in the past year, income, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[11162] Made or received digital payments in the past year (% ages 15-34) | pub=World Bank | cols: country, date, value, indicator
[11163] Made or received digital payments in the past year (% ages 35-59) | pub=World Bank | cols: country, date, value, indicator
[11164] Made or received digital payments in the past year (% age 60+) | pub=World Bank | cols: country, date, value, indicator
[11168] Overall budget balance, including grants (% of GDP) | pub=World Bank | cols: country, date, value, indicator
[11169] Overall budget deficit, including grants (% of GDP) | pub=World Bank | cols: country, date, value, indicator
[11172] Primary balance, excluding interest (current LCU) | pub=World Bank | desc: Primary deficit, excluding interest (current LCU).   | cols: country, date, value, indicator
[11178] Central government debt, total (% of GDP) | pub=World Bank | cols: country, date, value, indicator
[11179] Central government debt, total (% of GDP) | pub=World Bank | cols: country, date, value, indicator
[11183] Financing from abroad (% of GDP) | pub=World Bank | cols: country, date, value, indicator
[11184] Financing from abroad (% of GDP) | pub=World Bank | cols: country, date, value, indicator
[11187] Domestic financing, total (current LCU) | pub=World Bank | cols: country, date, value, indicator
[11188] Domestic financing, total (% of GDP) | pub=World Bank | cols: country, date, value, indicator
[11189] Domestic finanacing (% of GDP) | pub=World Bank | cols: country, date, value, indicator
[11193] Grants (local currency) | pub=World Bank | cols: country, date, value, indicator
[11194] Interest payments (% of current revenue) | pub=World Bank | cols: country, date, value, indicator
[11196] Nontax revenue (% of current revenue) | pub=World Bank | cols: country, date, value, indicator
[11197] Nontax revenue (% of current revenue) | pub=World Bank | cols: country, date, value, indicator
[11198] Current revenue, excluding grants (current LCU) | pub=World Bank | cols: country, date, value, indicator
[11199] Current revenue, excluding grants (% of GDP) | pub=World Bank | cols: country, date, value, indicator
[11201] Current revenue (local currency) | pub=World Bank | cols: country, date, value, indicator
[11202] Current revenue (% of GDP) | pub=World Bank | cols: country, date, value, indicator
[11204] Central government revenues, excluding all grants (% of GDP) | pub=World Bank | desc: Central government revenues, excluding all grants.   | cols: country, date, value, indicator
[11207] Current revenue, excluding grants (% of GDP) | pub=World Bank | cols: country, date, value, indicator
[11209] SOE external debt (% of GDP) | pub=World Bank | cols: country, date, value, indicator
[11210] State-owned enterprises, credit (% of gross domestic credit) | pub=World Bank | cols: country, date, value, indicator
[11211] State-owned enterprises, economic activity (% of GDP) | pub=World Bank | cols: country, date, value, indicator
[11212] SOE economic activity (% of GDP) | pub=World Bank | cols: country, date, value, indicator
[11213] State-owned enterprises, employment (% of total) | pub=World Bank | cols: country, date, value, indicator
[11214] State-owned enterprises, investment (% of GDI) | pub=World Bank | cols: country, date, value, indicator
[11215] State-owned enterprises, net financial flows from government (% of GDP) | pub=World Bank | cols: country, date, value, indicator
[11216] SOE net financial flows from government (% of GDP) | pub=World Bank | cols: country, date, value, indicator
[11217] State-owned enterprises, overall balance before transfers (% of GDP) | pub=World Bank | cols: country, date, value, indicator
[11218] SOE overall balance before transfers (% of total) | pub=World Bank | cols: country, date, value, indicator
[11219] Privatization proceeds (current US$) | pub=World Bank | cols: country, date, value, indicator
[11222] Export duties (% of exports) | pub=World Bank | cols: country, date, value, indicator
[11223] Export duties (% of tax revenue) | pub=World Bank | cols: country, date, value, indicator
[11225] Taxes on goods and services (% value added of industry and srv.) | pub=World Bank | cols: country, date, value, indicator
[11226] Taxes on goods and services (% of current revenue) | pub=World Bank | cols: country, date, value, indicator
[11227] Taxes on goods and services (% value added of industry and services) | pub=World Bank | cols: country, date, value, indicator
[11228] Taxes on goods and services (% of current revenue) | pub=World Bank | cols: country, date, value, indicator
[11230] Highest marginal tax rate, individual (on income exceeding, US$) | pub=World Bank | cols: country, date, value, indicator
[11231] Highest marginal tax rate, individual rate (%) | pub=World Bank | cols: country, date, value, indicator
[11232] Import duties (% of imports) | pub=World Bank | cols: country, date, value, indicator
[11233] Import duties (% of tax revenue) | pub=World Bank | cols: country, date, value, indicator
[11234] Income, profit, and capital gains taxes (% of current revenue) | pub=World Bank | cols: country, date, value, indicator
[11236] Taxes on international trade (% of current revenue) | pub=World Bank | cols: country, date, value, indicator
[11237] Taxes on international trade (% of current revenue) | pub=World Bank | cols: country, date, value, indicator
[11238] Other taxes (% of current revenue) | pub=World Bank | cols: country, date, value, indicator
[11239] Other taxes (% of current revenue) | pub=World Bank | cols: country, date, value, indicator
[11240] Social security taxes (% of current revenue) | pub=World Bank | cols: country, date, value, indicator
[11241] Social security taxes (% of current revenue) | pub=World Bank | cols: country, date, value, indicator
[11242] Tax revenue (current LCU) | pub=World Bank | cols: country, date, value, indicator
[11243] Tax revenue (% of GDP) | pub=World Bank | cols: country, date, value, indicator
[11244] Tax revenue (% of GDP) | pub=World Bank | cols: country, date, value, indicator
[11245] Taxes on income, profits and capital gains (% of current revenue) | pub=World Bank | cols: country, date, value, indicator
[11246] Taxes on income, profits and capital gains (% of total taxes) | pub=World Bank | cols: country, date, value, indicator
[11250] Goods and services expenditure (% of total expenditure) | pub=World Bank | cols: country, date, value, indicator
[11251] Interest on domestic debt (current LCU) | pub=World Bank | desc: Interest on domestic debt.  Data are in current local currency.   | cols: country, date, value, indicator
[11253] Interest payment (% of current revenue) | pub=World Bank | cols: country, date, value, indicator
[11254] Interest payments (% of total expenditure) | pub=World Bank | cols: country, date, value, indicator
[11258] Subsidies and other current transfers (% of total expenditure) | pub=World Bank | cols: country, date, value, indicator
[11260] Wages and salaries (% of total expenditure) | pub=World Bank | cols: country, date, value, indicator
[11262] Defense expenditure (% of GDP) | pub=World Bank | cols: country, date, value, indicator
[11264] Expenditures for research and development (% of GNP) | pub=World Bank | cols: country, date, value, indicator
[11266] Research and development expenditure (% of GNI) | pub=World Bank | cols: country, date, value, indicator
[11267] Expenditure, total (current LCU) | pub=World Bank | cols: country, date, value, indicator
