[13252] Locomotives -Total tractive effort ('000  Kgs) | pub=World Bank | cols: country, date, value, indicator
[13253] Passenger-Kilometers Traffic (Non-Suburban), in millions | pub=World Bank | cols: country, date, value, indicator
[13254] Passenger-Kilometers Traffic (Suburban), in millions | pub=World Bank | cols: country, date, value, indicator
[13255] Total Passenger-Kilometers Traffic, in millions | pub=World Bank | cols: country, date, value, indicator
[13256] Running Track Kilometres | pub=World Bank | cols: country, date, value, indicator
[13257] Total Route Kilometers | pub=World Bank | cols: country, date, value, indicator
[13258] Net tonnes Kms. per Route Km. per Annum (' 000s) | pub=World Bank | cols: country, date, value, indicator
[13259] Train Kms. per Running Track Km. per Day | pub=World Bank | cols: country, date, value, indicator
[13260] Wagon Usage: Avergae Wagon Lead during run (in Tonnes) | pub=World Bank | cols: country, date, value, indicator
[13261] Wagon Usage: Net Tonne-KMs/Weagon Day | pub=World Bank | cols: country, date, value, indicator
[13262] Wagon Usage (KMs/Wagon Day) | pub=World Bank | cols: country, date, value, indicator
[13263] Number of wagons in service (All Gauges) | pub=World Bank | cols: country, date, value, indicator
[13264] Passenger Kms. per Route Km. per Annum 000s | pub=World Bank | cols: country, date, value, indicator
[13274] Households with telephones (Landline & Mobile, %) | pub=World Bank | cols: country, date, value, indicator
[13278] Households having computer laptops (w/Internet, %) | pub=World Bank | cols: country, date, value, indicator
[13279] Households having computer laptops (w/o Internet, %) | pub=World Bank | cols: country, date, value, indicator
[13280] Households having computer laptops (%) | pub=World Bank | cols: country, date, value, indicator
[13281] Households with telephones (Landline, %) | pub=World Bank | cols: country, date, value, indicator
[13282] Households with telephones (Mobile, %) | pub=World Bank | cols: country, date, value, indicator
[13283] Households with assets (Number) | pub=World Bank | cols: country, date, value, indicator
[13284] Households with telephones (%) | pub=World Bank | cols: country, date, value, indicator
[13289] Households Access to Safe Drinking Water - Rural (%) | pub=World Bank | cols: country, date, value, indicator
[13290] Households Access to Safe Drinking Water - Total (%) | pub=World Bank | cols: country, date, value, indicator
[13291] Households Access to Safe Drinking Water - Urban (%) | pub=World Bank | cols: country, date, value, indicator
[13292] Households in Slums (Number) | pub=World Bank | cols: country, date, value, indicator
[13293] Urban housing - approved (number, cumulative total) | pub=World Bank | cols: country, date, value, indicator
[13298] Literacy rate, Rural (%) | pub=World Bank | cols: country, date, value, indicator
[13299] Literacy Rate in Slums-Female (%) | pub=World Bank | cols: country, date, value, indicator
[13300] Literacy Rate in Slums - Male (%) | pub=World Bank | cols: country, date, value, indicator
[13301] Literacy Rate in Slums  - Total (%) | pub=World Bank | cols: country, date, value, indicator
[13303] Literacy rate, Urban (%) | pub=World Bank | cols: country, date, value, indicator
[13306] Migrants, Total: 5 to 9 years  residence (Number) | pub=World Bank | cols: country, date, value, indicator
[13307] Migrants, Female 1 to 4 years  residence (Number) | pub=World Bank | cols: country, date, value, indicator
[13308] Migrants, Female: 5 to 9 years  residence (Number) | pub=World Bank | cols: country, date, value, indicator
[13309] Migrants - Female (Number) | pub=World Bank | cols: country, date, value, indicator
[13310] Migrants, Female: less than 1 Year  residence (Number) | pub=World Bank | cols: country, date, value, indicator
[13311] Migrants, Male: 1 to 4 years  residence (Number) | pub=World Bank | cols: country, date, value, indicator
[13312] Migrants, Male: 5 to 9 years  residence (Number) | pub=World Bank | cols: country, date, value, indicator
[13313] Migrants - Male (Number) | pub=World Bank | cols: country, date, value, indicator
[13314] Migrants, Male: less than 1 Year  residence (Number) | pub=World Bank | cols: country, date, value, indicator
[13315] Migrants, Total: 1 to 4 years  residence (Number) | pub=World Bank | cols: country, date, value, indicator
[13316] Migrants, Total (Number) | pub=World Bank | cols: country, date, value, indicator
[13317] Migrants, Total: less than 1 Year  residence (Number) | pub=World Bank | cols: country, date, value, indicator
[13318] Total Slum Population - Female (Number) | pub=World Bank | cols: country, date, value, indicator
[13319] Total Slum Population - Male (Number) | pub=World Bank | cols: country, date, value, indicator
[13320] Total Slum Population (Number) | pub=World Bank | cols: country, date, value, indicator
[13321] Total Workers in Slums - Female (Number) | pub=World Bank | cols: country, date, value, indicator
[13322] Total Workers in Slums - Male (Number) | pub=World Bank | cols: country, date, value, indicator
[13323] Total Workers in Slums (Number) | pub=World Bank | cols: country, date, value, indicator
[13329] Urban Roads (KMs) | pub=World Bank | desc: Length of Urban Roads (in KMs) | cols: country, date, value, indicator
[13330] Urban Roads,  B.T/C.C surface (KMs) | pub=World Bank | cols: country, date, value, indicator
[13331] Urban Roads Surfaced (KMs) | pub=World Bank | desc: Length of Surfaced Urban Roads (in KMs) | cols: country, date, value, indicator
[13332] Urban Roads, W.B.M. surface (KMs) | pub=World Bank | cols: country, date, value, indicator
[13334] Number of road crashes | pub=World Bank | desc: Number of road crashes | cols: country, date, value, indicator
[13336] Number of road traffic deaths | pub=World Bank | desc: Number of road traffic deaths | cols: country, date, value, indicator
[13338] Has an inactive account  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[13339] Has an inactive account, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[13340] Has an inactive account, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[13341] Has an inactive account, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[13342] Has an inactive account, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[13343] Has an inactive account, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[13344] Has an inactive account, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[13345] Has an inactive account, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[13346] Has an inactive account, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[13347] Has an inactive account, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[13348] Has an inactive account, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[13349] Has an inactive account, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[13350] Has an inactive account, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[13351] Has an inactive account (% with an account, age 15+) | pub=World Bank | cols: country, date, value, indicator
[13354] Used the internet in the past three months, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[13355] Used the internet in the past three months, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[13356] Used the internet in the past three months, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[13358] Used the internet in the past three months, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[13359] Used the internet in the past three months, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[13360] Used the internet in the past three months, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[13361] Used the internet in the past three months, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[13362] Used the internet in the past three months, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[13363] Used the internet in the past three months, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[13364] Used the internet in the past three months, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[13400] ICRG composite risk rating (0=highest risk to 100=lowest) | pub=World Bank | cols: country, date, value, indicator
[13418] Aircraft departures (thousands) | pub=World Bank | cols: country, date, value, indicator
[13421] Air transport, passengers carried (thousands) | pub=World Bank | cols: country, date, value, indicator
[13434] Diesel locomotives available (in service as % of total diesel locomotives) | pub=World Bank | cols: country, date, value, indicator
[13435] Rail traffic density (passengers and freight/km) | pub=World Bank | cols: country, date, value, indicator
[13436] Rail lines, electric (km) | pub=World Bank | cols: country, date, value, indicator
[13437] Railway employee productivity (traffic units per employee) | pub=World Bank | cols: country, date, value, indicator
[13438] Railways, good hauled (ton-km) | pub=World Bank | cols: country, date, value, indicator
[13439] Railways, goods transported (ton-km per PPP $ million of GDP) | pub=World Bank | cols: country, date, value, indicator
[13441] Railways, passenger-km (per PPP $ million of GDP) | pub=World Bank | cols: country, date, value, indicator
