[13503] Telephone mainlines, waiting list | pub=World Bank | cols: country, date, value, indicator
[13504] Telephone mainlines, waiting list (thousands) | pub=World Bank | cols: country, date, value, indicator
[13505] Invalid Code | pub=World Bank | cols: country, date, value, indicator
[13518] Schools connected to the Internet (%) | pub=World Bank | cols: country, date, value, indicator
[13519] Internet hosts (per 10,000 people) | pub=World Bank | cols: country, date, value, indicator
[13520] Internet service provider access charges ($ per 30 off-peak hours) | pub=World Bank | cols: country, date, value, indicator
[13525] Internet telephone access charges ($ per 30 off-peak hours) | pub=World Bank | cols: country, date, value, indicator
[13527] Internet total monthly price (% of monthly GNI per capita) | pub=World Bank | cols: country, date, value, indicator
[13557] Cable television subscribers (per 1,000 people) | pub=World Bank | cols: country, date, value, indicator
[13559] Television sets (per 1,000 people) | pub=World Bank | cols: country, date, value, indicator
[13560] Average age of employers, aged 15-64, total | pub=World Bank | cols: country, date, value, indicator
[13561] Average age of employers, aged 15-64, female | pub=World Bank | cols: country, date, value, indicator
[13562] Average age of employers, aged 15-64, above primary education | pub=World Bank | cols: country, date, value, indicator
[13563] Average age of employers, aged 15-64, primary education and below | pub=World Bank | cols: country, date, value, indicator
[13564] Average age of employers, aged 15-64, male | pub=World Bank | cols: country, date, value, indicator
[13565] Average age of employers, aged 25-64 | pub=World Bank | cols: country, date, value, indicator
[13566] Average age of employers, aged 15-64, rural | pub=World Bank | cols: country, date, value, indicator
[13567] Average age of employers, aged 15-64, urban | pub=World Bank | cols: country, date, value, indicator
[13568] Average age of employers, aged 15-24 | pub=World Bank | cols: country, date, value, indicator
[13569] Average age of self-employed or unpaid workers, aged 15-64, total | pub=World Bank | cols: country, date, value, indicator
[13570] Average age of self-employed or unpaid workers, aged 15-64, female | pub=World Bank | cols: country, date, value, indicator
[13571] Average age of self-employed or unpaid workers, aged 15-64, above primary education | pub=World Bank | cols: country, date, value, indicator
[13572] Average age of self-employed or unpaid workers, aged 15-64, primary education and below | pub=World Bank | cols: country, date, value, indicator
[13573] Average age of self-employed or unpaid workers, aged 15-64, male | pub=World Bank | cols: country, date, value, indicator
[13574] Average age of self-employed or unpaid workers, aged 25-64 | pub=World Bank | cols: country, date, value, indicator
[13575] Average age of self-employed or unpaid workers, aged 15-64, rural | pub=World Bank | cols: country, date, value, indicator
[13576] Average age of self-employed or unpaid workers, aged 15-64, urban | pub=World Bank | cols: country, date, value, indicator
[13577] Average age of self-employed or unpaid workers, aged 15-24 | pub=World Bank | cols: country, date, value, indicator
[13578] Average age, total | pub=World Bank | cols: country, date, value, indicator
[13579] Average age, female | pub=World Bank | cols: country, date, value, indicator
[13580] Average age, above primary education | pub=World Bank | cols: country, date, value, indicator
[13581] Average age, primary education and below | pub=World Bank | cols: country, date, value, indicator
[13582] Average age, male | pub=World Bank | cols: country, date, value, indicator
[13583] Average age, aged 25-64 | pub=World Bank | cols: country, date, value, indicator
[13584] Average age, rural | pub=World Bank | cols: country, date, value, indicator
[13585] Average age, urban | pub=World Bank | cols: country, date, value, indicator
[13586] Average age, aged 15-24 | pub=World Bank | cols: country, date, value, indicator
[13587] Average age of wage workers, aged 15-64, total | pub=World Bank | cols: country, date, value, indicator
[13588] Average age of wage workers, aged 15-64, female | pub=World Bank | cols: country, date, value, indicator
[13589] Average age of wage workers, aged 15-64, above primary education | pub=World Bank | cols: country, date, value, indicator
[13590] Average age of wage workers, aged 15-64, primary education and below | pub=World Bank | cols: country, date, value, indicator
[13591] Average age of wage workers, aged 15-64, male | pub=World Bank | cols: country, date, value, indicator
[13592] Average age of wage workers, aged 25-64 | pub=World Bank | cols: country, date, value, indicator
[13593] Average age of wage workers, aged 15-64, rural | pub=World Bank | cols: country, date, value, indicator
[13594] Average age of wage workers, aged 15-64, urban | pub=World Bank | cols: country, date, value, indicator
[13595] Average age of wage workers, aged 15-24 | pub=World Bank | cols: country, date, value, indicator
[13596] Average age of workers, aged 15-64, total | pub=World Bank | cols: country, date, value, indicator
[13597] Average age of workers, aged 15-64, female | pub=World Bank | cols: country, date, value, indicator
[13598] Average age of workers, aged 15-64, above primary education | pub=World Bank | cols: country, date, value, indicator
[13599] Average age of workers, aged 15-64, primary education and below | pub=World Bank | cols: country, date, value, indicator
[13600] Average age of workers, aged 15-64, male | pub=World Bank | cols: country, date, value, indicator
[13601] Average age of workers, aged 25-64 | pub=World Bank | cols: country, date, value, indicator
[13602] Average age of workers, aged 15-64, rural | pub=World Bank | cols: country, date, value, indicator
[13603] Average age of workers, aged 15-64, urban | pub=World Bank | cols: country, date, value, indicator
[13604] Average age of workers, aged 15-24 | pub=World Bank | cols: country, date, value, indicator
[13605] Average age of workers in the agricultural sector, aged 15-64, total | pub=World Bank | cols: country, date, value, indicator
[13606] Average age of workers in the agricultural sector, aged 15-64, female | pub=World Bank | cols: country, date, value, indicator
[13607] Average age of workers in the agricultural sector, aged 15-64, above primary education | pub=World Bank | cols: country, date, value, indicator
[13608] Average age of workers in the agricultural sector, aged 15-64, primary education and below | pub=World Bank | cols: country, date, value, indicator
[13609] Average age of workers in the agricultural sector, aged 15-64, male | pub=World Bank | cols: country, date, value, indicator
[13610] Average age of workers in the agricultural sector, aged 25-64 | pub=World Bank | cols: country, date, value, indicator
[13611] Average age of workers in the agricultural sector, aged 15-64, rural | pub=World Bank | cols: country, date, value, indicator
[13612] Average age of workers in the agricultural sector, aged 15-64, urban | pub=World Bank | cols: country, date, value, indicator
[13613] Average age of workers in the agricultural sector, aged 15-24 | pub=World Bank | cols: country, date, value, indicator
[13614] Wage employment in agriculture, aged 15-64, female (% of female workers in the agricultural sector) | pub=World Bank | cols: country, date, value, indicator
[13615] Wage employment in agriculture, aged 15-64, above primary education (% of workers with high educatio | pub=World Bank | cols: country, date, value, indicator
[13616] Wage employment in agriculture, aged 15-64, primary education and below (% of workers with low educa | pub=World Bank | cols: country, date, value, indicator
