[14050] Workers with more than one jobs in last week, aged 25-64 (% of employed population aged 25-64) | pub=World Bank | cols: country, date, value, indicator
[14051] Workers with more than one jobs in last week, aged 15-64, rural (% of rural employed population in w | pub=World Bank | cols: country, date, value, indicator
[14052] Workers with more than one jobs in last week, aged 15-64, urban (% of urban employed population in w | pub=World Bank | cols: country, date, value, indicator
[14053] Workers with more than one jobs in last week, aged 15-24 (% of employed population aged 15-24) | pub=World Bank | cols: country, date, value, indicator
[14054] Workers with more than one jobs in last week, aged 15-64, total (% of total employed population in w | pub=World Bank | cols: country, date, value, indicator
[14055] Population aged 0-14, female (% of female population) | pub=World Bank | cols: country, date, value, indicator
[14056] Population aged 0-14, above primary education (% of population with high edcuation) | pub=World Bank | cols: country, date, value, indicator
[14057] Population aged 0-14, primary education and below (% of population with low edcuation) | pub=World Bank | cols: country, date, value, indicator
[14058] Population aged 0-14, male (% of male population) | pub=World Bank | cols: country, date, value, indicator
[14059] Population aged 0-14, rural (% of rural population) | pub=World Bank | cols: country, date, value, indicator
[14060] Population aged 0-14, urban (% of urban population) | pub=World Bank | cols: country, date, value, indicator
[14061] Population aged 0-14, total (% of total population) | pub=World Bank | cols: country, date, value, indicator
[14062] Population aged 15-24, female (% of female population) | pub=World Bank | cols: country, date, value, indicator
[14063] Population aged 15-24, above primary education (% of population with high edcuation) | pub=World Bank | cols: country, date, value, indicator
[14064] Population aged 15-24, primary education and below (% of population with low edcuation) | pub=World Bank | cols: country, date, value, indicator
[14065] Population aged 15-24, male (% of male population) | pub=World Bank | cols: country, date, value, indicator
[14066] Population aged 15-24, rural (% of rural population) | pub=World Bank | cols: country, date, value, indicator
[14067] Population aged 15-24, urban (% of urban population) | pub=World Bank | cols: country, date, value, indicator
[14068] Population aged 15-24, total (% of total population) | pub=World Bank | cols: country, date, value, indicator
[14069] Working-age population, aged 15-64, female (% of female population) | pub=World Bank | cols: country, date, value, indicator
[14070] Working-age population, aged 15-64, above primary education (% of population with high education) | pub=World Bank | cols: country, date, value, indicator
[14071] Working-age population, aged 15-64, primary education and below (% of population with low education) | pub=World Bank | cols: country, date, value, indicator
[14072] Working-age population, aged 15-64, male (% of male population) | pub=World Bank | cols: country, date, value, indicator
[14073] Working-age population, aged 15-64, rural (% of rural population) | pub=World Bank | cols: country, date, value, indicator
[14074] Working-age population, aged 15-64, urban (% of urban population) | pub=World Bank | cols: country, date, value, indicator
[14075] Working-age population, aged 15-64, total (% of total population) | pub=World Bank | cols: country, date, value, indicator
[14076] Population aged 25-64, female (% of female population) | pub=World Bank | cols: country, date, value, indicator
[14077] Population aged 25-64, above primary education (% of population with high edcuation) | pub=World Bank | cols: country, date, value, indicator
[14078] Population aged 25-64, primary education and below (% of population with low edcuation) | pub=World Bank | cols: country, date, value, indicator
[14079] Population aged 25-64, male (% of male population) | pub=World Bank | cols: country, date, value, indicator
[14080] Population aged 25-64, rural (% of rural population) | pub=World Bank | cols: country, date, value, indicator
[14081] Population aged 25-64, urban (% of urban population) | pub=World Bank | cols: country, date, value, indicator
[14082] Population aged 25-64, total (% of total population) | pub=World Bank | cols: country, date, value, indicator
[14083] Population aged 65 and above, female (% of female population) | pub=World Bank | cols: country, date, value, indicator
[14084] Population aged 65 and above, above primary education (% of population with high edcuation) | pub=World Bank | cols: country, date, value, indicator
[14085] Population aged 65 and above, primary education and below (% of population with low edcuation) | pub=World Bank | cols: country, date, value, indicator
[14086] Population aged 65 and above, male (% of male population) | pub=World Bank | cols: country, date, value, indicator
[14087] Population aged 65 and above, rural (% of rural population) | pub=World Bank | cols: country, date, value, indicator
[14088] Population aged 65 and above, urban (% of urban population) | pub=World Bank | cols: country, date, value, indicator
[14089] Population aged 65 and above, total (% of total population) | pub=World Bank | cols: country, date, value, indicator
[14090] Dependency rate, all compared to 15-64 | pub=World Bank | cols: country, date, value, indicator
[14091] Old age dependency rate, adulter than 64 compared to 15-64 | pub=World Bank | cols: country, date, value, indicator
[14092] Youth dependency rate, younger than 15 compared to 15-64 | pub=World Bank | cols: country, date, value, indicator
[14093] Working-age population with no education, female (% of female population in working age) | pub=World Bank | cols: country, date, value, indicator
[14094] Working-age population with no education, primary education and below (% of population with low educ | pub=World Bank | cols: country, date, value, indicator
[14095] Working-age population with no education, male (% of male population in working age) | pub=World Bank | cols: country, date, value, indicator
[14096] Working-age population with no education, aged 25-64 (% of population aged 25-64) | pub=World Bank | cols: country, date, value, indicator
[14097] Working-age population with no education, rural (% of rural population in working age) | pub=World Bank | cols: country, date, value, indicator
[14098] Working-age population with no education, urban (% of urban population in working age) | pub=World Bank | cols: country, date, value, indicator
[14099] Working-age population with no education, aged 15-24 (% of population aged 15-24) | pub=World Bank | cols: country, date, value, indicator
[14100] Working-age population with no education, total (% of total population in working age) | pub=World Bank | cols: country, date, value, indicator
[14101] Working-age population with primary education, female (% of female population in working age) | pub=World Bank | cols: country, date, value, indicator
[14102] Working-age population with primary education, primary education and below (% of population with low | pub=World Bank | cols: country, date, value, indicator
[14103] Working-age population with primary education, male (% of male population in working age) | pub=World Bank | cols: country, date, value, indicator
[14104] Working-age population with primary education, aged 25-64 (% of population aged 25-64) | pub=World Bank | cols: country, date, value, indicator
[14105] Working-age population with primary education, rural (% of rural population in working age) | pub=World Bank | cols: country, date, value, indicator
[14106] Working-age population with primary education, urban (% of urban population in working age) | pub=World Bank | cols: country, date, value, indicator
[14107] Working-age population with primary education, aged 15-24 (% of population aged 15-24) | pub=World Bank | cols: country, date, value, indicator
[14108] Working-age population with primary education, total (% of total population in working age) | pub=World Bank | cols: country, date, value, indicator
[14109] Working-age population with secondary education, female (% of female population in working age) | pub=World Bank | cols: country, date, value, indicator
[14110] Working-age population with secondary education, above primary education (% of population with high  | pub=World Bank | cols: country, date, value, indicator
[14111] Working-age population with secondary education, male (% of male population in working age) | pub=World Bank | cols: country, date, value, indicator
[14112] Working-age population with secondary education, aged 25-64 (% of population aged 25-64) | pub=World Bank | cols: country, date, value, indicator
[14113] Working-age population with post-secondary education, female (% of female population in working age) | pub=World Bank | cols: country, date, value, indicator
[14114] Working-age population with post-secondary education, above primary education (% of population with  | pub=World Bank | cols: country, date, value, indicator
[14115] Working-age population with post-secondary education, male (% of male population in working age) | pub=World Bank | cols: country, date, value, indicator
[14116] Working-age population with post-secondary education, aged 25-64 (% of population aged 25-64) | pub=World Bank | cols: country, date, value, indicator
[14117] Working-age population with post-secondary education, rural (% of rural population in working age) | pub=World Bank | cols: country, date, value, indicator
[14118] Working-age population with post-secondary education, urban (% of urban population in working age) | pub=World Bank | cols: country, date, value, indicator
[14119] Working-age population with post-secondary education, aged 15-24 (% of population aged 15-24) | pub=World Bank | cols: country, date, value, indicator
[14120] Working-age population with post-secondary education, total (% of total population in working age) | pub=World Bank | cols: country, date, value, indicator
[14121] Working-age population with secondary education, rural (% of rural population in working age) | pub=World Bank | cols: country, date, value, indicator
[14122] Working-age population with secondary education, urban (% of urban population in working age) | pub=World Bank | cols: country, date, value, indicator
[14123] Working-age population with secondary education, aged 15-24 (% of population aged 15-24) | pub=World Bank | cols: country, date, value, indicator
