[14150] Wage employment in services, aged 15-64, female (% of female workers in the service sector) | pub=World Bank | cols: country, date, value, indicator
[14151] Wage employment in services, aged 15-64, above primary education (% of workers with high education i | pub=World Bank | cols: country, date, value, indicator
[14152] Wage employment in services, aged 15-64, primary education and below (% of workers with low educatio | pub=World Bank | cols: country, date, value, indicator
[14153] Wage employment in services, aged 15-64, male (% of male workers in the service sector) | pub=World Bank | cols: country, date, value, indicator
[14154] Median earnings per month in the service sector, aged 15-64, local currency values, total | pub=World Bank | cols: country, date, value, indicator
[14155] Median earnings per month in the service sector, aged 15-64, local currency values, female | pub=World Bank | cols: country, date, value, indicator
[14156] Median earnings per month in the service sector, aged 15-64, local currency values, above primary ed | pub=World Bank | cols: country, date, value, indicator
[14157] Median earnings per month in the service sector, aged 15-64, local currency values, primary educatio | pub=World Bank | cols: country, date, value, indicator
[14158] Median earnings per month in the service sector, aged 15-64, local currency values, male | pub=World Bank | cols: country, date, value, indicator
[14159] Median earnings per month in the service sector, aged 25-64, local currency values | pub=World Bank | cols: country, date, value, indicator
[14160] Median earnings per month in the service sector, aged 15-64, local currency values, rural | pub=World Bank | cols: country, date, value, indicator
[14161] Median earnings per month in the service sector, aged 15-64, local currency values, urban | pub=World Bank | cols: country, date, value, indicator
[14162] Median earnings per month in the service sector, aged 15-24, local currency values | pub=World Bank | cols: country, date, value, indicator
[14163] Wage employment in services, aged 25-64 (% of workers aged 25-64 in the service sector) | pub=World Bank | cols: country, date, value, indicator
[14164] Wage employment in services, aged 15-64, rural (% of rural workers in the service sector) | pub=World Bank | cols: country, date, value, indicator
[14165] Wage employment in services, aged 15-64, urban (% of urban workers in the service sector) | pub=World Bank | cols: country, date, value, indicator
[14166] Wage employment in services, aged 15-24 (% of workers aged 15-24 in the service sector) | pub=World Bank | cols: country, date, value, indicator
[14167] Wage employment in services, aged 15-64, total (% of total workers in the service sector) | pub=World Bank | cols: country, date, value, indicator
[14168] Average weekly working hours, aged 15-64, female | pub=World Bank | cols: country, date, value, indicator
[14169] Average weekly working hours, aged 15-64, above primary education | pub=World Bank | cols: country, date, value, indicator
[14170] Average weekly working hours, aged 15-64, primary education and below | pub=World Bank | cols: country, date, value, indicator
[14171] Average weekly working hours, aged 15-64, male | pub=World Bank | cols: country, date, value, indicator
[14172] Average weekly working hours, aged 25-64 | pub=World Bank | cols: country, date, value, indicator
[14173] Average weekly working hours, aged 15-64, rural | pub=World Bank | cols: country, date, value, indicator
[14174] Average weekly working hours, aged 15-64, total | pub=World Bank | cols: country, date, value, indicator
[14175] Average weekly working hours, aged 15-64, urban | pub=World Bank | cols: country, date, value, indicator
[14176] Average weekly working hours, aged 15-24 | pub=World Bank | cols: country, date, value, indicator
[14177] Underemployment, less than 35 hours per week, aged 15-64, female (% of female employed population in | pub=World Bank | cols: country, date, value, indicator
[14178] Underemployment, less than 35 hours per week, aged 15-64, above primary education (% of employed pop | pub=World Bank | cols: country, date, value, indicator
[14179] Underemployment, less than 35 hours per week, aged 15-64, primary education and below (% of employed | pub=World Bank | cols: country, date, value, indicator
[14180] Underemployment, less than 35 hours per week, aged 15-64, male (% of male employed population in wor | pub=World Bank | cols: country, date, value, indicator
[14181] Underemployment, less than 35 hours per week, aged 25-64 (% of employed population aged 25-64) | pub=World Bank | cols: country, date, value, indicator
[14182] Underemployment, less than 35 hours per week, aged 15-64, rural (% of rural employed population in w | pub=World Bank | cols: country, date, value, indicator
[14183] Underemployment, less than 35 hours per week, aged 15-64, urban (% of urban employed population in w | pub=World Bank | cols: country, date, value, indicator
[14184] Underemployment, less than 35 hours per week, aged 15-24 (% of employed population aged 15-24) | pub=World Bank | cols: country, date, value, indicator
[14185] Underemployment, less than 35 hours per week, aged 15-64, total (% of total employed population in w | pub=World Bank | cols: country, date, value, indicator
[14186] Excessive working hours, more than 48 hours per week, aged 15-64, female (% of female employed popul | pub=World Bank | cols: country, date, value, indicator
[14187] Excessive working hours, more than 48 hours per week, aged 15-64, above primary education (% of empl | pub=World Bank | cols: country, date, value, indicator
[14188] Excessive working hours, more than 48 hours per week, aged 15-64, primary education and below (% of  | pub=World Bank | cols: country, date, value, indicator
[14189] Excessive working hours, more than 48 hours per week, aged 15-64, male (% of male employed populatio | pub=World Bank | cols: country, date, value, indicator
