[14250] Median earnings per hour, aged 15-64, local currency values, above primary education | pub=World Bank | cols: country, date, value, indicator
[14251] Median earnings per hour, aged 15-64, deflated to 2010 local currency values, above primary educatio | pub=World Bank | cols: country, date, value, indicator
[14252] Real median earnings per hour, aged 15-64, deflated to 2010 and PPP adjusted, primary education and  | pub=World Bank | cols: country, date, value, indicator
[14253] Median earnings per hour, aged 15-64, local currency values, primary education and below | pub=World Bank | cols: country, date, value, indicator
[14254] Median earnings per hour, aged 15-64, deflated to 2010 local currency values, primary education and  | pub=World Bank | cols: country, date, value, indicator
[14255] Real median earnings per hour, aged 15-64, deflated to 2010 and PPP adjusted, male | pub=World Bank | cols: country, date, value, indicator
[14256] Median earnings per hour, aged 15-64, local currency values, male | pub=World Bank | cols: country, date, value, indicator
[14257] Median earnings per hour, aged 15-64, deflated to 2010 local currency values, male | pub=World Bank | cols: country, date, value, indicator
[14258] Real median earnings per hour, aged 25-64, deflated to 2010 and PPP adjusted | pub=World Bank | cols: country, date, value, indicator
[14259] Median earnings per hour, aged 25-64, local currency values | pub=World Bank | cols: country, date, value, indicator
[14260] Median earnings per hour, aged 25-64, deflated to 2010 local currency values | pub=World Bank | cols: country, date, value, indicator
[14261] Real median earnings per hour, aged 15-64, deflated to 2010 and PPP adjusted, rural | pub=World Bank | cols: country, date, value, indicator
[14262] Median earnings per hour, aged 15-64, local currency values, rural | pub=World Bank | cols: country, date, value, indicator
[14263] Median earnings per hour, aged 15-64, deflated to 2010 local currency values, rural | pub=World Bank | cols: country, date, value, indicator
[14264] Real median earnings per hour, aged 15-64, deflated to 2010 and PPP adjusted, urban | pub=World Bank | cols: country, date, value, indicator
[14265] Median earnings per hour, aged 15-64, local currency values, urban | pub=World Bank | cols: country, date, value, indicator
[14266] Median earnings per hour, aged 15-64, deflated to 2010 local currency values, urban | pub=World Bank | cols: country, date, value, indicator
[14267] Real median earnings per hour, aged 15-24, deflated to 2010 and PPP adjusted | pub=World Bank | cols: country, date, value, indicator
[14268] Median earnings per hour, aged 15-24, local currency values | pub=World Bank | cols: country, date, value, indicator
[14269] Median earnings per hour, aged 15-24, deflated to 2010 local currency values | pub=World Bank | cols: country, date, value, indicator
[14270] Real median earnings per month, aged 15-64, deflated to 2010 and PPP adjusted, total | pub=World Bank | cols: country, date, value, indicator
[14271] Median earnings per month, aged 15-64, local currency values, total | pub=World Bank | cols: country, date, value, indicator
[14272] Median earnings per month, aged 15-64, deflated to 2010 local currency values, total | pub=World Bank | cols: country, date, value, indicator
[14273] Real median earnings per month, aged 15-64, deflated to 2010 and PPP adjusted, female | pub=World Bank | cols: country, date, value, indicator
