[14350] Literacy rate (% of persons aged 45 to 64 years with some degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[14351] Literacy rate (% of persons aged 65 or older with some degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[14352] Literacy rate (% of persons with some degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[14353] Literacy rate (% of female persons with some degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[14354] Literacy rate (% of male persons with some degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[14355] Literacy rate (% of persons living in rural areas with some degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[14356] Literacy rate (% of persons living in urban areas with some degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[14357] Benefit incidence of unemployment benefits and ALMP to poorest quintile (% of total U/ALMP benefits) | pub=World Bank | cols: country, date, value, indicator
[14358] Coverage of unemployment benefits and ALMP (% of population) | pub=World Bank | cols: country, date, value, indicator
[14359] Generosity of unemployment benefits and ALMP (% of total welfare of beneficiary households) | pub=World Bank | cols: country, date, value, indicator
[14360] Total Area (in Km²) | pub=World Bank | cols: country, date, value, indicator
[15465] Women in managerial positions (% of women aged 15 to 29 years with disability i.e. at least a lot of | pub=World Bank | cols: country, date, value, indicator
[15466] Women in managerial positions (% of women aged 30 to 44 years with disability i.e. at least a lot of | pub=World Bank | cols: country, date, value, indicator
[15467] Women in managerial positions (% of women aged 45 to 64 years with disability i.e. at least a lot of | pub=World Bank | cols: country, date, value, indicator
[15468] Women in managerial positions (% of women aged 65 years or older with disability i.e. at least a lot | pub=World Bank | cols: country, date, value, indicator
[15469] Women in managerial positions (% of women with disability i.e. at least a lot of functional difficul | pub=World Bank | cols: country, date, value, indicator
[15470] Women in managerial positions (% of women living in rural areas with disability i.e. at least a lot  | pub=World Bank | cols: country, date, value, indicator
[15471] Women in managerial positions (% of women living in urban areas with disability i.e. at least a lot  | pub=World Bank | cols: country, date, value, indicator
[15472] Women in managerial positions (% of women aged 15 to 29 years with any degree of functional difficul | pub=World Bank | cols: country, date, value, indicator
[15473] Women in managerial positions (% of women aged 30 to 44 years with any degree of functional difficul | pub=World Bank | cols: country, date, value, indicator
[15474] Women in managerial positions (% of women aged 45 to 64 years with any degree of functional difficul | pub=World Bank | cols: country, date, value, indicator
[15475] Women in managerial positions (% of women aged 65 years or older with any degree of functional diffi | pub=World Bank | cols: country, date, value, indicator
[15476] Women in managerial positions (% of women with any degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[15477] Women in managerial positions (% of women with any degree of cognitive difficulty) | pub=World Bank | cols: country, date, value, indicator
[15478] Women in managerial positions (% of women with any degree of  communication difficulty) | pub=World Bank | cols: country, date, value, indicator
[15479] Women in managerial positions (% of women with any degree of hearing difficulty) | pub=World Bank | cols: country, date, value, indicator
[15480] Women in managerial positions (% of women with any degree of mobility difficulty) | pub=World Bank | cols: country, date, value, indicator
[15481] Women in managerial positions (% of women living in rural areas with any degree of functional diffic | pub=World Bank | cols: country, date, value, indicator
[15482] Women in managerial positions (% of women with any degree of seeing difficulty) | pub=World Bank | cols: country, date, value, indicator
[15483] Women in managerial positions (% of women with any degree of selfcare difficulty) | pub=World Bank | cols: country, date, value, indicator
[15484] Women in managerial positions (% of women living in urban areas with any degree of functional diffic | pub=World Bank | cols: country, date, value, indicator
[15485] Women in managerial positions (% of women aged 15 to 29 years with no functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[15486] Women in managerial positions (% of women aged 30 to 44 years with no functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[15487] Women in managerial positions (% of women aged 45 to 64 years with no functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[15488] Women in managerial positions (% of women aged 65 years or older with no functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[15489] Women in managerial positions (% of women with no functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[15490] Women in managerial positions (% of women living in rural areas with no functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[15491] Women in managerial positions (% of women living in urban areas with no functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[15492] Women in managerial positions (% of women aged 15 to 29 years with none or some degree of functional | pub=World Bank | cols: country, date, value, indicator
[15493] Women in managerial positions (% of women aged 30 to 44 years with none or some degree of functional | pub=World Bank | cols: country, date, value, indicator
[15494] Women in managerial positions (% of women aged 45 to 64 years with none or some degree of functional | pub=World Bank | cols: country, date, value, indicator
[15495] Women in managerial positions (% of women aged 65 years or older with none or some degree of functio | pub=World Bank | cols: country, date, value, indicator
[15496] Women in managerial positions (% of women with none or some degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[15497] Women in managerial positions (% of women living in rural areas with none or some degree of function | pub=World Bank | cols: country, date, value, indicator
[15498] Women in managerial positions (% of women living in urban areas with none or some degree of function | pub=World Bank | cols: country, date, value, indicator
[15499] Women in managerial positions (% of women aged 15 to 29 years with some degree of functional difficu | pub=World Bank | cols: country, date, value, indicator
[15500] Women in managerial positions (% of women aged 30 to 44 years with some degree of functional difficu | pub=World Bank | cols: country, date, value, indicator
[15501] Women in managerial positions (% of women aged 45 to 64 years with some degree of functional difficu | pub=World Bank | cols: country, date, value, indicator
[15502] Women in managerial positions (% of women aged 65 years or older with some degree of functional diff | pub=World Bank | cols: country, date, value, indicator
[15503] Women in managerial positions (% of women with some degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[15504] Women in managerial positions (% of women living in rural areas with some degree of functional diffi | pub=World Bank | cols: country, date, value, indicator
[15505] Women in managerial positions (% of women living in urban areas with some degree of functional diffi | pub=World Bank | cols: country, date, value, indicator
[15506] Working individuals in manufacturing (% of persons aged 15 to 29 years with disability i.e. at least | pub=World Bank | cols: country, date, value, indicator
[15507] Working individuals in manufacturing (% of persons aged 30 to 44 years with disability i.e. at least | pub=World Bank | cols: country, date, value, indicator
[15508] Working individuals in manufacturing (% of persons aged 45 to 64 years with disability i.e. at least | pub=World Bank | cols: country, date, value, indicator
[15509] Working individuals in manufacturing (% of persons aged 65 or older with disability i.e. at least a  | pub=World Bank | cols: country, date, value, indicator
[15510] Working individuals in manufacturing (% of persons with disability i.e. at least a lot of functional | pub=World Bank | cols: country, date, value, indicator
[15511] Working individuals in manufacturing (% of female persons with disability i.e. at least a lot of fun | pub=World Bank | cols: country, date, value, indicator
[15512] Working individuals in manufacturing (% of male persons with disability i.e. at least a lot of funct | pub=World Bank | cols: country, date, value, indicator
[15513] Working individuals in manufacturing (% of persons living in rural areas with disability i.e. at lea | pub=World Bank | cols: country, date, value, indicator
[15514] Working individuals in manufacturing (% of persons living in urban areas with disability i.e. at lea | pub=World Bank | cols: country, date, value, indicator
[15515] Working individuals in manufacturing (% of persons aged 15 to 29 years with any degree of functional | pub=World Bank | cols: country, date, value, indicator
[15516] Working individuals in manufacturing (% of persons aged 30 to 44 years with any degree of functional | pub=World Bank | cols: country, date, value, indicator
[15517] Working individuals in manufacturing (% of persons aged 45 to 64 years with any degree of functional | pub=World Bank | cols: country, date, value, indicator
[15518] Working individuals in manufacturing (% of persons aged 65 or older with any degree of functional di | pub=World Bank | cols: country, date, value, indicator
[15519] Working individuals in manufacturing (% of persons with any degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[15520] Working individuals in manufacturing (% of persons with any degree of cognitive difficulty) | pub=World Bank | cols: country, date, value, indicator
[15521] Working individuals in manufacturing (% of persons with any degree of communication difficulty) | pub=World Bank | cols: country, date, value, indicator
[15522] Working individuals in manufacturing (% of female persons with any degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[15523] Working individuals in manufacturing (% of persons with any degree of hearing difficulty) | pub=World Bank | cols: country, date, value, indicator
[15524] Working individuals in manufacturing (% of male persons with any degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[15525] Working individuals in manufacturing (% of persons with any degree of mobility difficulty) | pub=World Bank | cols: country, date, value, indicator
[15526] Working individuals in manufacturing (% of persons living in rural areas with any degree of function | pub=World Bank | cols: country, date, value, indicator
[15527] Working individuals in manufacturing (% of persons with any degree of  seeing difficulty) | pub=World Bank | cols: country, date, value, indicator
[15528] Working individuals in manufacturing (% of persons with any degree of selfcare difficulty) | pub=World Bank | cols: country, date, value, indicator
[15529] Working individuals in manufacturing (% of persons living in urban areas with any degree of function | pub=World Bank | cols: country, date, value, indicator
[15530] Working individuals in manufacturing (% of persons aged 15 to 29 years with no functional difficulty | pub=World Bank | cols: country, date, value, indicator
[15531] Working individuals in manufacturing (% of persons aged 30 to 44 years with no functional difficulty | pub=World Bank | cols: country, date, value, indicator
[15532] Working individuals in manufacturing (% of persons aged 45 to 64 years with no functional difficulty | pub=World Bank | cols: country, date, value, indicator
[15533] Working individuals in manufacturing (% of persons aged 65 or older with no functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[15534] Working individuals in manufacturing (% of persons with no functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[15535] Working individuals in manufacturing (% of female persons with no functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[15536] Working individuals in manufacturing (% of male persons with no functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[15537] Working individuals in manufacturing (% of persons living in rural areas with no functional difficul | pub=World Bank | cols: country, date, value, indicator
[15538] Working individuals in manufacturing (% of persons living in urban areas with no functional difficul | pub=World Bank | cols: country, date, value, indicator
[15539] Working individuals in manufacturing (% of persons aged 15 to 29 years with none or some degree of f | pub=World Bank | cols: country, date, value, indicator
[15540] Working individuals in manufacturing (% of persons aged 30 to 44 years with none or some degree of f | pub=World Bank | cols: country, date, value, indicator
[15541] Working individuals in manufacturing (% of persons aged 45 to 64 years with none or some degree of f | pub=World Bank | cols: country, date, value, indicator
[15542] Working individuals in manufacturing (% of persons aged 65 or older with none or some degree of func | pub=World Bank | cols: country, date, value, indicator
[15543] Working individuals in manufacturing (% of persons with none or some degree of functional difficulty | pub=World Bank | cols: country, date, value, indicator
[15544] Working individuals in manufacturing (% of female persons with none or some degree of functional dif | pub=World Bank | cols: country, date, value, indicator
[15545] Working individuals in manufacturing (% of male persons with none or some degree of functional diffi | pub=World Bank | cols: country, date, value, indicator
[15546] Working individuals in manufacturing (% of persons living in rural areas with none or some degree of | pub=World Bank | cols: country, date, value, indicator
[15547] Working individuals in manufacturing (% of persons living in urban areas with none or some degree of | pub=World Bank | cols: country, date, value, indicator
[15548] Working individuals in manufacturing (% of persons aged 15 to 29 years with some degree of functiona | pub=World Bank | cols: country, date, value, indicator
[15549] Working individuals in manufacturing (% of persons aged 30 to 44 years with some degree of functiona | pub=World Bank | cols: country, date, value, indicator
[15550] Working individuals in manufacturing (% of persons aged 45 to 64 years with some degree of functiona | pub=World Bank | cols: country, date, value, indicator
[15551] Working individuals in manufacturing (% of persons aged 65 or older with some degree of functional d | pub=World Bank | cols: country, date, value, indicator
[15552] Working individuals in manufacturing (% of persons with some degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[15553] Working individuals in manufacturing (% of female persons with some degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
