[15554] Working individuals in manufacturing (% of male persons with some degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[15555] Working individuals in manufacturing (% of persons living in rural areas with some degree of functio | pub=World Bank | cols: country, date, value, indicator
[15556] Working individuals in manufacturing (% of persons living in urban areas with some degree of functio | pub=World Bank | cols: country, date, value, indicator
[15576] Arms imports (% of total imports) | pub=World Bank | cols: country, date, value, indicator
[15582] Military expenditure (% of GNI) | pub=World Bank | cols: country, date, value, indicator
[15585] Arms exports (% of total exports) | pub=World Bank | cols: country, date, value, indicator
[15586] GDP on Accommodation & Food Beverages Activity Sector (in IDR Million), SNA 2008, Current Price | pub=World Bank | cols: country, date, value, indicator
[15587] GDP on Accommodation & Food Beverages Activity Sector (in IDR Million), SNA 2008, Constant Price | pub=World Bank | cols: country, date, value, indicator
[15588] GDP on Agriculture Sector (in IDR Million), Current Price | pub=World Bank | cols: country, date, value, indicator
[15589] GDP on Agriculture Sector (in IDR Million), Constant Price | pub=World Bank | cols: country, date, value, indicator
[15590] GDP on Agriculture, Forestry & Fisheries Sector (in IDR Million), SNA 2008, Current Price | pub=World Bank | cols: country, date, value, indicator
[15591] GDP on Agriculture, Forestry & Fisheries Sector (in IDR Million), SNA 2008, Constant Price | pub=World Bank | cols: country, date, value, indicator
[15592] GDP on Business Services Sector (in IDR Million), SNA 2008, Current Price | pub=World Bank | cols: country, date, value, indicator
[15593] GDP on Business Services Sector (in IDR Million), SNA 2008, Constant Price | pub=World Bank | cols: country, date, value, indicator
[15596] GDP on Construction Sector (in IDR Million), SNA 2008, Current Price | pub=World Bank | cols: country, date, value, indicator
[15597] GDP on Construction Sector (in IDR Million), SNA 2008, Constant Price | pub=World Bank | cols: country, date, value, indicator
[15598] GDP on Education Services Sector (in IDR Million), SNA 2008, Current Price | pub=World Bank | cols: country, date, value, indicator
[15599] GDP on Education Services Sector (in IDR Million), SNA 2008, Constant Price | pub=World Bank | cols: country, date, value, indicator
[15600] GDP on Electricity & Gas Supply Sector (in IDR Million), SNA 2008, Current Price | pub=World Bank | cols: country, date, value, indicator
[15601] GDP on Electricity & Gas Supply Sector (in IDR Million), SNA 2008, Constant Price | pub=World Bank | cols: country, date, value, indicator
[15602] Total GDP excluding Oil and Gas (in IDR Million), Current Price | pub=World Bank | cols: country, date, value, indicator
[15603] Total GDP excluding Oil and Gas (in IDR Million), Constant Price | pub=World Bank | cols: country, date, value, indicator
[15604] GDP on Financial Service Sector (in IDR Million), Current Price | pub=World Bank | cols: country, date, value, indicator
