[15770] Gross domestic fixed investment (constant 1987 LCU) | pub=World Bank | cols: country, date, value, indicator
[15771] Gross domestic fixed investment (annual % growth) | pub=World Bank | cols: country, date, value, indicator
[15772] GDP expenditure on gross fixed capital formation (in IDR Million), SNA 2008, Current Price | pub=World Bank | cols: country, date, value, indicator
[15775] GDP expenditure on imports (in IDR Million), SNA 2008, Current Price | pub=World Bank | cols: country, date, value, indicator
[15776] GDP expenditure on inter-region net exports (in IDR Million), SNA 2008, Current Price | pub=World Bank | cols: country, date, value, indicator
[15777] Gross domestic investment per capita (1987 USD) | pub=World Bank | cols: country, date, value, indicator
[15778] Gross domestic investment per cap. (1987 US$) | pub=World Bank | cols: country, date, value, indicator
[15782] Change in inventories (constant 1987 US$) | pub=World Bank | cols: country, date, value, indicator
[15784] Change in inventories (constant 1987 LCU) | pub=World Bank | cols: country, date, value, indicator
[15785] GDP expenditure on changes in stock (in IDR Million), SNA 2008, Current Price | pub=World Bank | cols: country, date, value, indicator
[15794] Total GDP based on expenditure (in IDR Million) | pub=World Bank | cols: country, date, value, indicator
[15796] Gross domestic investment (constant 1987 US$) | pub=World Bank | cols: country, date, value, indicator
[15799] Gross domestic investment (constant 1987 LCU) | pub=World Bank | cols: country, date, value, indicator
[15800] Gross domestic investment (annual % growth) | pub=World Bank | cols: country, date, value, indicator
[15801] Total GDP based on expenditure (in IDR Million), SNA 2008, Current Price | pub=World Bank | cols: country, date, value, indicator
[15802] Gross domestic investment: contr. to growth of GDP(%) | pub=World Bank | cols: country, date, value, indicator
[15807] Imports of goods and services (constant 1987 US$) | pub=World Bank | cols: country, date, value, indicator
[15810] Imports of goods and services (constant 1987 LCU) | pub=World Bank | cols: country, date, value, indicator
[15811] Imports of goods and services (annual % growth) | pub=World Bank | cols: country, date, value, indicator
[15817] Resource balance (constant 1987 US$) | pub=World Bank | cols: country, date, value, indicator
[15819] Resource balance (constant 1987 LCU) | pub=World Bank | cols: country, date, value, indicator
[15820] Resource balance: contribution to growth of GDP (%) | pub=World Bank | cols: country, date, value, indicator
[15822] Resource Balance (local) (Const. Price) | pub=World Bank | cols: country, date, value, indicator
[15828] Persons aged 15 to 29 years using the Internet (% of persons aged 15 to 29 years with disability i.e | pub=World Bank | cols: country, date, value, indicator
[15829] Persons aged 30 to 44 years using the Internet (% of persons aged 30 to 44 years with disability i.e | pub=World Bank | cols: country, date, value, indicator
[15830] Persons aged 45 to 64 years using the Internet (% of persons aged 45 to 64 years with disability i.e | pub=World Bank | cols: country, date, value, indicator
[15831] Persons aged 65 or older using the Internet (% of persons aged 65 or older with disability i.e. at l | pub=World Bank | cols: country, date, value, indicator
[15832] Persons using the Internet (% of persons with disability i.e. at least a lot of functional difficult | pub=World Bank | cols: country, date, value, indicator
[15833] Female persons using the Internet (% of female persons with disability i.e. at least a lot of functi | pub=World Bank | cols: country, date, value, indicator
[15834] Male persons using the Internet (% of male persons with disability i.e. at least a lot of functional | pub=World Bank | cols: country, date, value, indicator
[15835] Persons living in rural areas using the Internet (% of persons living in rural areas with disability | pub=World Bank | cols: country, date, value, indicator
[15836] Persons living in urban areas using the Internet (% of persons living in urban areas with disability | pub=World Bank | cols: country, date, value, indicator
[15837] Persons aged 15 to 29 years using the Internet (% of persons aged 15 to 29 years with any degree of  | pub=World Bank | cols: country, date, value, indicator
[15838] Persons aged 30 to 44 years using the Internet (% of persons aged 30 to 44 years with any degree of  | pub=World Bank | cols: country, date, value, indicator
[15839] Persons aged 45 to 64 years using the Internet (% of persons aged 45 to 64 years with any degree of  | pub=World Bank | cols: country, date, value, indicator
[15840] Persons aged 65 or older using the Internet (% of persons aged 65 or older with any degree of functi | pub=World Bank | cols: country, date, value, indicator
[15841] Persons using the Internet (% of persons with any degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[15842] Persons using the Internet (% of persons with any degree of cognitive difficulty) | pub=World Bank | cols: country, date, value, indicator
[15843] Persons using the Internet (% of persons with any degree of communication difficulty) | pub=World Bank | cols: country, date, value, indicator
[15844] Female persons using the Internet (% of female persons with any degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[15845] Persons using the Internet (% of persons with any degree of hearing difficulty) | pub=World Bank | cols: country, date, value, indicator
[15846] Male persons using the Internet (% of male persons with any degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[15847] Persons using the Internet (% of persons with any degree of mobility difficulty) | pub=World Bank | cols: country, date, value, indicator
[15848] Persons living in rural areas using the Internet (% of persons living in rural areas with any degree | pub=World Bank | cols: country, date, value, indicator
[15849] Persons using the Internet (% of persons with any degree of seeing difficulty) | pub=World Bank | cols: country, date, value, indicator
[15850] Persons using the Internet (% of persons with any degree of selfcare difficulty) | pub=World Bank | cols: country, date, value, indicator
[15851] Persons living in urban areas using the Internet (% of persons living in urban areas with any degree | pub=World Bank | cols: country, date, value, indicator
[15852] Persons aged 15 to 29 years using the Internet (% of persons aged 15 to 29 years with no functional  | pub=World Bank | cols: country, date, value, indicator
[15853] Persons aged 30 to 44 years using the Internet (% of persons aged 30 to 44 years with no functional  | pub=World Bank | cols: country, date, value, indicator
[15854] Persons aged 45 to 64 years using the Internet (% of persons aged 45 to 64 years with no functional  | pub=World Bank | cols: country, date, value, indicator
[15855] Persons aged 65 or older using the Internet (% of persons aged 65 or older with no functional diffic | pub=World Bank | cols: country, date, value, indicator
[15856] Persons using the Internet (% of persons with no functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[15857] Female persons using the Internet (% of female persons with no functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[15858] Male persons using the Internet (% of male persons with no functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[15859] Persons living in rural areas using the Internet (% of persons living in rural areas with no functio | pub=World Bank | cols: country, date, value, indicator
[15860] Persons living in urban areas using the Internet (% of persons living in urban areas with no functio | pub=World Bank | cols: country, date, value, indicator
[15861] Persons aged 15 to 29 years using the Internet (% of persons aged 15 to 29 years with none or some d | pub=World Bank | cols: country, date, value, indicator
[15862] Persons aged 30 to 44 years using the Internet (% of persons aged 30 to 44 years with none or some d | pub=World Bank | cols: country, date, value, indicator
[15863] Persons aged 45 to 64 years using the Internet (% of persons aged 45 to 64 years with none or some d | pub=World Bank | cols: country, date, value, indicator
[15864] Persons aged 65 or older using the Internet (% of persons aged 65 or older with none or some degree  | pub=World Bank | cols: country, date, value, indicator
[15865] Persons using the Internet (% of persons with none or some degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[15866] Female persons using the Internet (% of female persons with none or some degree of functional diffic | pub=World Bank | cols: country, date, value, indicator
[15867] Male persons using the Internet (% of male persons with none or some degree of functional difficulty | pub=World Bank | cols: country, date, value, indicator
[15868] Persons living in rural areas using the Internet (% of persons living in rural areas with none or so | pub=World Bank | cols: country, date, value, indicator
[15869] Persons living in urban areas using the Internet (% of persons living in urban areas with none or so | pub=World Bank | cols: country, date, value, indicator
[15870] Persons aged 15 to 29 years using the Internet (% of persons aged 15 to 29 years with some degree of | pub=World Bank | cols: country, date, value, indicator
[15871] Persons aged 30 to 44 years using the Internet (% of persons aged 30 to 44 years with some degree of | pub=World Bank | cols: country, date, value, indicator
[15872] Persons aged 45 to 64 years using the Internet (% of persons aged 45 to 64 years with some degree of | pub=World Bank | cols: country, date, value, indicator
