[15934] Manufacturing, value added (annual % growth) | pub=World Bank | cols: country, date, value, indicator
[15936] Manufacturing, val. added defl.(1987=100,Index) | pub=World Bank | cols: country, date, value, indicator
[15945] Industry, value added (constant 1987 US$) | pub=World Bank | cols: country, date, value, indicator
[15948] Industry, value added (constant 1987 LCU) | pub=World Bank | cols: country, date, value, indicator
[15949] Industry, value added (annual % growth) | pub=World Bank | cols: country, date, value, indicator
[15950] Industry, val. added defl. (1987=100,Index) | pub=World Bank | cols: country, date, value, indicator
[15951] Industry: contribution to growth of GDP (%) | pub=World Bank | cols: country, date, value, indicator
[15953] Chemicals (% of value added in manufacturing) | pub=World Bank | cols: country, date, value, indicator
[15955] Food, beverages, and tobacco (% of value added in mfg) | pub=World Bank | cols: country, date, value, indicator
[15957] Machinery and transport equipment (% of value added in mfg) | pub=World Bank | cols: country, date, value, indicator
[15959] Other manufacturing (% of value added in mfg) | pub=World Bank | cols: country, date, value, indicator
[15962] Textiles and clothing (% of value added in mfg) | pub=World Bank | cols: country, date, value, indicator
[15983] Services, etc., value added (constant 1987 US$) | pub=World Bank | cols: country, date, value, indicator
[15986] Services, etc., value added (constant 1987 LCU) | pub=World Bank | cols: country, date, value, indicator
[15987] Services, etc., value added (annual % growth) | pub=World Bank | cols: country, date, value, indicator
[15989] Services: contribution to growth of GDP (%) | pub=World Bank | cols: country, date, value, indicator
[16003] Domestic comprehensive wealth per capita index (real chained 2019 US$) | pub=World Bank | cols: country, date, value, indicator
[16004] Domestic comprehensive wealth per capita index (current US$) | pub=World Bank | cols: country, date, value, indicator
[16005] Domestic comprehensive wealth index (real chained 2019 US$) | pub=World Bank | cols: country, date, value, indicator
[16006] Domestic comprehensive wealth index (current US$) | pub=World Bank | cols: country, date, value, indicator
[16008] Human capital per capita, female (current US$) | pub=World Bank | cols: country, date, value, indicator
[16010] Human capital, female (current US$) | pub=World Bank | cols: country, date, value, indicator
[16012] Human capital per capita, male (current US$) | pub=World Bank | cols: country, date, value, indicator
[16014] Human capital, male (current US$) | pub=World Bank | cols: country, date, value, indicator
[16016] Human capital per capita (current US$) | pub=World Bank | cols: country, date, value, indicator
[16018] Human capital (current US$) | pub=World Bank | cols: country, date, value, indicator
[16020] Renewable natural capital per capita, agricultural land (current US$) | pub=World Bank | cols: country, date, value, indicator
