[16103] Nonrenewable natural capital, metals and minerals: tin (real chained 2019 US$) | pub=World Bank | cols: country, date, value, indicator
[16104] Nonrenewable natural capital, metals and minerals: tin (current US$) | pub=World Bank | cols: country, date, value, indicator
[16105] Nonrenewable natural capital per capita, metals and minerals: zinc (real chained 2019 US$) | pub=World Bank | cols: country, date, value, indicator
[16106] Nonrenewable natural capital per capita, metals and minerals: zinc (current US$) | pub=World Bank | cols: country, date, value, indicator
[16107] Nonrenewable natural capital, metals and minerals: zinc (real chained 2019 US$) | pub=World Bank | cols: country, date, value, indicator
[16108] Nonrenewable natural capital, metals and minerals: zinc (current US$) | pub=World Bank | cols: country, date, value, indicator
[16109] Renewable natural capital per capita, agricultural land: pastureland (current US$) | pub=World Bank | cols: country, date, value, indicator
[16110] Renewable natural capital, agricultural land: pastureland (current US$) | pub=World Bank | cols: country, date, value, indicator
[16112] Nonrenewable natural capital per capita, coal (current US$) | pub=World Bank | cols: country, date, value, indicator
[16114] Nonrenewable natural capital, coal (current US$) | pub=World Bank | cols: country, date, value, indicator
[16116] Nonrenewable natural capital per capita, natural gas (current US$) | pub=World Bank | cols: country, date, value, indicator
[16118] Nonrenewable natural capital, natural gas (current US$) | pub=World Bank | cols: country, date, value, indicator
[16120] Nonrenewable natural capital per capita, oil (current US$) | pub=World Bank | cols: country, date, value, indicator
[16122] Nonrenewable natural capital, oil (current US$) | pub=World Bank | cols: country, date, value, indicator
[16124] Nonrenewable natural capital per capita, total (current US$) | pub=World Bank | cols: country, date, value, indicator
[16126] Nonrenewable natural capital, total (current US$) | pub=World Bank | cols: country, date, value, indicator
[16127] Renewable natural capital per capita, total (real chained 2019 US$) | pub=World Bank | cols: country, date, value, indicator
[16128] Renewable natural capital per capita, total (current US$) | pub=World Bank | cols: country, date, value, indicator
[16129] Renewable natural capital, total (real chained 2019 US$) | pub=World Bank | cols: country, date, value, indicator
[16130] Renewable natural capital, total (current US$) | pub=World Bank | cols: country, date, value, indicator
[16132] Foreign assets per capita (current US$) | pub=World Bank | cols: country, date, value, indicator
[16134] Foreign assets (current US$) | pub=World Bank | cols: country, date, value, indicator
[16135] Foreign liabilities per capita (real chained 2019 US$) | pub=World Bank | cols: country, date, value, indicator
[16136] Foreign liabilities per capita (current US$) | pub=World Bank | cols: country, date, value, indicator
[16137] Foreign liabilities (real chained 2019 US$) | pub=World Bank | cols: country, date, value, indicator
[16138] Foreign liabilities (current US$) | pub=World Bank | cols: country, date, value, indicator
[16140] Produced capital per capita, excluding urban land (current US$) | pub=World Bank | cols: country, date, value, indicator
