[16345] Persons owing a mobility phone (% of persons with any degree of cognitive difficulty) | pub=World Bank | cols: country, date, value, indicator
[16346] Persons owing a mobility phone (% of persons with any degree of communication difficulty) | pub=World Bank | cols: country, date, value, indicator
[16347] Female persons owing a mobility phone (% of female persons with any degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[16348] Persons owing a mobility phone (% of persons with any degree of hearing difficulty) | pub=World Bank | cols: country, date, value, indicator
[16349] Male persons owing a mobility phone (% of male persons with any degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[16350] Persons owing a mobility phone (% of persons with any degree of mobility difficulty) | pub=World Bank | cols: country, date, value, indicator
[16351] Persons living in rural areas owing a mobility phone (% of persons living in rural areas with any de | pub=World Bank | cols: country, date, value, indicator
[16352] Persons owing a mobility phone (% of persons with any degree of seeing difficulty) | pub=World Bank | cols: country, date, value, indicator
[16353] Persons owing a mobility phone (% of persons with any degree of selfcare difficulty) | pub=World Bank | cols: country, date, value, indicator
[16354] Persons living in urban areas owing a mobility phone (% of persons living in urban areas with any de | pub=World Bank | cols: country, date, value, indicator
[16355] Persons aged 15 to 29 years owing a mobility phone (% of persons aged 15 to 29 years with no functio | pub=World Bank | cols: country, date, value, indicator
[16356] Persons aged 30 to 44 years owing a mobility phone (% of persons aged 30 to 44 years with no functio | pub=World Bank | cols: country, date, value, indicator
[16357] Persons aged 45 to 64 years owing a mobility phone (% of persons aged 45 to 64 years with no functio | pub=World Bank | cols: country, date, value, indicator
[16358] Persons aged 65 or older owing a mobility phone (% of persons aged 65 or older with no functional di | pub=World Bank | cols: country, date, value, indicator
[16359] Persons owing a mobility phone (% of persons with no functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[16360] Female persons owing a mobility phone (% of female persons with no functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[16361] Male persons owing a mobility phone (% of male persons with no functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[16362] Persons living in rural areas owing a mobility phone (% of persons living in rural areas with no fun | pub=World Bank | cols: country, date, value, indicator
[16363] Persons living in urban areas owing a mobility phone (% of persons living in urban areas with no fun | pub=World Bank | cols: country, date, value, indicator
[16364] Persons aged 15 to 29 years owing a mobility phone (% of persons aged 15 to 29 years with none or so | pub=World Bank | cols: country, date, value, indicator
[16365] Persons aged 30 to 44 years owing a mobility phone (% of persons aged 30 to 44 years with none or so | pub=World Bank | cols: country, date, value, indicator
[16366] Persons aged 45 to 64 years owing a mobility phone (% of persons aged 45 to 64 years with none or so | pub=World Bank | cols: country, date, value, indicator
[16367] Persons aged 65 or older owing a mobility phone (% of persons aged 65 or older with none or some deg | pub=World Bank | cols: country, date, value, indicator
[16368] Persons owing a mobility phone (% of persons with none or some degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[16369] Female persons owing a mobility phone (% of female persons with none or some degree of functional di | pub=World Bank | cols: country, date, value, indicator
[16370] Male persons owing a mobility phone (% of male persons with none or some degree of functional diffic | pub=World Bank | cols: country, date, value, indicator
[16371] Persons living in rural areas owing a mobility phone (% of persons living in rural areas with none o | pub=World Bank | cols: country, date, value, indicator
[16372] Persons living in urban areas owing a mobility phone (% of persons living in urban areas with none o | pub=World Bank | cols: country, date, value, indicator
[16373] Persons aged 15 to 29 years owing a mobility phone (% of persons aged 15 to 29 years with some degre | pub=World Bank | cols: country, date, value, indicator
[16374] Persons aged 30 to 44 years owing a mobility phone (% of persons aged 30 to 44 years with some degre | pub=World Bank | cols: country, date, value, indicator
