[16492] World Bank: Total education expenditures on goods and services (in USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[16493] World Bank: Maintenance Cost per school (in USD or in local currency) | pub=World Bank | cols: country, date, value, indicator
[16494] World Bank: Ministry of Education employees (% administration/non-teaching) | pub=World Bank | cols: country, date, value, indicator
[16495] World Bank: Share of total public sector employees for the education sector (%) | pub=World Bank | cols: country, date, value, indicator
[16496] World Bank: Ministry of Education employees (% teachers) | pub=World Bank | cols: country, date, value, indicator
[16497] World Bank: Share of total education expenditures for non-salary items (%) | pub=World Bank | cols: country, date, value, indicator
[16498] World Bank: Share of total recurrent education expenditures for non-salary items (%) | pub=World Bank | cols: country, date, value, indicator
[16499] World Bank: Share of total education expenditures for the poorest 40% of students (%) | pub=World Bank | cols: country, date, value, indicator
[16500] World Bank: Pupil/Classroom Ratio | pub=World Bank | cols: country, date, value, indicator
[16501] World Bank: Pupil/Administration (Non-Teaching) Staff Ratio | pub=World Bank | cols: country, date, value, indicator
[16502] World Bank: Pupils/School | pub=World Bank | cols: country, date, value, indicator
[16503] World Bank: Public education expenditure per student (% of GDP per capita) | pub=World Bank | cols: country, date, value, indicator
[16504] World Bank: Expenditures per student per year (local currency) | pub=World Bank | cols: country, date, value, indicator
[16505] World Bank: Expenditures per student per year (local currency), junior secondary | pub=World Bank | cols: country, date, value, indicator
[16506] World Bank: Expenditures per student per year (local currency), pre-primary | pub=World Bank | cols: country, date, value, indicator
[16507] World Bank: Expenditures per student per year (local currency), primary | pub=World Bank | cols: country, date, value, indicator
[16508] World Bank: Expenditures per student per year (local currency), secondary | pub=World Bank | cols: country, date, value, indicator
[16509] World Bank: Expenditures per student per year (local currency), senior secondary | pub=World Bank | cols: country, date, value, indicator
[16510] World Bank: Expenditures per student per year (local currency), tertiary | pub=World Bank | cols: country, date, value, indicator
[16511] World Bank: Recurrent expenditures per student for administration (in USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[16512] World Bank: Expenditures per student per year (in USD) | pub=World Bank | cols: country, date, value, indicator
[16513] World Bank: Pupil/Total Staff Ratio | pub=World Bank | cols: country, date, value, indicator
[16514] World Bank: Pupil/Teacher Ratio | pub=World Bank | cols: country, date, value, indicator
[16515] World Bank: Share of total schools, privately managed (%) | pub=World Bank | cols: country, date, value, indicator
[16516] World Bank: Share of total education expenditures for non-poor students (%) | pub=World Bank | cols: country, date, value, indicator
[16517] World Bank: Share of total education expenditures for poor students (%) | pub=World Bank | cols: country, date, value, indicator
[16518] World Bank: Share of total education expenditures for Quintile 1 (poorest) (%) | pub=World Bank | cols: country, date, value, indicator
[16519] World Bank: Share of total education expenditures for Quintile 2 (%) | pub=World Bank | cols: country, date, value, indicator
[16520] World Bank: Share of total education expenditures for Quintile 3 (%) | pub=World Bank | cols: country, date, value, indicator
[16521] World Bank: Share of total education expenditures for Quintile 4 (%) | pub=World Bank | cols: country, date, value, indicator
[16522] World Bank: Share of total education expenditures for Quintile 5 (richest) (%) | pub=World Bank | cols: country, date, value, indicator
[16523] World Bank: Share of total education expenditures for the richest 40% of students (%) | pub=World Bank | cols: country, date, value, indicator
[16524] World Bank: Share of total government expenditures (all sectors) for recurrent education expenditure | pub=World Bank | cols: country, date, value, indicator
[16525] World Bank: Public recurrent expenditure on education (% of GDP) | pub=World Bank | cols: country, date, value, indicator
[16526] World Bank: Share of recurrent expenditures for goods and services (%) | pub=World Bank | cols: country, date, value, indicator
[16527] World Bank: Share of recurrent education expenditures for salaries (%) | pub=World Bank | cols: country, date, value, indicator
[16528] World Bank: Recurrent share of total education expenditures (%) | pub=World Bank | cols: country, date, value, indicator
[16529] World Bank: Public recurrent education expenditure as % of total recurrent government expenditure | pub=World Bank | cols: country, date, value, indicator
