[16592] World Bank: Share of total basic education expenditures for non-poor students (%) | pub=World Bank | cols: country, date, value, indicator
[16593] World Bank: Share of education expenditures for the poorest 40% of students (%), Basic | pub=World Bank | cols: country, date, value, indicator
[16594] World Bank: Share of total basic education expenditures for poor students (%) | pub=World Bank | cols: country, date, value, indicator
[16595] World Bank: Share of education expenditures for the richest 40% of students (%), Basic | pub=World Bank | cols: country, date, value, indicator
[16596] World Bank: Recurrent share of basic education expenditures (%) | pub=World Bank | cols: country, date, value, indicator
[16597] World Bank: Share of total recurrent education expenditure (%), basic | pub=World Bank | cols: country, date, value, indicator
[16598] World Bank: Salaries' share of basic education expenditures (%) | pub=World Bank | cols: country, date, value, indicator
[16599] World Bank: Ratio of Teacher Salaries to per capita GDP, basic education | pub=World Bank | cols: country, date, value, indicator
[16600] World Bank: Share of recurrent education expenditures for basic education salaries (%) | pub=World Bank | cols: country, date, value, indicator
[16601] World Bank: Share of total salary expenditures for basic education (%) | pub=World Bank | cols: country, date, value, indicator
[16602] World Bank: Share of total education expenditures for basic education salaries (%) | pub=World Bank | cols: country, date, value, indicator
[16603] World Bank: Share of basic education expenditures from government sources (%) | pub=World Bank | cols: country, date, value, indicator
[16604] World Bank: Share of teachers for basic education (%) | pub=World Bank | cols: country, date, value, indicator
[16605] World Bank: Teaching/Non-Teaching Staff Ratio, basic education | pub=World Bank | cols: country, date, value, indicator
[16606] World Bank: Share of total education expenditure for basic education (%) | pub=World Bank | cols: country, date, value, indicator
[16607] World Bank: Capital share of total education expenditure (%), basic | pub=World Bank | cols: country, date, value, indicator
[16608] World Bank: Total expenditures on basic education (USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[16609] World Bank: Share of basic education recurrent expenditures for transfers (%) | pub=World Bank | cols: country, date, value, indicator
[16610] World Bank: Share of GDP lost through inefficiencies (%) | pub=World Bank | cols: country, date, value, indicator
[16611] World Bank: Share of GDP potentially saved with improved targeting of education subsidies (%) | pub=World Bank | cols: country, date, value, indicator
[16612] World Bank: Total potential savings with improved targeting of government education subsidies (USD o | pub=World Bank | cols: country, date, value, indicator
[16613] World Bank: Share of GDP potentially saved with improved pupil/teacher ratios (%) | pub=World Bank | cols: country, date, value, indicator
[16614] World Bank: Total potential savings with improved pupil/teacher ratios (USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[16615] World Bank: Share of total national employment for the education sector (%) | pub=World Bank | cols: country, date, value, indicator
[16616] World Bank: Per student expenditure for majority ethnic group students, primary | pub=World Bank | cols: country, date, value, indicator
[16617] World Bank: Per student expenditure for minority ethnic group students, primary | pub=World Bank | cols: country, date, value, indicator
[16618] World Bank: Pupil/Teacher Ratio in majority ethnic group schools, primary | pub=World Bank | cols: country, date, value, indicator
[16619] World Bank: Pupil/Teacher Ratio in minority ethnic group schools, primary | pub=World Bank | cols: country, date, value, indicator
[16620] World Bank: Goods and Services Execution Rate (%) | pub=World Bank | cols: country, date, value, indicator
[16621] World Bank: Per student cost of school feeding programs (in USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[16622] World Bank: Pupils/School in rural areas | pub=World Bank | cols: country, date, value, indicator
[16623] World Bank: Pupils/School in urban areas | pub=World Bank | cols: country, date, value, indicator
[16624] World Bank: Household spending per student, rural areas (USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[16625] World Bank: Household spending per student, urban areas (USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[16626] World Bank: Share of total domestically-financed/government expenditures for education (%) | pub=World Bank | cols: country, date, value, indicator
[16627] World Bank: Share of total expenditures for goods and services (%) | pub=World Bank | cols: country, date, value, indicator
[16628] World Bank: Share of total household education spending/school fees appropriated to provincial/regio | pub=World Bank | cols: country, date, value, indicator
[16629] World Bank: Share of total household education expenditures for the poorest 40% | pub=World Bank | cols: country, date, value, indicator
[16630] World Bank: Share of total household education expenditures for Quintile 1 (%) | pub=World Bank | cols: country, date, value, indicator
[16631] World Bank: Share of total household education expenditures for Quintile 2 (%) | pub=World Bank | cols: country, date, value, indicator
[16632] World Bank: Share of total household education expenditures for Quintile 3 (%) | pub=World Bank | cols: country, date, value, indicator
[16633] World Bank: Share of total household education expenditures for Quintile 4 (%) | pub=World Bank | cols: country, date, value, indicator
[16634] World Bank: Share of total household education expenditures for Quintile 5 (%) | pub=World Bank | cols: country, date, value, indicator
[16635] World Bank: Share of total household education expenditures for the richest 40% | pub=World Bank | cols: country, date, value, indicator
[16636] World Bank: Share of total household education spending for salaries (%) | pub=World Bank | cols: country, date, value, indicator
[16637] World Bank: Share of international commitments for education disbursed to government (%) | pub=World Bank | cols: country, date, value, indicator
[16638] World Bank: Share of junior secondary expenditures for administration (%) | pub=World Bank | cols: country, date, value, indicator
[16639] World Bank: Capital share of junior secondary expenditures (%) | pub=World Bank | cols: country, date, value, indicator
[16640] World Bank: Share of total capital education expenditure (%), junior secondary | pub=World Bank | cols: country, date, value, indicator
[16641] World Bank: Repetition/Drop-out Inefficiency Cost, junior secondary | pub=World Bank | cols: country, date, value, indicator
[16642] World Bank: Repetition/Dropout Inefficiency Annual Resource Input Ratio, junior secondary | pub=World Bank | cols: country, date, value, indicator
[16643] World Bank: Share of junior secondary recurrent expenditures for goods and services (%) | pub=World Bank | cols: country, date, value, indicator
[16644] World Bank: Share of education expenditures from international sources for junior secondary educatio | pub=World Bank | cols: country, date, value, indicator
[16645] World Bank: Pupil/Classroom Ratio, junior secondary | pub=World Bank | cols: country, date, value, indicator
[16646] World Bank: Pupils/Class, junior secondary | pub=World Bank | cols: country, date, value, indicator
[16647] World Bank: Public education expenditure per student (% of GDP per capita), junior secondary | pub=World Bank | cols: country, date, value, indicator
