[16692] World Bank: Share of total education spending for scholarships (%) | pub=World Bank | cols: country, date, value, indicator
[16693] World Bank: Total Expenditures on Scholarships/Student Financial Assistance (USD or local currency). | pub=World Bank | cols: country, date, value, indicator
[16694] World Bank: Share of scholarships/subsidy expenditures for Quintile 1 (%) | pub=World Bank | cols: country, date, value, indicator
[16695] World Bank: Share of scholarships/subsidy expenditures for Quintile 2 (%) | pub=World Bank | cols: country, date, value, indicator
[16696] World Bank: Share of scholarships/subsidy expenditures for Quintile 3 (%) | pub=World Bank | cols: country, date, value, indicator
[16697] World Bank: Share of scholarships/subsidy expenditures for Quintile 4 (%) | pub=World Bank | cols: country, date, value, indicator
[16698] World Bank: Share of scholarships/subsidy expenditures for Quintile 5 (%) | pub=World Bank | cols: country, date, value, indicator
[16699] World Bank: Total Expenditures on Scholarships/Student Financial Assistance (USD or local currency). | pub=World Bank | cols: country, date, value, indicator
[16700] World Bank: Share of scholarships/subsidy expenditures for senior secondary (%) | pub=World Bank | cols: country, date, value, indicator
[16701] World Bank: Share of scholarships/subsidy expenditures for tertiary education (%) | pub=World Bank | cols: country, date, value, indicator
[16702] World Bank: Total Expenditures on Scholarships/Student Financial Assistance (USD or local currency). | pub=World Bank | cols: country, date, value, indicator
[16703] World Bank: Share of scholarships/subsidy expenditures for technical/vocational education (%) | pub=World Bank | cols: country, date, value, indicator
[16704] World Bank: Total Expenditures on Scholarships/Student Financial Assistance (USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[16705] World Bank: Share of total technical/vocational expenditures for scholarships (%) | pub=World Bank | cols: country, date, value, indicator
[16706] World Bank: Expenditures on females (as a % for males), primary | pub=World Bank | cols: country, date, value, indicator
[16707] World Bank: Expenditures on females (as a % for males), secondary | pub=World Bank | cols: country, date, value, indicator
[16708] World Bank: Expenditures on females (as a % for males), tertiary | pub=World Bank | cols: country, date, value, indicator
[16709] World Bank: Expenditures on females (as a % for males) | pub=World Bank | cols: country, date, value, indicator
[16710] World Bank: Share of education spending on rural areas (%) | pub=World Bank | cols: country, date, value, indicator
[16711] World Bank: Share of junior secondary education spending on rural areas (%) | pub=World Bank | cols: country, date, value, indicator
[16712] World Bank: Share of expenditures for the poorest 40%, rural areas | pub=World Bank | cols: country, date, value, indicator
[16713] World Bank: Pupil/Classroom Ratio, rural areas | pub=World Bank | cols: country, date, value, indicator
[16714] World Bank: Share of pre-primary education spending on rural areas (%) | pub=World Bank | cols: country, date, value, indicator
[16715] World Bank: Pupils/Class, rural areas | pub=World Bank | cols: country, date, value, indicator
[16716] World Bank: Share of primary education spending on rural areas (%) | pub=World Bank | cols: country, date, value, indicator
[16717] World Bank: Average expenditure per primary student, rural areas (in USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[16718] World Bank: Pupil/Total Staff Ratio, rural areas | pub=World Bank | cols: country, date, value, indicator
[16719] World Bank: Pupil/Teacher Ratio, rural areas | pub=World Bank | cols: country, date, value, indicator
[16720] World Bank: Share of expenditures for the richest 40%, rural areas | pub=World Bank | cols: country, date, value, indicator
[16721] World Bank: Share of secondary education spending on rural areas (%) | pub=World Bank | cols: country, date, value, indicator
[16722] World Bank: Average expenditure per secondary student, rural areas (in USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[16723] World Bank: Share of senior secondary education spending on rural areas (%) | pub=World Bank | cols: country, date, value, indicator
[16724] World Bank: Share of tertiary education spending on rural areas (%) | pub=World Bank | cols: country, date, value, indicator
[16725] World Bank: Teaching/Non-Teaching Staff Ratio, rural areas | pub=World Bank | cols: country, date, value, indicator
[16726] World Bank: Ratio of rural/urban per capita expenditures, secondary | pub=World Bank | cols: country, date, value, indicator
[16727] World Bank: Ratio of rural/urban per capita expenditures, primary | pub=World Bank | cols: country, date, value, indicator
[16728] World Bank: Share of education spending on urban areas (%) | pub=World Bank | cols: country, date, value, indicator
[16729] World Bank: Share of junior secondary education spending on urban areas (%) | pub=World Bank | cols: country, date, value, indicator
[16730] World Bank: Share of expenditures for the poorest 40%, urban areas | pub=World Bank | cols: country, date, value, indicator
[16731] World Bank: Pupil/Classroom Ratio, urban areas | pub=World Bank | cols: country, date, value, indicator
[16732] World Bank: Share of pre-primary education spending on urban areas (%) | pub=World Bank | cols: country, date, value, indicator
[16733] World Bank: Pupils/Class, urban areas | pub=World Bank | cols: country, date, value, indicator
[16734] World Bank: Share of primary education spending on urban areas (%) | pub=World Bank | cols: country, date, value, indicator
[16735] World Bank: Average expenditure per primary student, urban areas (in USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[16736] World Bank: Pupil/Total Staff Ratio, urban areas | pub=World Bank | cols: country, date, value, indicator
[16737] World Bank: Pupil/Teacher Ratio, urban areas | pub=World Bank | cols: country, date, value, indicator
[16738] World Bank: Share of expenditures for the richest 40%, urban areas | pub=World Bank | cols: country, date, value, indicator
[16739] World Bank: Share of secondary education spending on urban areas (%) | pub=World Bank | cols: country, date, value, indicator
[16740] World Bank: Average expenditure per secondary student, urban areas (in USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[16741] World Bank: Share of senior secondary education spending on urban areas (%) | pub=World Bank | cols: country, date, value, indicator
[16742] World Bank: Share of tertiary education spending on urban areas (%) | pub=World Bank | cols: country, date, value, indicator
[16743] World Bank: Teaching/Non-Teaching Staff Ratio, urban areas | pub=World Bank | cols: country, date, value, indicator
[16744] World Bank: Share of total public education expenditure for private institutions (%) | pub=World Bank | cols: country, date, value, indicator
[16745] World Bank: Total education expenditure lost to HIV/AIDS related teacher absenteeism (USD millions) | pub=World Bank | cols: country, date, value, indicator
[16746] World Bank: Total cost of enrolling HIV/AIDS orphans (in USD millions) | pub=World Bank | cols: country, date, value, indicator
[16747] World Bank: Orphans and Vulnerable Children (OVC) Cash Transfer to Schools per primary student (in U | pub=World Bank | cols: country, date, value, indicator
[16748] World Bank: Orphans and Vulnerable Children (OVC) Cash Transfer to Schools per secondary student (in | pub=World Bank | cols: country, date, value, indicator
[16749] World Bank: Total Cash Transfers for Orphans and Vulnerable Children (OVCs) (in USD) | pub=World Bank | cols: country, date, value, indicator
[16750] World Bank: Share of total education expenditures for HIV/AIDS interventions (%) | pub=World Bank | cols: country, date, value, indicator
[16751] World Bank: Share of total education expenditure lost due to HIV/AIDS (%) | pub=World Bank | cols: country, date, value, indicator
[16752] World Bank: Additional cost of teacher education due to HIV/AIDS (USD millions) | pub=World Bank | cols: country, date, value, indicator
[16753] World Bank: Total education expenditure lost to HIV/AIDS (USD millions) | pub=World Bank | cols: country, date, value, indicator
[16754] World Bank: Operations and Maintenance (% of recurrent education expenditure) | pub=World Bank | cols: country, date, value, indicator
[16755] World Bank: Operations and Maintenance (% of total education expenditure) | pub=World Bank | cols: country, date, value, indicator
[16756] World Bank: Pupil/Textbook Ratio | pub=World Bank | cols: country, date, value, indicator
[16757] World Bank: Share of total education expenditures for special education/disabilities (%) | pub=World Bank | cols: country, date, value, indicator
[16758] World Bank: Teaching/learning materials (% of total education expenditures) | pub=World Bank | cols: country, date, value, indicator
[16759] World Bank: Teaching/learning materials (% of total recurrent education expenditures) | pub=World Bank | cols: country, date, value, indicator
[16760] World Bank: Per student transfer by central to subnational government, basic (USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[16761] World Bank: Central Government Transfers for education (% of GDP) | pub=World Bank | cols: country, date, value, indicator
[16762] World Bank: Per student transfer by central to subnational government (USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[16763] World Bank: Per student transfer by central to subnational government, pre-primary (USD or local cur | pub=World Bank | cols: country, date, value, indicator
