[16792] World Bank: Recurrent expenditures per pre-primary student (USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[16793] World Bank: Ratio of pre-primary per capita/per student recurrent expenditures relative to primary e | pub=World Bank | cols: country, date, value, indicator
[16794] World Bank: Expenditures per student per year (in USD), pre-primary | pub=World Bank | cols: country, date, value, indicator
[16795] World Bank: Pupil/Total Staff Ratio, pre-primary | pub=World Bank | cols: country, date, value, indicator
[16796] World Bank: Pupil/Teacher Ratio, pre-primary | pub=World Bank | cols: country, date, value, indicator
[16797] World Bank: Private institution fees, pre-primary (in USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[16798] World Bank: Share of education expenditures for the poorest 40% of students (%), Pre-Primary | pub=World Bank | cols: country, date, value, indicator
[16799] World Bank: Share of pre-primary education expenditures for Quintile 1 (poorest) (%) | pub=World Bank | cols: country, date, value, indicator
[16800] World Bank: Share of pre-primary education expenditures for Quintile 2 (%) | pub=World Bank | cols: country, date, value, indicator
[16801] World Bank: Share of pre-primary education expenditures for Quintile 3 (%) | pub=World Bank | cols: country, date, value, indicator
[16802] World Bank: Share of pre-primary education expenditures for Quintile 4 (%) | pub=World Bank | cols: country, date, value, indicator
[16803] World Bank: Share of pre-primary education expenditures for Quintile 5 (richest) (%) | pub=World Bank | cols: country, date, value, indicator
[16804] World Bank: Share of total pre-primary education expenditures for non-poor students (%) | pub=World Bank | cols: country, date, value, indicator
[16805] World Bank: Share of total pre-primary education expenditures for poor students (%) | pub=World Bank | cols: country, date, value, indicator
[16806] World Bank: Share of education expenditures for the richest 40% of students (%), Pre-Primary | pub=World Bank | cols: country, date, value, indicator
[16807] World Bank: Recurrent share of pre-primary expenditures (%) | pub=World Bank | cols: country, date, value, indicator
[16808] World Bank: Share of total recurrent education expenditure (%), pre-primary | pub=World Bank | cols: country, date, value, indicator
[16809] World Bank: Salaries' share of pre-primary expenditures (%) | pub=World Bank | cols: country, date, value, indicator
[16810] World Bank: Share of recurrent education expenditures for pre-primary salaries (%) | pub=World Bank | cols: country, date, value, indicator
[16811] World Bank: Share of total education expenditures for pre-primary salaries (%) | pub=World Bank | cols: country, date, value, indicator
[16812] World Bank: Average Annual Teacher Salary in USD, pre-primary | pub=World Bank | cols: country, date, value, indicator
[16813] World Bank: Share of pre-primary education expenditures from government sources (%) | pub=World Bank | cols: country, date, value, indicator
[16814] World Bank: Share of teachers for pre-primary education (%) | pub=World Bank | cols: country, date, value, indicator
[16815] World Bank: Teaching/Non-Teaching Staff Ratio, pre-primary | pub=World Bank | cols: country, date, value, indicator
[16816] World Bank: Share of total education expenditure for pre-primary education (%) | pub=World Bank | cols: country, date, value, indicator
[16817] World Bank: Total expenditures on pre-primary education (USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[16818] World Bank: Share of secondary schools, privately managed (%) | pub=World Bank | cols: country, date, value, indicator
[16819] World Bank: Share of primary expenditures for administration (%) | pub=World Bank | cols: country, date, value, indicator
[16820] World Bank: Civil Service Teachers, Annual Salary (in USD or local currency), primary | pub=World Bank | cols: country, date, value, indicator
[16821] World Bank: Civil Service Primary Teachers (% of total primary teachers) | pub=World Bank | cols: country, date, value, indicator
[16822] World Bank: Community/Locally-Hired Teachers, Annual Salary (in USD or local currency), primary | pub=World Bank | cols: country, date, value, indicator
[16823] World Bank: Community/Locally-Hired Primary Teachers (% of total primary teachers) | pub=World Bank | cols: country, date, value, indicator
[16824] World Bank: Contract/Part-Time primary teachers (% of total teachers) | pub=World Bank | cols: country, date, value, indicator
[16825] World Bank: Contract Teachers, Annual Salary (in USD or local currency), primary | pub=World Bank | cols: country, date, value, indicator
[16826] World Bank: Capital share of primary expenditures (%) | pub=World Bank | cols: country, date, value, indicator
[16827] World Bank: Share of total capital education expenditure (%), primary | pub=World Bank | cols: country, date, value, indicator
[16828] World Bank: Share of schools with double shifts (%), primary | pub=World Bank | cols: country, date, value, indicator
[16829] World Bank: Repetition/Drop-out Inefficiency Cost, primary | pub=World Bank | cols: country, date, value, indicator
[16830] World Bank: Repetition/Dropout Inefficiency Annual Resource Input Ratio, primary | pub=World Bank | cols: country, date, value, indicator
[16831] World Bank: Repetition/Dropout Inefficiency Annual Resource Input Ratio, primary public schools | pub=World Bank | cols: country, date, value, indicator
[16832] World Bank: Repetition/Dropout Inefficiency Annual Resource Input Ratio, primary private schools | pub=World Bank | cols: country, date, value, indicator
[16833] World Bank: Cost Burden of Teacher Oversupply (% of total education expenditures) | pub=World Bank | cols: country, date, value, indicator
[16834] World Bank: Total Cost of Inefficiencies (USD or local currency), primary | pub=World Bank | cols: country, date, value, indicator
[16835] World Bank: Wastage Index (%), Total Primary Expenditures | pub=World Bank | cols: country, date, value, indicator
[16836] World Bank: Capital education budget execution rate (%), primary | pub=World Bank | cols: country, date, value, indicator
[16837] World Bank: Recurrent education budget execution rate (%), primary | pub=World Bank | cols: country, date, value, indicator
[16838] World Bank: Salary execution rate (%), primary | pub=World Bank | cols: country, date, value, indicator
[16839] World Bank: Education budget execution rate, primary (%) | pub=World Bank | cols: country, date, value, indicator
[16840] World Bank: Share of GDP for education expenditures on primary education (%) | pub=World Bank | cols: country, date, value, indicator
[16841] World Bank: Share of primary recurrent expenditures for goods and services (%) | pub=World Bank | cols: country, date, value, indicator
[16842] World Bank: Household spending per student on room/board for primary education (USD or local currenc | pub=World Bank | cols: country, date, value, indicator
[16843] World Bank: Total household spending on school fees, primary (USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[16844] World Bank: Household spending per student on textbooks for primary education (USD or local currency | pub=World Bank | cols: country, date, value, indicator
[16845] World Bank: Household spending per student on transportation for primary education (USD or local cur | pub=World Bank | cols: country, date, value, indicator
[16846] World Bank: Household spending per student on tuition for primary education (USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[16847] World Bank: Household spending per student on uniforms/clothing for primary education (USD or local  | pub=World Bank | cols: country, date, value, indicator
[16848] World Bank: Share of education expenditures from international sources for primary education (%) | pub=World Bank | cols: country, date, value, indicator
[16849] World Bank: Pupil/Classroom Ratio, primary | pub=World Bank | cols: country, date, value, indicator
[16850] World Bank: Pupil/Administration (Non-Teaching) Staff Ratio, primary | pub=World Bank | cols: country, date, value, indicator
[16851] World Bank: Pupils/Class, primary | pub=World Bank | cols: country, date, value, indicator
[16852] World Bank: Pupils/School, primary | pub=World Bank | cols: country, date, value, indicator
[16853] World Bank: Pupils/Private Primary School | pub=World Bank | cols: country, date, value, indicator
[16854] World Bank: Pupils/Public Primary School | pub=World Bank | cols: country, date, value, indicator
[16855] World Bank: Pupils/Certified Teacher Ratio, primary | pub=World Bank | cols: country, date, value, indicator
[16856] World Bank: Per student expenditures in private primary institutions (in USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[16857] World Bank: Public education expenditure per student (% of GDP per capita), primary | pub=World Bank | cols: country, date, value, indicator
[16858] World Bank: Per student non-salary spending, primary (in USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[16859] World Bank: Per student expenditures in public primary institutions (in USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[16860] World Bank: Expenditures per student per year (in USD), primary | pub=World Bank | cols: country, date, value, indicator
[16861] World Bank: Pupil/Total Staff Ratio, primary | pub=World Bank | cols: country, date, value, indicator
[16862] World Bank: Pupil/Teacher Ratio for primary schools with Civil Service Teachers | pub=World Bank | cols: country, date, value, indicator
[16863] World Bank: Pupil/Teacher Ratio, primary | pub=World Bank | cols: country, date, value, indicator
[16864] World Bank: Pupil/Teacher Ratio for primary schools with Contract Teachers | pub=World Bank | cols: country, date, value, indicator
[16865] World Bank: Pupil/Teacher Ratio for Private Primary Schools | pub=World Bank | cols: country, date, value, indicator
[16866] World Bank: Pupil/Teacher Ratio for Public Primary Schools | pub=World Bank | cols: country, date, value, indicator
[16867] World Bank: Private institution fees, primary (in USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[16868] World Bank: Share of primary schools, privately managed (% of total schools) | pub=World Bank | cols: country, date, value, indicator
[16869] World Bank: Share of primary education expenditures for Quintile 1 (poorest) (%) | pub=World Bank | cols: country, date, value, indicator
[16870] World Bank: Share of primary education expenditures for Quintile 2 (%) | pub=World Bank | cols: country, date, value, indicator
[16871] World Bank: Share of primary education expenditures for Quintile 3 (%) | pub=World Bank | cols: country, date, value, indicator
[16872] World Bank: Share of primary education expenditures for Quintile 4 (%) | pub=World Bank | cols: country, date, value, indicator
[16873] World Bank: Share of primary education expenditures for Quintile 5 (richest) (%) | pub=World Bank | cols: country, date, value, indicator
[16874] World Bank: Share of total primary education expenditures for non-poor students (%) | pub=World Bank | cols: country, date, value, indicator
[16875] World Bank: Share of education expenditures for the poorest 40% of students (%), Primary | pub=World Bank | cols: country, date, value, indicator
[16876] World Bank: Share of total primary education expenditures for poor students (%) | pub=World Bank | cols: country, date, value, indicator
[16877] World Bank: Share of education expenditures for the richest 40% of students (%), Primary | pub=World Bank | cols: country, date, value, indicator
[16878] World Bank: Recurrent share of primary expenditures (%) | pub=World Bank | cols: country, date, value, indicator
[16879] World Bank: Primary recurrent expenditures as a share of GDP (%) | pub=World Bank | cols: country, date, value, indicator
[16880] World Bank: Recurrent expenditures per primary student (USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[16881] World Bank: Share of total recurrent education expenditure (%), primary | pub=World Bank | cols: country, date, value, indicator
[16882] World Bank: Salaries' share of primary expenditures (%) | pub=World Bank | cols: country, date, value, indicator
[16883] World Bank: Ratio of Teacher Salaries to per capita GDP, primary | pub=World Bank | cols: country, date, value, indicator
[16884] World Bank: Average Annual Teacher Salary in local currency, primary | pub=World Bank | cols: country, date, value, indicator
[16885] World Bank: Salary expenditures per primary student (USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[16886] World Bank: Share of recurrent education expenditures for primary salaries (%) | pub=World Bank | cols: country, date, value, indicator
[16887] World Bank: Share of total salary expenditures for primary (%) | pub=World Bank | cols: country, date, value, indicator
[16888] World Bank: Salaries' share of primary recurrent expenditures (%) | pub=World Bank | cols: country, date, value, indicator
[16889] World Bank: Share of total education expenditures for primary salaries (%) | pub=World Bank | cols: country, date, value, indicator
[16890] World Bank: Average Annual Teacher Salary in USD, primary | pub=World Bank | cols: country, date, value, indicator
[16891] World Bank: Average annual teaching load, primary (hours of instruction per year) | pub=World Bank | cols: country, date, value, indicator
