[16892] World Bank: Share of primary teachers holding more than one job (%) | pub=World Bank | cols: country, date, value, indicator
[16893] World Bank: Per student expenditures on Teaching/learning materials, primary (in USD or local curren | pub=World Bank | cols: country, date, value, indicator
[16894] World Bank: Teaching/Non-Teaching Staff Ratio, primary | pub=World Bank | cols: country, date, value, indicator
[16895] World Bank: Share of total education expenditure for primary education (%) | pub=World Bank | cols: country, date, value, indicator
[16896] World Bank: Capital share of total education expenditure (%), primary | pub=World Bank | cols: country, date, value, indicator
[16897] World Bank: Total expenditures on primary education (USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[16898] World Bank: Share of primary recurrent expenditures for transfers (%) | pub=World Bank | cols: country, date, value, indicator
[16899] World Bank: Share of schools with triple shifts (%), primary | pub=World Bank | cols: country, date, value, indicator
[16900] World Bank: Share of total government expenditures (all sectors) for primary education expenditures  | pub=World Bank | cols: country, date, value, indicator
[16901] World Bank: Share of primary expenditures for utilities (%) | pub=World Bank | cols: country, date, value, indicator
[16902] World Bank: Share of total education expenditures for private primary schools (%) | pub=World Bank | cols: country, date, value, indicator
[16903] World Bank: Share of total education expenditures for private secondary schools (%) | pub=World Bank | cols: country, date, value, indicator
[16904] World Bank: Share of total education expenditures for private tertiary institutions (%) | pub=World Bank | cols: country, date, value, indicator
[16905] World Bank: Share of total household expenditures for education, rural areas (%) | pub=World Bank | cols: country, date, value, indicator
[16906] World Bank: Share of total household education expenditures from rural areas (%) | pub=World Bank | cols: country, date, value, indicator
[16907] World Bank: Average hourly wage for teachers (in USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[16908] World Bank: Teachers total working hours per week | pub=World Bank | cols: country, date, value, indicator
[16909] World Bank: Average monthly education sector salary (in USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[16910] World Bank: Share of teachers not on the government payroll (%) | pub=World Bank | cols: country, date, value, indicator
[16911] World Bank: Primary teachers total working hours per week | pub=World Bank | cols: country, date, value, indicator
[16912] World Bank: Average teacher salary in public schools (in USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[16913] World Bank: Secondary teachers total working hours per week | pub=World Bank | cols: country, date, value, indicator
[16914] World Bank: Average monthly teacher salary (in USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[16915] World Bank: Total teacher salary expenditures (in USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[16916] World Bank: Share of secondary expenditures for administration (%) | pub=World Bank | cols: country, date, value, indicator
[16917] World Bank: Civil Service Teachers, Annual Salary (in USD or local currency), secondary | pub=World Bank | cols: country, date, value, indicator
[16918] World Bank: Civil Service Secondary Teachers (% of total secondary teachers) | pub=World Bank | cols: country, date, value, indicator
[16919] World Bank: Community/Locally-Hired Teachers, Annual Salary (in USD or local currency), secondary | pub=World Bank | cols: country, date, value, indicator
[16920] World Bank: Community/Locally-Hired Secondary Teachers (% of total secondary teachers) | pub=World Bank | cols: country, date, value, indicator
[16921] World Bank: Contract/Part-Time secondary teachers (% of total teachers) | pub=World Bank | cols: country, date, value, indicator
[16922] World Bank: Contract Teachers, Annual Salary (in USD or local currency), secondary | pub=World Bank | cols: country, date, value, indicator
[16923] World Bank: Capital share of secondary expenditures (%) | pub=World Bank | cols: country, date, value, indicator
[16924] World Bank: Share of total capital education expenditure (%), secondary | pub=World Bank | cols: country, date, value, indicator
[16925] World Bank: Share of schools with double shifts (%), secondary | pub=World Bank | cols: country, date, value, indicator
[16926] World Bank: Repetition/Drop-out Inefficiency Cost, secondary | pub=World Bank | cols: country, date, value, indicator
[16927] World Bank: Repetition/Dropout Inefficiency Annual Resource Input Ratio, secondary | pub=World Bank | cols: country, date, value, indicator
[16928] World Bank: Repetition/Dropout Inefficiency Annual Resource Input Ratio, secondary public schools | pub=World Bank | cols: country, date, value, indicator
[16929] World Bank: Repetition/Dropout Inefficiency Annual Resource Input Ratio, secondary private schools | pub=World Bank | cols: country, date, value, indicator
[16930] World Bank: Total Cost of Inefficiencies (USD or local currency), secondary | pub=World Bank | cols: country, date, value, indicator
[16931] World Bank: Capital education budget execution rate (%), secondary | pub=World Bank | cols: country, date, value, indicator
[16932] World Bank: Recurrent education budget execution rate (%), secondary | pub=World Bank | cols: country, date, value, indicator
[16933] World Bank: Salary execution rate (%), secondary | pub=World Bank | cols: country, date, value, indicator
[16934] World Bank: Education budget execution rate, secondary (%) | pub=World Bank | cols: country, date, value, indicator
[16935] World Bank: Share of GDP for education expenditures on secondary education (%) | pub=World Bank | cols: country, date, value, indicator
[16936] World Bank: Share of secondary recurrent expenditures for goods and services (%) | pub=World Bank | cols: country, date, value, indicator
